"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0002181","cytoplasmic translation",196,0.729368994512781,2.18056781234201,1e-10,1.2784e-07,8.04873500342817e-08,865,"tags=34%, list=10%, signal=31%","Fau/Rpl38/Rps29/Rpl41/Rpl6/Rpl37a/Rpl37/Rps9/Rpl39/Rps27a/Rps28/Rps11/Rps26/Lamtor1/Rpl35a/Rpl23/Rps8/Rps21/Rpl14/Rpl36/Rpsa/Pkm/Rpl34/Uba52/Rps24/Rpl35/Rps13/Eif4ebp1/Rpl29/Rpl32/Rpl22/Rpl7a/Rps10/Rpl21/Rpl11/Rplp0/Rpl24/Rpl36a/Rnh1/Rplp1/Rplp2/Rpl28/Rps15a/Rps16/Rack1/Rps12/Eif3k/Rpl10/Rpl18/Rpl30/Rpl10a/Mcts1/Eif3f/Rps2/Rps3a1/Rps20/Rpl19/Rps4x/Ufsp2/Eif3i/Rps7/Plxnb2/Rps19/Rps5/Rps3/Eif3h",NA
"GO:0140241","translation at synapse",48,0.875393845030948,2.15326311897643,1.09995492259371e-09,6.67965418808685e-07,4.20547297203146e-07,633,"tags=65%, list=7%, signal=60%","Rpl38/Rpl6/Rpl37a/Rpl37/Rps27a/Rps28/Rps11/Rps26/Rpl35a/Rpl23/Rpl14/Rpl36/Rpl34/Uba52/Rps24/Rpl35/Rpl29/Rpl32/Rpl22/Rpl7a/Rps10/Rpl24/Rpl36a/Rplp2/Rpl28/Rps15a/Rps16/Rps12/Rpl10/Rps27/Rpl10a",0.788186810800237
"GO:0140242","translation at postsynapse",48,0.875393845030948,2.15326311897643,1.09995492259371e-09,6.67965418808685e-07,4.20547297203146e-07,633,"tags=65%, list=7%, signal=60%","Rpl38/Rpl6/Rpl37a/Rpl37/Rps27a/Rps28/Rps11/Rps26/Rpl35a/Rpl23/Rpl14/Rpl36/Rpl34/Uba52/Rps24/Rpl35/Rpl29/Rpl32/Rpl22/Rpl7a/Rps10/Rpl24/Rpl36a/Rplp2/Rpl28/Rps15a/Rps16/Rps12/Rpl10/Rps27/Rpl10a",0.788186810800237
"GO:0030198","extracellular matrix organization",149,-0.755632962714103,-2.14645964413955,1e-10,1.2784e-07,8.04873500342817e-08,644,"tags=48%, list=8%, signal=45%","Fscn1/Crispld2/Plod2/Smad4/Dag1/Loxl2/Adamts10/Mmp23/Ric1/Itgb1/Matn2/Eln/Ddr2/Adamts9/Fbln1/Tgfbr3/Phldb1/Ptk2/Gpm6b/Antxr1/Adamts2/Abi3bp/Cav2/Mmp15/Col8a1/Aebp1/Col4a4/Dpt/Sulf1/Col5a3/Col5a1/Fbln5/Mmp2/Loxl1/Smoc2/Vwa1/Pdgfra/Col1a1/Tcf15/Col1a2/Lama2/Tnxb/Col6a1/Col5a2/Apbb2/Lamb2/Col3a1/Phldb2/Rgcc/Tie1/Pxdn/Adamts5/Lamb1/Col15a1/Adamts1/Ccdc80/Aplp2/Lamc1/Fbn1/Cav1/Eng/Ets1/Nid1/Ecm2/Serpinh1/Ramp2/Timp3/Hspg2/Col4a2/Col4a1/Ltbp4",NA
"GO:0043062","extracellular structure organization",149,-0.755632962714103,-2.14645964413955,1e-10,1.2784e-07,8.04873500342817e-08,644,"tags=48%, list=8%, signal=45%","Fscn1/Crispld2/Plod2/Smad4/Dag1/Loxl2/Adamts10/Mmp23/Ric1/Itgb1/Matn2/Eln/Ddr2/Adamts9/Fbln1/Tgfbr3/Phldb1/Ptk2/Gpm6b/Antxr1/Adamts2/Abi3bp/Cav2/Mmp15/Col8a1/Aebp1/Col4a4/Dpt/Sulf1/Col5a3/Col5a1/Fbln5/Mmp2/Loxl1/Smoc2/Vwa1/Pdgfra/Col1a1/Tcf15/Col1a2/Lama2/Tnxb/Col6a1/Col5a2/Apbb2/Lamb2/Col3a1/Phldb2/Rgcc/Tie1/Pxdn/Adamts5/Lamb1/Col15a1/Adamts1/Ccdc80/Aplp2/Lamc1/Fbn1/Cav1/Eng/Ets1/Nid1/Ecm2/Serpinh1/Ramp2/Timp3/Hspg2/Col4a2/Col4a1/Ltbp4",NA
"GO:0045229","external encapsulating structure organization",149,-0.755632962714103,-2.14645964413955,1e-10,1.2784e-07,8.04873500342817e-08,644,"tags=48%, list=8%, signal=45%","Fscn1/Crispld2/Plod2/Smad4/Dag1/Loxl2/Adamts10/Mmp23/Ric1/Itgb1/Matn2/Eln/Ddr2/Adamts9/Fbln1/Tgfbr3/Phldb1/Ptk2/Gpm6b/Antxr1/Adamts2/Abi3bp/Cav2/Mmp15/Col8a1/Aebp1/Col4a4/Dpt/Sulf1/Col5a3/Col5a1/Fbln5/Mmp2/Loxl1/Smoc2/Vwa1/Pdgfra/Col1a1/Tcf15/Col1a2/Lama2/Tnxb/Col6a1/Col5a2/Apbb2/Lamb2/Col3a1/Phldb2/Rgcc/Tie1/Pxdn/Adamts5/Lamb1/Col15a1/Adamts1/Ccdc80/Aplp2/Lamc1/Fbn1/Cav1/Eng/Ets1/Nid1/Ecm2/Serpinh1/Ramp2/Timp3/Hspg2/Col4a2/Col4a1/Ltbp4",NA
"GO:0140236","translation at presynapse",47,0.876280591896117,2.13051842839411,1.14950244162946e-09,6.67965418808685e-07,4.20547297203146e-07,633,"tags=66%, list=7%, signal=61%","Rpl38/Rpl6/Rpl37a/Rpl37/Rps27a/Rps28/Rps11/Rps26/Rpl35a/Rpl23/Rpl14/Rpl36/Rpl34/Uba52/Rps24/Rpl35/Rpl29/Rpl32/Rpl22/Rpl7a/Rps10/Rpl24/Rpl36a/Rplp2/Rpl28/Rps15a/Rps16/Rps12/Rpl10/Rps27/Rpl10a",0.788186810800237
"GO:0002532","production of molecular mediator involved in inflammatory response",65,0.809725963898174,2.12695807650983,6.7228950020735e-09,2.14863724266269e-06,1.35277000818903e-06,995,"tags=45%, list=12%, signal=40%","S100a9/Fcer1g/Alox5ap/Ptpn6/Vamp8/Pycard/Ccl7/Pld4/Grn/Gpsm3/Lyn/Ncf1/Sirpa/Ccr1/Hmox1/Snap23/Il4ra/Cd300a/Btk/Alox5/Prdx2/Cuedc2/Abcd2/Rps19/Tnf/Trem2/Chid1/Myd88/Pld3",0.761460801445585
"GO:0006119","oxidative phosphorylation",104,0.764352104876715,2.1202557109881,6.29358894530775e-10,5.02857756730089e-07,3.16596435258044e-07,1515,"tags=63%, list=18%, signal=53%","Ndufa3/Cox5a/Cox7c/Cox6b1/Cox4i1/Cox5b/Ndufa13/Cox8a/Uqcrh/Uqcrq/Cox6c/Ndufa2/mt-Nd3/Uqcr11/Ndufb7/Ndufa7/Ndufv2/Ndufb8/Sdhb/Cox7b/Dnajc15/Ndufa1/Ndufv3/Uqcr10/Uqcrb/Ndufc1/Ndufc2/Ndufa12/Sdhd/Cox7a2l/Uqcrc1/Ndufb4/Ndufs7/Ndufa11/Tnf/Nupr1/Ndufb6/Cox7a2/Park7/Uqcrc2/Ndufs2/Ndufb10/Rhoa/Uqcrfs1/Ndufb11/mt-Nd5/Iscu/Ndufs8/Cyc1/Ndufb9/Cox7a1/Uqcc2/Cox6a2/Stoml2/Ndufa5/Ndufs3/Ndufa6/Cycs/Ndufs6/Ndufb2/mt-Cytb/Ndufb5/mt-Co1/mt-Nd1/mt-Co3/Ndufs4",0.801215574617779
"GO:0002444","myeloid leukocyte mediated immunity",67,0.798708085412727,2.08791761129345,2.10843401367863e-08,4.64727938463234e-06,2.92590114626099e-06,748,"tags=45%, list=9%, signal=41%","Fcer1g/Tyrobp/Rac2/Spi1/Itgam/Fcgr3/Itgb2/Vamp8/Fcgr4/Fcgr2b/Fcgr1/Milr1/Lyn/Stap1/Ncf1/Fgr/Hmox1/Lat2/Cd84/Ighm/Ccl3/Snap23/Myo1f/Cd300a/Btk/Fes/Stxbp2/Ptafr/Ccr2/Cx3cr1",0.73376198835648
