"pair","case","ctrl","delta"
"Cxcl2→Cxcr2",46.8502626859514,20.3432936410397,26.5069690449116
"Ccl7→Ccr2",56.9998543965658,43.3689511995046,13.6309031970612
"Cxcl1→Cxcr2",27.7456037310772,14.8103102124821,12.9352935185952
"Spp1→Cd44",32.1958338219355,20.1203758869125,12.0754579350231
"Ccl3→Ccr1",44.8940105366579,33.4013637888035,11.4926467478543
"Il10→Il10ra",19.0133624256499,9.49814612172435,9.51521630392554
"Ccl2→Ccr2",60.3737805479986,50.9697412048169,9.4040393431817
"Ccl4→Ccr5",57.9057942067616,49.0478890988886,8.85790510787304
"Icam1→Itgal",33.7496962526863,27.373539322409,6.3761569302773
"Spp1→Itgav",22.3211249877999,16.4269699321884,5.89415505561145
"Icam1→Itgb2",52.0857463846141,46.4109195398211,5.674826844793
"Ccl5→Ccr5",47.5154748425479,43.3828395259844,4.1326353165635
"Il1b→Il1rap",31.220286929298,27.7574970953758,3.46278983392212
"Cxcl10→Cxcr3",12.2774356424917,10.4734594282747,1.80397621421701
"Tnf→Tnfrsf1a",44.2091380969787,42.8786777914458,1.33046030553294
"Il18→Il18r1",10.5228414497315,11.2116558412598,-0.688814391528336
"Apoe→Trem2",95.9448727253672,96.9087014035312,-0.96382867816402
"Tnf→Tnfrsf1b",36.9643305910392,37.9287413015942,-0.964410710554972
"Ifng→Ifngr1",10.0638641361785,11.7834427165976,-1.71957858041912
"Il6→Il6ra",13.0088081753515,16.7771163253456,-3.76830814999413
"Apoe→Ldlr",53.6107132928744,57.6369018649138,-4.02618857203945
"Il6→Il6st",9.103210072878,13.2510422575378,-4.14783218465978
"Tgfb1→Tgfbr2",57.0213463172397,61.6827351095202,-4.66138879228043
"Nampt→Insr",27.5601835720235,32.5961004844138,-5.0359169123903
"Tgfb1→Tgfbr1",43.9789881153988,50.8133343688799,-6.83434625348109
"Il1b→Il1r1",19.582287378154,27.5778348861197,-7.99554750796573
"Angpt1→Tek",2.71735512304903,10.7405075853707,-8.02315246232164
"Vegfa→Flt1",8.18067160284497,16.7550057767421,-8.57433417389715
"Vegfa→Kdr",8.04137115849115,17.1856929538392,-9.14432179534806
"Csf1→Csf1r",31.7035106441088,42.4427383297334,-10.7392276856246
"Pdgfb→Pdgfrb",11.0994627475576,22.1481423902495,-11.048679642692
"Cxcl12→Cxcr4",26.9588168417733,40.2706129820887,-13.3117961403155
