"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"S100a9",5.65774196332857,0,0,0.483,0.019,"macrophage_FindMarkers","CLP vs Steady"
"CT010467.1",-4.02602795356579,0,0,0.553,0.839,"macrophage_FindMarkers","CLP vs Steady"
"Mir6236",-2.13985109460903,0,0,0.668,0.952,"macrophage_FindMarkers","CLP vs Steady"
"Rpl38",0.945479144886021,0,0,0.952,0.934,"macrophage_FindMarkers","CLP vs Steady"
"C1qb",0.659940052636469,0,0,0.984,0.968,"macrophage_FindMarkers","CLP vs Steady"
"mt-Rnr1",-2.3490874022861,0,0,0.992,0.995,"macrophage_FindMarkers","CLP vs Steady"
"S100a8",5.46702958039584,2.48361582633548e-314,6.64615595127375e-310,0.433,0.014,"macrophage_FindMarkers","CLP vs Steady"
"Rpl41",0.743881163381536,2.18784286771913e-307,5.85466751401638e-303,0.967,0.961,"macrophage_FindMarkers","CLP vs Steady"
"C1qa",0.621787238883432,1.49723580070932e-297,4.00660300269813e-293,0.981,0.964,"macrophage_FindMarkers","CLP vs Steady"
"Ifitm2",1.02860567267299,8.2796210152976e-281,2.21562658369364e-276,0.961,0.935,"macrophage_FindMarkers","CLP vs Steady"
"Rps21",0.669443656788579,1.14001607993309e-272,3.05068302990096e-268,0.964,0.957,"macrophage_FindMarkers","CLP vs Steady"
"Fcer1g",0.718496182529653,4.12513861526356e-272,1.10388709344453e-267,0.972,0.956,"macrophage_FindMarkers","CLP vs Steady"
"Lars2",-1.78297563815125,6.72754086540652e-269,1.80028993558278e-264,0.511,0.81,"macrophage_FindMarkers","CLP vs Steady"
"Rpl37",0.714223376910457,4.34468269636271e-258,1.16263708954666e-253,0.957,0.951,"macrophage_FindMarkers","CLP vs Steady"
"Gm42418",-1.63382793186737,1.28995386950466e-256,3.45191655479446e-252,0.999,0.995,"macrophage_FindMarkers","CLP vs Steady"
"Cyba",0.766434387668124,7.26288530883265e-252,1.94354810864362e-247,0.951,0.94,"macrophage_FindMarkers","CLP vs Steady"
"Gm10076",1.38887064565904,5.8349245915749e-250,1.56142582070544e-245,0.83,0.643,"macrophage_FindMarkers","CLP vs Steady"
"Rpl37a",0.643569750953234,6.37625794423754e-248,1.70628662587797e-243,0.965,0.961,"macrophage_FindMarkers","CLP vs Steady"
"Rpl6",0.663226168331407,7.90045609688614e-241,2.11416205152673e-236,0.954,0.954,"macrophage_FindMarkers","CLP vs Steady"
"Rpl39",0.698941753658149,4.27331792879735e-239,1.14353987774617e-234,0.952,0.944,"macrophage_FindMarkers","CLP vs Steady"
"Saa3",11.5663234159013,1.41935242142604e-235,3.79818707973609e-231,0.325,0.004,"macrophage_FindMarkers","CLP vs Steady"
"Rps29",0.642003027254055,2.91181196910359e-234,7.79200882932122e-230,0.987,0.982,"macrophage_FindMarkers","CLP vs Steady"
"Rpl21",0.610853178786024,2.81777290646686e-217,7.54036029770531e-213,0.957,0.95,"macrophage_FindMarkers","CLP vs Steady"
"Rps8",0.557998539315586,6.26489614546546e-217,1.67648620852656e-212,0.972,0.971,"macrophage_FindMarkers","CLP vs Steady"
"Fau",0.60839881002115,3.14317623732804e-216,8.41113961108983e-212,0.979,0.978,"macrophage_FindMarkers","CLP vs Steady"
"Rps26",0.824326703340802,4.30602885720816e-212,1.1522933221889e-207,0.94,0.921,"macrophage_FindMarkers","CLP vs Steady"
"Tyrobp",0.566193430855692,5.75997721884803e-212,1.54136990376373e-207,0.969,0.957,"macrophage_FindMarkers","CLP vs Steady"
"Rps28",0.691576714603005,1.19668340973828e-209,3.20232480445962e-205,0.949,0.944,"macrophage_FindMarkers","CLP vs Steady"
"Mycbp2",-0.968838512879459,2.67040427569736e-208,7.14600184176613e-204,0.671,0.874,"macrophage_FindMarkers","CLP vs Steady"
"Cxcl13",6.67305070848074,6.48306681703451e-206,1.73486868023843e-201,0.289,0.006,"macrophage_FindMarkers","CLP vs Steady"
"Hspa1a",-1.89253941027036,3.63837472172922e-205,9.7362907553474e-201,0.349,0.667,"macrophage_FindMarkers","CLP vs Steady"
"Rpl36",0.670623601211895,2.32194779956038e-201,6.21353231162357e-197,0.942,0.93,"macrophage_FindMarkers","CLP vs Steady"
"Fpr1",6.09078876543497,6.74807446431486e-198,1.80578472665066e-193,0.284,0.008,"macrophage_FindMarkers","CLP vs Steady"
"Clic1",0.721016959226135,2.53613222138833e-196,6.78668982443518e-192,0.926,0.911,"macrophage_FindMarkers","CLP vs Steady"
