"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"S100a9",5.65774196332857,0,0,0.483,0.019,"macrophage_FindMarkers","CLP vs Steady"
"CT010467.1",-4.02602795356579,0,0,0.553,0.839,"macrophage_FindMarkers","CLP vs Steady"
"Mir6236",-2.13985109460903,0,0,0.668,0.952,"macrophage_FindMarkers","CLP vs Steady"
"mt-Rnr1",-2.3490874022861,0,0,0.992,0.995,"macrophage_FindMarkers","CLP vs Steady"
"S100a8",5.46702958039584,2.48361582633548e-314,6.64615595127375e-310,0.433,0.014,"macrophage_FindMarkers","CLP vs Steady"
"Ifitm2",1.02860567267299,8.2796210152976e-281,2.21562658369364e-276,0.961,0.935,"macrophage_FindMarkers","CLP vs Steady"
"Lars2",-1.78297563815125,6.72754086540652e-269,1.80028993558278e-264,0.511,0.81,"macrophage_FindMarkers","CLP vs Steady"
"Gm42418",-1.63382793186737,1.28995386950466e-256,3.45191655479446e-252,0.999,0.995,"macrophage_FindMarkers","CLP vs Steady"
"Gm10076",1.38887064565904,5.8349245915749e-250,1.56142582070544e-245,0.83,0.643,"macrophage_FindMarkers","CLP vs Steady"
"Saa3",11.5663234159013,1.41935242142604e-235,3.79818707973609e-231,0.325,0.004,"macrophage_FindMarkers","CLP vs Steady"
"Cxcl13",6.67305070848074,6.48306681703451e-206,1.73486868023843e-201,0.289,0.006,"macrophage_FindMarkers","CLP vs Steady"
"Hspa1a",-1.89253941027036,3.63837472172922e-205,9.7362907553474e-201,0.349,0.667,"macrophage_FindMarkers","CLP vs Steady"
"Fpr1",6.09078876543497,6.74807446431486e-198,1.80578472665066e-193,0.284,0.008,"macrophage_FindMarkers","CLP vs Steady"
"Hnrnph1",-1.12161070382829,1.35878750900918e-192,3.63611537410856e-188,0.539,0.797,"macrophage_FindMarkers","CLP vs Steady"
"Ifi27l2a",1.14147816692086,9.76996114996755e-183,2.61444160373132e-178,0.968,0.941,"macrophage_FindMarkers","CLP vs Steady"
"Ifi30",1.13954705822169,1.72323683332646e-167,4.61138176598161e-163,0.844,0.751,"macrophage_FindMarkers","CLP vs Steady"
"Ms4a6d",1.14363739664227,5.36854059354137e-164,1.43662146283167e-159,0.811,0.724,"macrophage_FindMarkers","CLP vs Steady"
"Ccl8",3.19250108239382,1.37532803392329e-163,3.68037781877872e-159,0.463,0.174,"macrophage_FindMarkers","CLP vs Steady"
"Hsp90aa1",-1.01374996148018,2.00393302176587e-163,5.36252476624546e-159,0.708,0.867,"macrophage_FindMarkers","CLP vs Steady"
"Uba52",1.38981448854405,4.30815743415457e-161,1.15286292937976e-156,0.738,0.51,"macrophage_FindMarkers","CLP vs Steady"
"Dnaja1",-1.00944225210207,8.68765943837812e-151,2.32481766570998e-146,0.609,0.817,"macrophage_FindMarkers","CLP vs Steady"
"Rac2",1.23435158025403,3.83565329361708e-148,1.02642082137193e-143,0.804,0.707,"macrophage_FindMarkers","CLP vs Steady"
"Kmt2a",-1.11450139807952,2.00072572363661e-147,5.35394203645157e-143,0.482,0.747,"macrophage_FindMarkers","CLP vs Steady"
"Ciita",-1.93119602133811,9.82468662297326e-147,2.62908614030764e-142,0.154,0.452,"macrophage_FindMarkers","CLP vs Steady"
"Hspa1b",-2.22653565971163,6.98740151337415e-143,1.86982864497892e-138,0.15,0.429,"macrophage_FindMarkers","CLP vs Steady"
"Acp5",3.68387707146087,3.53036327227028e-138,9.44725211659527e-134,0.329,0.088,"macrophage_FindMarkers","CLP vs Steady"
"Ccl24",-1.41148198509547,6.40434012226252e-135,1.71380141671745e-130,0.393,0.661,"macrophage_FindMarkers","CLP vs Steady"
"Lst1",1.09354704932941,1.92724788360412e-126,5.15731533652462e-122,0.812,0.71,"macrophage_FindMarkers","CLP vs Steady"
"Ttc3",-1.1589135094453,1.99004250826511e-123,5.32535375211743e-119,0.338,0.619,"macrophage_FindMarkers","CLP vs Steady"
"Retnlg",5.26349669427631,1.50030396619239e-122,4.01481341353083e-118,0.167,0.003,"macrophage_FindMarkers","CLP vs Steady"
"Nabp1",-1.35710424354863,2.69112958289366e-120,7.20146276382342e-116,0.278,0.552,"macrophage_FindMarkers","CLP vs Steady"
"Smg1",-1.01901905091953,5.69662580025473e-119,1.52441706414817e-114,0.392,0.653,"macrophage_FindMarkers","CLP vs Steady"
"Cfp",1.06770872986466,1.74714806208489e-116,4.67536821413917e-112,0.767,0.613,"macrophage_FindMarkers","CLP vs Steady"
