"group","celltype","gene","expr"
"CLP","B-cells","Il1r1",0.000361931093126762
"CLP","B-cells","Cd44",0.215304507367747
"CLP","B-cells","Il1b",0.184461059325322
"CLP","B-cells","Cxcr3",0.011821396854852
"CLP","B-cells","Il6ra",0.270846755687795
"CLP","B-cells","Csf1",0.0100344043569221
"CLP","B-cells","Il6",0.00166133815754831
"CLP","B-cells","Cxcl10",0.0343343730723882
"CLP","B-cells","Spp1",0.00789632649599198
"CLP","B-cells","Flt1",0.0240498209593149
"CLP","B-cells","Tnfrsf1a",0.160859788709646
"CLP","B-cells","Ccr2",0.065456301127256
"CLP","B-cells","Ccl2",0.42926959235177
"CLP","B-cells","Tnf",0.0950311047274592
"CLP","B-cells","Vegfa",0.00704628988492657
"CLP","B-cells","Csf1r",0.606307707004854
"CLP","Endothelial","Il1r1",0.188547269716788
"CLP","Endothelial","Cd44",0.0377816455791666
"CLP","Endothelial","Il1b",0.0466908832820259
"CLP","Endothelial","Cxcr3",0.000342171998302402
"CLP","Endothelial","Il6ra",0.0398703735322579
"CLP","Endothelial","Csf1",0.22411217476485
"CLP","Endothelial","Il6",0.0034427693774507
"CLP","Endothelial","Cxcl10",0.0156594618976403
"CLP","Endothelial","Spp1",0.007720013993288
"CLP","Endothelial","Flt1",2.78883927994616
"CLP","Endothelial","Tnfrsf1a",0.839090606842283
"CLP","Endothelial","Ccr2",0.0156924636325132
"CLP","Endothelial","Ccl2",0.151360679727715
"CLP","Endothelial","Tnf",0.0375331171859154
"CLP","Endothelial","Vegfa",0.0753146995533501
"CLP","Endothelial","Csf1r",0.14561733802528
"CLP","Fibroblasts","Il1r1",0.661104610005587
"CLP","Fibroblasts","Cd44",0.174026159986162
"CLP","Fibroblasts","Il1b",0.101788401470771
"CLP","Fibroblasts","Cxcr3",0.00212818426828642
"CLP","Fibroblasts","Il6ra",0.46232660575852
"CLP","Fibroblasts","Csf1",0.634435683111779
"CLP","Fibroblasts","Il6",0.0386847248774786
"CLP","Fibroblasts","Cxcl10",0.0357906429861088
"CLP","Fibroblasts","Spp1",0.0268990069965945
"CLP","Fibroblasts","Flt1",0.200153394540858
"CLP","Fibroblasts","Tnfrsf1a",0.885191932806258
"CLP","Fibroblasts","Ccr2",0.0222473412906087
"CLP","Fibroblasts","Ccl2",0.382102051469808
"CLP","Fibroblasts","Tnf",0.0366016692241294
"CLP","Fibroblasts","Vegfa",0.183395921896078
"CLP","Fibroblasts","Csf1r",0.325410518798411
"CLP","Granulocytes","Il1r1",0.00482114159244665
"CLP","Granulocytes","Cd44",1.24559065490557
"CLP","Granulocytes","Il1b",3.42123612268076
"CLP","Granulocytes","Cxcr3",0.00598948838522834
"CLP","Granulocytes","Il6ra",0.637399963775607
"CLP","Granulocytes","Csf1",0.149145577864867
"CLP","Granulocytes","Il6",0.0046522589326668
"CLP","Granulocytes","Cxcl10",0.0375085335152622
"CLP","Granulocytes","Spp1",0.0371837749869059
"CLP","Granulocytes","Flt1",0.0767879873174887
"CLP","Granulocytes","Tnfrsf1a",1.01718910819384
"CLP","Granulocytes","Ccr2",0.080394161542468
"CLP","Granulocytes","Ccl2",0.517178793170729
"CLP","Granulocytes","Tnf",0.35817974731172
"CLP","Granulocytes","Vegfa",0.0492723499921069
"CLP","Granulocytes","Csf1r",0.715557133845231
"CLP","Macrophages","Il1r1",0.00350766202574855
"CLP","Macrophages","Cd44",0.531074810849277
"CLP","Macrophages","Il1b",0.610910579980368
"CLP","Macrophages","Cxcr3",0.0251488653070787
"CLP","Macrophages","Il6ra",0.825649307266637
"CLP","Macrophages","Csf1",0.0193186547872035
"CLP","Macrophages","Il6",0.00730715249213107
"CLP","Macrophages","Cxcl10",0.110731117587139
"CLP","Macrophages","Spp1",0.0474776736402421
"CLP","Macrophages","Flt1",0.0372875600346361
"CLP","Macrophages","Tnfrsf1a",0.698989650537892
"CLP","Macrophages","Ccr2",0.196909729248301
"CLP","Macrophages","Ccl2",1.31874069904417
