"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","226/5880","250/11190",0.904,1.72036734693878,12.121389353218,4.79223089252323e-39,1.67728081238313e-36,1.49329499882299e-36,"56443/19345/17948/74734/56444/21898/16593/12367/69582/80743/16573/18704/16176/16574/235661/19766/320795/56382/67166/12018/74117/22030/67665/26395/14082/53857/68097/21937/70297/12043/24088/74764/17113/11845/107607/56532/27205/59288/23797/17951/11840/67951/22035/15519/29857/227613/17907/67771/16649/66724/22145/622434/66513/13191/17898/105504/19353/22034/56378/12370/170625/12306/11308/16842/21415/234686/20430/68089/18645/74568/26396/73710/71732/16193/27050/17920/353047/67117/17952/234663/140580/22428/110157/26397/16179/100041194/21899/74192/68724/54130/16648/11796/12369/15516/11465/18706/19157/26416/22154/72318/69654/56551/140579/17906/98932/19349/13427/11852/19264/22146/11848/11461/22153/213575/19344/15461/12475/240752/13424/26398/242894/26409/100310872/21926/12028/69146/68652/100040563/11841/12675/17874/11797/73178/11651/192656/18035/14433/226977/117149/30955/12387/14281/19159/26414/110750/26413/22143/105855/26399/18479/216799/26400/74769/66713/192176/16173/21414/225326/11867/18707/218035/20336/269338/22166/16646/56455/16476/280408/268973/12363/16594/11652/271457/56212/71999/56044/226421/19878/53598/18033/22027/19094/235406/12540/66482/76709/71609/26415/67068/13063/16150/22152/66824/101314/12362/80837/170760/17869/20194/21416/100040531/19697/16151/26417/26420/26419/67268/20130/17281/17087/22142/245880/53413/18643/22151/266632/50884/13430/77573/66616/67938/228545/21933/110350/76884/19158",226
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","223/5880","254/11190",0.877952755905512,1.67079784669773,11.3793199031816,7.72732687243509e-34,1.35228220267614e-31,1.20394643243099e-31,"14420/73834/16783/19141/21871/232946/114128/66508/11773/228983/11778/22320/56464/19063/15212/80743/17939/11774/69596/21425/13040/66848/76252/142980/67166/13034/11984/16541/97998/67489/11973/106039/74008/215335/108011/26889/11777/320528/17113/64291/235504/109685/71770/72368/13032/52120/12752/18711/13038/11782/235380/12091/18174/240283/170743/252972/75620/13036/252903/72392/11433/11766/63959/11771/12751/271564/68279/66237/71923/56433/11881/71732/11974/64138/18173/12757/353047/19025/27426/12492/67605/11886/74370/110006/56325/68724/68526/76524/67774/103199/217265/13423/74105/15211/58911/68441/83409/11764/17828/268706/55946/16792/19349/56692/16004/71279/71665/233979/27029/12514/211286/67300/17159/18457/20661/67963/66096/11781/54397/192654/83429/211978/75612/234967/11975/73689/66335/64933/13030/17342/15931/246049/66439/56717/214505/56722/11765/74245/20955/99031/94178/17775/14533/67474/232910/71718/66144/16784/65221/52187/68576/66290/218035/260302/269338/18010/66049/11605/231855/75425/15932/72175/11432/74385/11972/20597/30930/11966/76303/18145/229445/76161/11593/11883/71720/11964/13039/117197/27060/71240/227659/56716/11772/65114/432486/209446/12512/27419/14387/14628/79196/11305/11776/26373/69091/54411/214585/50917/20615/14667/67727/15587/114143/19156/15586/13033/108664/77573/74325/54170/228545/100561/108012/94245/11769/53599/74347/211329/16889/11767/110173/104082/170744",223
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","377/5880","481/11190",0.783783783783784,1.49158852730281,11.5967650133409,3.84853352608087e-33,4.48995578042768e-31,3.99743946413042e-31,"12460/13385/11820/50873/56444/16593/13163/22417/22433/230075/57265/22333/12367/66052/57296/212398/17274/26445/12122/16573/11740/22418/12325/16176/26446/233908/16574/54152/12569/12006/22241/72900/50490/67414/329015/56791/15194/12018/21353/12866/68197/22030/67665/26395/56637/216795/14082/217695/12861/13000/53857/68198/18803/12289/21937/14362/66694/17722/12043/66152/53333/74764/12867/66091/18126/19122/67530/16974/11836/59288/26441/54405/17991/67951/12371/66413/29857/227613/22413/17705/67184/17463/22145/17710/140499/68943/16438/12288/13544/12995/22334/13191/19182/16973/641376/237782/12421/22187/12364/22201/20907/22410/19353/12323/73916/110616/12322/27412/12370/19225/13001/19132/26396/73710/69590/12865/22213/16193/17719/67273/19173/19172/22428/19058/17711/269523/109880/110157/66725/26397/66046/66416/67790/105675/54130/12359/11596/225887/19056/19055/14367/110323/23996/67305/67847/103199/12369/68375/73205/19166/17720/26416/12064/18752/22154/170731/56228/68015/15114/56491/69654/78330/56480/13666/22335/228361/14365/14828/69926/66142/14682/66997/19164/52335/22419/14366/22146/19184/17708/19324/17716/22153/15461/17995/21762/13058/74018/74781/100504663/76559/18040/66576/67128/66925/68194/21926/22195/12028/66377/20463/68349/84682/13543/51897/67819/67130/67089/26408/22186/66414/13198/226977/12869/19181/12387/12048/27373/12868/56717/66495/26414/18797/18751/26413/19167/12314/22143/22273/26399/14369/26400/218460/230908/26443/19185/13665/19179/641340/19165/226646/327954/29869/20238/78294/66594/225326/56208/67003/53623/16439/595136/15108/53313/108058/14368/226641/66734/16594/70316/271457/12859/12315/26440/66916/18795/215999/22190/22223/14778/11938/67151/11789/13542/71648/12858/18750/233871/64704/53598/75600/14102/17718/18033/20617/20191/68202/105000/19170/12005/68118/19094/78943/269881/12864/14775/16175/12977/22272/12671/26415/18391/13063/227197/66218/22152/67680/19057/21938/12015/67264/18951/26444/22412/26442/330355/19697/23997/17721/12334/26417/70247/75406/26420/26419/22411/67443/20422/22142/12568/75669/214585/22123/11783/22065/14296/20239/104130/56436/18798/407785/110083/17993/18176/68342/22151/11950/68942/20655/12333/52639/19177/333182/69875/215114/66445/11911/74153/66108/57320/17709/17706/67738/14370/93687/59029/11739/17717/17762/16440/12862/18412/12313/12857/69077/19175/66945/16653",377
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal","156/5880","167/11190",0.934131736526946,1.77770988634975,10.6552339846498,1.64428708256299e-31,1.43875119724262e-29,1.28093039134e-29,"27103/245860/15289/16783/56486/78610/22084/22320/17274/80743/15251/57436/19053/18709/22241/67526/329015/21353/52440/26395/97998/75909/217695/100502698/12043/18753/105787/19338/23797/666468/242557/77040/16438/53331/170749/237782/74498/12421/22187/74302/22034/26396/71732/353047/110157/67605/67790/74370/66795/74747/69635/67841/20869/66840/73205/68441/18706/18710/13143/56480/58988/13666/228361/100502841/19349/16367/18708/18518/19324/68728/15461/72145/74781/100504663/76559/74244/56790/18761/26409/12633/51897/18749/108079/22186/11651/213948/13030/12048/56717/26414/11793/26413/17966/218460/67474/74769/13665/641340/16784/29869/52187/78294/225326/56208/18707/218035/18747/97287/66922/269338/66734/11652/64930/13144/22190/71648/226421/93739/207565/68118/13039/78943/235040/19744/73683/19211/56716/12015/54673/72508/19052/26417/26420/26419/20130/67443/17532/75669/70231/67727/12211/18176/56418/12176/13033/384783/52639/77573/18607/54170/228545/54636/66615/16001/18412/16653",156
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","182/5880","202/11190",0.900990099009901,1.71463932107496,10.785500596004,3.67532872626249e-31,2.57273010838375e-29,2.29051985559424e-29,"11798/13866/22330/12443/19303/17931/12928/19046/224105/22370/16202/13730/18709/70584/12929/18717/16412/232906/18654/16419/26395/56637/16000/12845/12043/60595/22339/12391/14083/23797/17907/213435/12829/18591/71785/21894/16779/21825/13712/22371/21923/14268/12389/16773/17898/19047/16777/226519/19353/16398/16401/109905/16416/19699/22323/54635/109880/110157/21960/11796/12445/14784/213119/14257/11465/18706/18590/22340/18752/20779/12835/18710/23928/12841/22793/104099/330662/17906/16774/13649/98932/18708/109700/11848/286940/21828/11461/15461/241226/109711/16399/16402/11797/11651/14360/18596/16400/12830/319480/16776/22341/12387/170758/21827/20750/26414/18751/170736/26413/21826/13367/18479/15234/74769/13731/57257/192176/16410/12927/12390/22325/11855/329251/12826/18707/12828/20662/107589/16476/12843/11652/16780/70549/12842/13645/22324/18750/19878/20663/16404/12540/215449/19877/18720/16421/19211/238564/16403/12015/216148/18719/245026/12444/14205/12334/16542/26417/26420/26419/67268/232807/17295/14254/16782/94216/320910/16775/107746/64099/57342/19045/192897/19354/81877/18595/12827/67938/18607/20416/12834/16001/12833",182
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","312/5880","389/11190",0.802056555269923,1.52636273018205,11.1189809955062,7.04667511164552e-31,4.11056048179322e-29,3.65966113992553e-29,"68318/11820/328133/16593/22417/106957/22433/230075/57265/22333/12367/66052/57296/212398/208117/26445/12122/16573/56175/11740/22418/16176/26446/213053/16574/18709/12569/12006/16971/22241/72900/50490/226548/329015/16956/12866/68197/22030/26395/56637/227059/216795/14082/12861/13000/53857/68198/12289/21937/14362/66694/17722/66152/74764/12867/66091/18126/67530/16974/11836/26441/54405/23797/17991/67951/12371/66413/227613/22413/20168/234664/17705/67184/17463/18174/22145/17710/16438/12288/13544/12995/22334/19182/16973/12421/12364/22410/27412/12370/19225/13001/11816/26396/73710/12865/16193/17719/67273/67547/19173/19172/19058/17711/109880/110157/66046/66416/105675/11785/11596/225887/19056/17380/19055/14367/110323/23996/12369/68375/19166/18706/17720/22154/18710/78330/66340/13666/22335/228361/14365/66142/14682/66997/19164/69806/16367/18708/11491/22419/14366/22146/19184/17708/17716/22153/15461/17995/21762/13058/74781/100504663/76559/66576/16337/66925/68194/21926/66377/20463/68349/84682/12675/13543/51897/67130/67089/26408/23821/11651/66414/13198/15925/14433/12869/19181/12387/27373/12868/56717/66495/26414/18797/26413/19167/12314/22143/22273/14369/26400/74769/26443/19185/13665/19179/641340/19165/226646/29869/66594/225326/56208/67003/18707/19106/16439/595136/15108/53313/14368/226641/16594/11652/70316/12859/12315/26440/66916/18795/215999/11487/11938/67151/11789/13542/12858/75600/14102/17718/18033/20617/68202/19170/12005/68118/78943/12864/16175/12977/22272/12671/30791/13063/227197/66218/16150/22152/67680/19057/12015/67264/26444/68427/22412/26442/72027/19697/23997/17721/12334/16151/26417/70247/75406/26420/26419/22411/20422/22142/12568/75669/22123/11783/14296/14977/104130/56436/18798/407785/17993/18176/68342/22151/106947/11950/12333/384783/52639/19177/333182/69875/66445/68585/11911/66108/17709/17706/67738/14370/93687/59029/11739/17717/17762/59287/16440/12862/12313/12857/69077/19175/66945/16653",312
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","227/5880","268/11190",0.847014925373134,1.61192126104173,10.6696185505025,2.65688070724761e-29,1.3284403536238e-27,1.18271986518614e-27,"56443/15040/13855/13132/19345/19334/56513/75788/15042/66371/15007/70160/11773/17274/15239/16573/21812/22088/15481/320129/245666/16574/20479/21813/18717/216724/234852/347722/74117/56440/30948/52055/70527/78287/14773/18571/11842/70432/66914/15482/28006/193740/11845/13196/12391/11844/71770/11840/17126/19325/75767/319740/106952/67771/216859/28084/319277/66313/16186/19341/72183/20405/66700/100017/67064/12389/54198/228998/14964/14972/259300/11771/13858/216963/212285/22034/12343/66251/93737/56378/22042/56433/17246/14183/68089/12757/232227/12767/71955/58220/68524/74192/69780/12402/12345/12774/56324/18762/116733/69178/110355/330319/19157/20779/68767/72318/12765/76959/54189/13649/16835/19349/69710/72543/99371/14991/208092/16004/27681/11848/216439/19344/15461/242894/67300/17999/16184/105513/11841/67588/73178/215445/78618/57440/215632/13854/53869/215280/208650/18806/19159/16396/107338/15511/234353/230837/20844/194309/66201/232910/15015/330192/66713/12390/58194/14184/223593/67804/218441/98366/11867/103967/83814/73728/18805/271457/16185/22365/69150/30930/75608/27965/18854/13660/84092/18759/55988/225861/12540/76709/211673/93742/18720/216869/74998/11772/65114/54673/15018/12340/73711/17127/18719/77407/26385/227700/11843/69091/67282/68953/15039/107305/106572/20408/14772/213990/13859/230597/14276/52348/98878/68942/18595/13430/19326/107568/74325/13429/216238/19158/140500/109689/77038/16001/110557/26431/211914",227
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","129/5880","136/11190",0.948529411764706,1.80510954381753,9.94035142189115,4.13285693013002e-28,1.80812490693188e-26,1.60978642385609e-26,"56443/16801/22637/20296/16818/20112/21898/69632/19303/12928/16176/18709/12929/18717/16412/320795/74117/22030/26395/56637/12504/18803/108100/11845/14083/23797/110651/109333/16797/29857/67771/18019/106759/66513/14268/18018/19353/22034/16401/56378/16183/68089/26396/16885/16193/20293/16822/140580/26397/16179/68524/20111/74192/330319/11465/18706/26416/20779/18710/56480/330662/140579/14682/18708/11848/11461/26398/242894/26409/21926/68652/12675/16402/17874/73178/11651/18035/215280/170758/14281/26414/26413/26399/216799/26400/74769/66713/57257/12927/16173/54483/22325/19229/11867/18707/18021/16476/268973/16153/11652/56212/22324/19878/18033/242687/19094/14131/12540/76709/22376/19877/26415/54131/18720/16150/66824/12362/18719/19697/16151/54353/26417/26420/26419/266632/19354/110596/54126/26431",129
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","145/5880","157/11190",0.923566878980892,1.75760431561159,10.0596413286946,6.49378647607491e-28,2.52536140736246e-26,2.24834716524114e-26,"17128/22589/12448/56438/12443/52206/70315/20842/69957/22390/20843/19053/105988/67177/22059/21808/211586/56317/23882/56637/13006/12566/66156/71175/12571/22627/12572/27214/71890/68999/22628/56452/217232/17126/226849/225849/26932/22631/22630/12576/26428/50793/69010/12578/12442/11350/433759/52563/66591/23834/18817/12545/73699/17246/67052/52717/19357/22629/21809/13197/12581/12445/54401/268930/59008/69716/12236/17220/26931/12237/17216/12447/13557/15182/56371/66440/12534/30939/12579/268697/66671/24061/19651/12577/22642/18393/245000/19650/72415/17218/328572/17217/17219/100710/105837/71988/67141/229776/218914/55948/26965/11920/12531/27401/17215/20877/242705/12530/21781/12580/26429/17222/56150/12567/74549/21803/17869/17127/12444/19052/18538/77805/19090/51792/12914/107995/17120/12428/218294/13559/71521/12575/12649/104394/12235/99152/17873/50883/320209/19645/13555/75430/21770/12544/76464",145
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","246/5880","299/11190",0.822742474916388,1.56572930175415,10.4339182097921,1.07858212265226e-27,3.77503742928291e-26,3.3609425874897e-26,"13866/218397/20112/13867/18188/240672/13163/12367/14165/21812/15481/12928/16180/224105/13836/16176/14172/26405/12929/21813/18654/26410/22059/16177/21808/14182/26406/22030/13636/26395/23882/14178/16000/19713/12299/12289/17187/21937/67603/21687/14013/12978/15482/193740/22339/11836/23797/110651/15370/19279/13874/29857/17260/15507/58231/17346/16590/18591/71785/12288/54377/66513/76089/19042/102626/225028/13712/18018/19353/26411/14173/22034/109905/14164/14183/26396/72349/320139/14701/19058/54635/21809/109880/110157/26397/13197/16179/13640/13714/17165/20111/19043/233046/17347/26401/19056/12293/19055/14784/11839/14257/18590/26416/12064/22340/18752/80903/53608/18034/14256/20807/16002/26921/23939/58226/13649/19698/56692/26940/114713/15461/73086/12475/26398/16765/381921/17164/26412/53859/16337/26409/21926/68652/12675/17874/18749/26408/11651/13198/18596/21802/22341/170758/14281/15511/26414/18053/23938/18751/26413/12298/26399/18479/19418/26400/18211/15234/19099/235584/192176/14184/13537/14673/18747/11909/18783/66922/20662/26403/240168/18218/18021/16476/11652/18099/26404/12531/13645/12297/19419/56613/18750/12296/18049/216965/14102/18033/20663/30957/19094/269881/12540/14180/215449/18015/71609/16175/12977/26415/16150/70686/216869/19057/21803/13637/17869/14205/19252/26407/19697/16151/16542/26417/26420/26419/20130/11600/17295/17532/19060/14254/65964/17311/18176/18212/266632/19354/18205/81904/63953/13639/18595/17873/319520/11911/330177/19395/11601/16478/109689/56274/17762/16001/12286/16653/12291",246
