"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC","pvalue","padj"
"Fabp4",13.6897757179261,13.8484826386985,125.361853367371,1.55205332773586e-10,1.59394224353204e-07,12.8881833894774,13.6897757179261,1.55205332773586e-10,1.59394224353204e-07
"Mt1",13.6778989410509,13.545775174032,125.129795786036,1.56760260074002e-10,1.59394224353204e-07,12.8853592996108,13.6778989410509,1.56760260074002e-10,1.59394224353204e-07
"Tpt1",12.5632530695596,12.5726931376504,119.524651696236,2.0059464560118e-10,1.59394224353204e-07,12.8129323631052,12.5632530695596,2.0059464560118e-10,1.59394224353204e-07
"Mt2",12.2112007200811,12.0540681151739,111.973599614718,2.84969518620506e-10,1.59394224353204e-07,12.700935662017,12.2112007200811,2.84969518620506e-10,1.59394224353204e-07
"H3f3b",11.9292212524706,11.9873741231634,109.683123503297,3.18483442661657e-10,1.59394224353204e-07,12.6632052063957,11.9292212524706,3.18483442661657e-10,1.59394224353204e-07
"Ifitm2",12.0359892397937,11.9305767630874,109.44946063095,3.22158451184716e-10,1.59394224353204e-07,12.6592484163078,12.0359892397937,3.22158451184716e-10,1.59394224353204e-07
"Rpl13",11.6045131931751,11.5804620392997,106.932998901715,3.65102591602214e-10,1.59394224353204e-07,12.6153102413541,11.6045131931751,3.65102591602214e-10,1.59394224353204e-07
"Timp3",11.3259365176135,11.3762933883467,105.729747743392,3.88019457991781e-10,1.59394224353204e-07,12.5934115316284,11.3259365176135,3.88019457991781e-10,1.59394224353204e-07
"Eef1a1",12.1135504716503,12.0981725234391,105.001238901605,4.02723771385227e-10,1.59394224353204e-07,12.5798612200525,12.1135504716503,4.02723771385227e-10,1.59394224353204e-07
"Rps20",11.1660570896236,11.1580040216794,104.353448133795,4.16356685092913e-10,1.59394224353204e-07,12.567622842749,11.1660570896236,4.16356685092913e-10,1.59394224353204e-07
"Rps24",11.5023155930084,11.4976014269502,104.341372230885,4.16615975405105e-10,1.59394224353204e-07,12.567392983208,11.5023155930084,4.16615975405105e-10,1.59394224353204e-07
"Rpl23",11.4076210003499,11.4244190182136,104.036555761056,4.23224766859472e-10,1.59394224353204e-07,12.5615699429092,11.4076210003499,4.23224766859472e-10,1.59394224353204e-07
"Ifitm3",12.3729415112749,12.5730340098146,103.71003533648,4.30442503011394e-10,1.59394224353204e-07,12.5552872043319,12.3729415112749,4.30442503011394e-10,1.59394224353204e-07
