"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"mmu03050","Proteasome",46,0.730037130545423,2.88620985718075,1e-10,8.43586579632283e-09,6.40905554850689e-09,3080,"tags=78%, list=21%, signal=62%","66413/22123/26443/103554/69077/19167/66537/59029/66997/19166/19192/23996/70247/19185/67151/19179/19175/67089/19177/26441/21762/20422/19172/17463/26445/26444/57296/56436/26446/228769/19182/19181/19170/26442/19173/19184",NA
"mmu03008","Ribosome biogenesis in eukaryotes",73,0.621420077068634,2.65652649802756,1e-10,8.43586579632283e-09,6.40905554850689e-09,2393,"tags=59%, list=16%, signal=50%","72515/52530/30877/224092/14113/53319/59028/230737/21771/73674/67619/68147/69237/269470/66711/110816/97112/19384/217995/20826/71340/217109/230082/105372/66161/73736/16418/98956/213773/13000/67045/237107/55989/66932/67134/74778/67973/27993/216987/100019/225348/66181/237082",NA
"mmu03013","Nucleocytoplasmic transport",102,0.554178201955041,2.51911081070826,1e-10,8.43586579632283e-09,6.40905554850689e-09,2608,"tags=49%, list=18%, signal=41%","16646/218210/19826/53319/75826/21681/100042165/51796/57258/71805/18141/269113/66441/107939/226747/17149/97112/192170/19384/225160/60365/234733/19069/19386/269966/18226/100041953/70572/22196/74204/18949/233726/16649/53817/72124/22218/110750/433702/110379/72322/20220/170762/59015/13680/237082/16648/78428/56488/13627/66231",NA
"mmu03015","mRNA surveillance pathway",86,0.572671666049601,2.50590838200705,1.20512368518898e-10,8.43586579632283e-09,6.40905554850689e-09,3263,"tags=56%, list=22%, signal=44%","225363/52432/19826/53319/76626/21681/51796/66441/17149/19052/192170/68219/60365/234733/269061/51792/67897/70248/100041953/19053/18458/56422/18949/53817/71978/74737/233789/14852/226849/433702/381404/19047/20220/226517/74320/233908/230721/13680/19046/237082/78428/56488/66899/17690/105083/24018/67337/19054",0.826657301178302
"mmu03010","Ribosome",169,0.451117142067913,2.23245086410724,1.33929952046575e-09,7.81258053605018e-08,5.93552147955641e-08,3675,"tags=56%, list=25%, signal=43%","225215/28028/66223/68836/66448/66845/67840/16898/11837/20104/67941/64656/66973/78294/75398/19899/16785/68565/68028/50529/20091/94063/68052/20084/270106/67186/267019/19951/26961/65019/67248/54217/57808/56282/19942/68193/66475/353242/20085/27370/75617/19946/94062/57294/54127/68436/67891/19921/67671/66480/27050/66483/121022/100043813/59054/20088/20103/67427/65111/19982/76808/20055/20115/14109/66419/68735/20005/67025/56280/67097/19981/64657/269261/19988/19943/19896/67281/114641/64655/19944/26451/67212/66489/19933/67308/56040/20090/20116/67945/20068/20042/79044/27176/319195/19941",0.788186810800237
"mmu05014","Amyotrophic lateral sclerosis",310,0.411035380989922,2.17349178174871,1e-10,8.43586579632283e-09,6.40905554850689e-09,3598,"tags=46%, list=25%, signal=36%","22433/26397/15382/218210/66413/53319/22123/26443/69077/226641/21681/71805/18141/229279/269113/19057/107939/17184/19167/59029/53333/20383/66997/19353/19166/56717/13665/19069/21937/19386/269966/18226/23996/14828/70247/271457/19185/67151/18412/19179/19175/12859/11911/66694/22146/12868/56208/21353/56085/67089/19177/26441/21762/74781/20422/17720/56480/19172/72124/327954/13063/16573/17463/230075/26445/56444/66152/26444/57296/53598/233871/22241/329015/56436/269523/433702/12867/110379/225027/17706/69926/22272/67951/71648/66414/26446/67530/170762/66925/19324/68349/18040/233908/12028/59015/19182/11465/19181/51897/12864/237082/68942/73205/226646/12866/56488/12421/54405/12858/22145/11950/19170/237782/67443/72900/69875/26442/26415/19173/68118/67264/19184/74018/12857/66679/66734/54130/110323/11783/17993/67680/15185/53857/17705/17721/228361/21938/66916/70316/17717/76559/17711/641340",NA
"mmu05171","Coronavirus disease",194,0.422780493986557,2.09081703272153,5.11124891422784e-09,2.55562445711392e-07,1.94160735865494e-07,3675,"tags=50%, list=25%, signal=38%","20848/20344/17392/225215/16451/22034/12675/16898/18036/21937/18035/11837/20104/67941/68652/78294/24088/17874/19899/56480/16785/68028/20091/68052/20084/270106/67186/267019/26409/19951/26961/65019/67248/16193/54217/57808/216799/19942/19697/68193/66475/20085/27370/75617/19946/57294/54127/68436/67891/19921/67671/15200/66480/27050/26413/66483/72512/100043813/20088/12985/20103/20963/67427/56489/19982/16150/76808/20055/20115/14109/20005/67025/67097/15945/19981/269261/19988/26415/19943/19896/67281/114641/19944/26451/66489/19933/56040/20090/20116/20296/67945/20068/20042/27176/22031/319195/19941",0.761460801445585
"mmu04141","Protein processing in endoplasmic reticulum",158,0.420348437580542,2.07251320822203,6.65426958811533e-08,2.91124294480046e-06,2.21178456354273e-06,3180,"tags=41%, list=22%, signal=33%","22433/56445/18786/140499/109815/19359/217365/226641/56228/56709/68292/223455/67437/22230/26965/12033/13135/67812/20224/13665/66397/53421/66105/14828/56550/13002/11911/23802/193670/56085/15519/20335/107513/193740/15516/22213/18024/67128/225896/269523/100037258/110379/57743/67838/66245/77371/66890/74126/50907/12028/66256/64209/15505/63958/217379/15481/140740/15511/16430/69608/69038/108159/56438/12017/99683",0.704975715167238
"mmu04978","Mineral absorption",32,0.568313642335559,2.03531544158003,0.000607981843243519,0.0092518976145753,0.00702902667877414,662,"tags=19%, list=5%, signal=18%","17750/17748/18174/11928/11933/70358",0.477270815362862
"mmu04146","Peroxisome",74,-0.516414214150338,-2.02731265564797,4.48546576690212e-06,0.000112136644172553,8.51945726588394e-05,2161,"tags=38%, list=15%, signal=32%","14081/74043/17855/14712/19299/170789/13850/26874/19300/59038/67725/668173/212503/269951/15488/17527/113868/76263/11666/69129/67993/224824/67528/56794/26378/51798/74114/12359",0.610526878385931
"mmu05017","Spinocerebellar ataxia",127,0.423821657655358,2.01037098201005,1.31670285882016e-06,3.84038333822547e-05,2.91768868027467e-05,3430,"tags=48%, list=23%, signal=37%","22433/66413/22123/26443/69077/19167/59029/66997/19166/56717/23996/70247/19185/67151/11740/19179/19175/56208/67089/237336/19177/26441/21762/74781/20422/19172/52335/71722/13063/17463/26445/26444/57296/18798/233871/22241/67134/329015/56436/26446/69597/226153/19182/19181/51897/11938/12421/19170/81601/80913/21374/26442/19173/68118/19184/56543/105675/16504/80912/19883/228361",0.643551836150722
"mmu04137","Mitophagy - animal",97,0.434800853847427,1.97849523493354,2.15122843796354e-05,0.000470581220804525,0.000357518867302873,3298,"tags=44%, list=23%, signal=35%","67952/15251/52440/66687/19345/53333/13665/271457/23806/18412/11911/23802/56208/19349/78294/72542/59026/56480/13000/231874/66922/22187/22241/20437/245860/22190/68350/269523/19697/28185/71648/66437/56715/16653/69104/20779/67443/53375/12034/66734/75788/59040/17827",0.575610261071129
"mmu05016","Huntington disease",261,0.365153240785961,1.90580500355051,1.06063888953202e-07,4.12470679262451e-06,3.13370027374752e-06,4126,"tags=49%, list=28%, signal=36%","21817/20656/66413/22123/26443/69077/19167/59029/66997/19166/56717/23996/70247/19185/67151/11740/19179/19175/12859/66694/22146/12868/56208/74325/67089/237336/19177/26441/21762/17749/72504/74781/20422/17720/19172/73916/327954/13063/16573/17463/230075/26445/56444/66152/26444/57296/53598/18798/22241/20021/15194/329015/56436/69241/12867/12914/17706/69926/22272/20466/67951/19712/66414/26446/67530/66925/68349/12028/19182/19181/51897/12864/328572/226646/12866/66491/12421/54405/12858/22145/11950/18181/19170/67300/26427/72900/21374/69875/26442/19173/68118/67264/19184/12857/54130/110323/105675/11783/17993/67680/231329/53857/17705/17721/228361/66916/70316/17717/76559/17711/641340/12064/22227/17709/66445/21780/245841/78943/22030/67273/66142/66218/17722/26440/12370/20020/17716",0.704975715167238
"mmu05134","Legionellosis",54,0.476903247268788,1.89440406945858,0.000284160516266579,0.00497280903466513,0.00377803655306824,3249,"tags=50%, list=22%, signal=39%","20224/66397/18035/11840/56422/24088/17874/12475/11841/193740/13063/15510/16193/269523/19697/20310/19324/20333/14825/12750/13627/15481/18034/15511/12747/16409/11783",0.49849310876659
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,-0.574717034473357,-1.87695577827141,0.00147438256045965,0.017926459000281,0.0136194285559774,3387,"tags=59%, list=23%, signal=45%","72084/241062/14731/66268/433931/327942/55981/239827/54218/14755/233575/228812/56176/230801/225651/67292/110417",0.45505986738723
"mmu05012","Parkinson disease",231,0.3687179285075,1.8626099747513,1.66792851362163e-07,5.8377497976757e-06,4.43516571208343e-06,3375,"tags=40%, list=23%, signal=31%","213053/22433/18174/140499/66413/22123/26443/69077/226641/56228/30791/19167/22195/59029/66997/19166/13665/23996/22223/14828/70247/19185/67151/106957/11740/19179/19175/12859/11911/66694/22146/12868/67089/78294/19177/26441/21762/20422/17720/19172/13063/16573/17463/230075/26445/22213/18024/66152/26444/57296/14679/22187/67128/14680/22190/19252/56436/12867/17706/22272/67951/66414/26446/67530/66925/68349/12028/19182/19181/12864/226646/12866/54405/12858/22145/11950/22166/19170/72900/69875/26442/19173/67264/19184/12857/110323/105675/11783/17993/67680/53857/17705/17721",0.690132458796796
"mmu04350","TGF-beta signaling pathway",92,0.406827755901569,1.82016509140385,0.000141366613564277,0.00274879526374983,0.00208836673818645,3204,"tags=39%, list=22%, signal=31%","16324/21813/17125/17130/17869/72508/19052/15902/26965/11479/380664/12159/51792/19053/20482/14313/84506/17128/12914/21815/20466/21825/21781/26413/434215/68010/21812/328572/22042/12168/13559/16323/58988/56438/17126/75788",0.518848077743792
"mmu00982","Drug metabolism - cytochrome P450",37,-0.513131993216469,-1.78345197882448,0.001485335174309,0.017926459000281,0.0136194285559774,3479,"tags=43%, list=24%, signal=33%","14869/109731/14862/68312/14871/14865/17161/66447/11761/14863/67689/14261/76263/14263/103140/14872",0.45505986738723
"mmu04657","IL-17 signaling pathway",75,0.411248455325531,1.77542044482354,0.000884800913319366,0.0114696414689547,0.008713932994054,4368,"tags=60%, list=30%, signal=42%","12608/16819/17392/22034/12675/18035/16172/68652/15519/66724/56480/15516/26409/21929/50772/16193/14283/103213/19697/20310/20292/16478/26413/12985/14825/19225/56489/16150/15568/15945/26415/30940/20311/20295/20296/22031/22030/20306/20201/12370/18033/257630/16176/20202/21926",0.477270815362862
"mmu00040","Pentose and glucuronate interconversions",17,-0.617166156197473,-1.75234668944053,0.00894465899857564,0.0638904214183975,0.0485400396087991,2816,"tags=53%, list=19%, signal=43%","110006/216558/67880/75578/68631/20322/67861/71755/70984",0.380730400722792
"mmu03272","Virion - Hepatitis viruses",31,0.491899265098633,1.74143748404513,0.00529944415911743,0.0488106698866079,0.0370833655034513,2735,"tags=39%, list=19%, signal=32%","75608/71955/22134/12741/17075/20778/12527/67064/22088/20479/116733/12512",0.407017918923954
"mmu04216","Ferroptosis",36,0.470366835238421,1.73461827306557,0.0050800845860074,0.0484716797981456,0.0368258215405904,3175,"tags=42%, list=22%, signal=33%","213053/18174/19122/17254/50790/14629/14319/20229/23983/22042/67443/18521/26570/12870/66734",0.407017918923954
"mmu00531","Glycosaminoglycan degradation",16,-0.613653686920293,-1.71928152525698,0.0124763303747122,0.0779770648419515,0.0592422108350081,3372,"tags=75%, list=23%, signal=58%","15211/52120/109685/15586/15587/110006/12091/15931/15212/27419/27029/15932",0.380730400722792
"mmu05417","Lipid and atherosclerosis",181,0.346461709458415,1.71504888096973,5.03435012054402e-05,0.0010364838483473,0.000787457116978276,2714,"tags=33%, list=19%, signal=27%","22433/26397/20848/20656/11303/20344/17392/14102/226641/21933/26398/19057/22034/12675/19353/108078/15525/13665/21937/14828/215449/18035/11596/11911/21353/16803/68652/15519/24088/17874/12475/56480/225164/193740/13063/15516/15510/18024/26409/18798/20339/16193/216799/19697/20310/16452/18127/26413/12028/20302/16653/20182/14825/15512/56489/16150/12540/15481/20779/117149",0.557332238758646
"mmu03450","Non-homologous end-joining",12,-0.671034358914436,-1.71179573361739,0.00944618327842929,0.066123282949005,0.050236431411052,2591,"tags=67%, list=18%, signal=55%","56626/17535/319583/19090/108138/19360/75570/14375",0.380730400722792
"mmu00280","Valine, leucine and isoleucine degradation",47,-0.473051671508181,-1.70233653995432,0.0024972364666474,0.0291344254442197,0.0221345568497817,3253,"tags=47%, list=22%, signal=37%","104776/11671/110446/78038/66904/67041/110695/12036/257633/110821/11761/11364/72039/227095/113868/17850/52538/15360/56752/73724/15107/11409",0.431707695803346
"mmu05020","Prion disease",233,0.330777167606073,1.69792977406998,1.82794959730387e-05,0.000426521572704235,0.000324045037948509,3585,"tags=39%, list=25%, signal=30%","19122/66413/22123/26443/69077/19057/19167/59029/66997/19353/19166/13665/23996/14828/70247/19185/67151/11740/19179/19175/12859/11911/66694/22146/12868/67089/19177/26441/21762/20422/17720/19172/13000/193740/13063/16573/17463/230075/26445/66152/26444/57296/16193/56436/12867/17706/22272/67951/66414/26446/67530/66925/68349/26413/12028/19182/19181/12864/20867/11909/226646/12866/54405/12858/22145/11950/15481/19170/26427/72900/15511/69875/26442/26415/19173/67264/19184/12857/12289/110323/105675/11783/17993/67680/53857/17705/17721/18128/66916/70316/17717/17711",0.575610261071129
"mmu05010","Alzheimer disease",327,0.321768475153937,1.69547591786227,2.758475163214e-06,7.42666390096077e-05,5.64232559295766e-05,3598,"tags=39%, list=25%, signal=30%","213053/22433/19165/18174/212398/66413/22123/26443/14102/69077/226641/30791/19057/12675/19167/16956/59029/66997/19166/56717/13665/21937/16337/23996/70247/19185/67151/106957/11596/11740/19179/19175/12859/11911/66694/22146/12868/56208/67089/19177/26441/21762/93687/74781/20422/17720/384783/19172/13000/13063/16573/17463/230075/26445/66152/26444/57296/18798/59287/22241/12569/16193/329015/56436/110157/22411/67738/19697/12867/12005/17706/22272/67951/66414/26446/67530/66925/68349/26413/19182/19181/51897/14370/12864/16653/11938/14433/109880/19225/226646/12866/12421/16150/54405/27373/12858/22145/11950/19170/72900/14366/69875/26442/19173/68118/19164/67264/19184/12857/12289/14367/110323/105675/11783/17993/67680/53857/17705/17721/228361/66916/70316/17717/76559/17711/641340",0.627256739718528
"mmu00980","Metabolism of xenobiotics by cytochrome P450",39,-0.488044826587822,-1.69457404209276,0.00548551243106768,0.0491428404999256,0.0373357284456478,3633,"tags=44%, list=25%, signal=33%","13849/14869/109857/14862/68312/12409/14871/14865/66447/71755/14863/67689/76263/110198/103140/14872/12408",0.407017918923954
"mmu00760","Nicotinate and nicotinamide metabolism",34,-0.502700915217571,-1.68507386829061,0.00579801507558281,0.0494952506452191,0.0376034681479588,2041,"tags=38%, list=14%, signal=33%","64383/66454/223646/68646/11761/78914/64384/67725/67993/50721/75387/68346/50773",0.407017918923954
"mmu04710","Circadian rhythm",31,0.474163921573013,1.67865025462786,0.00823397920476835,0.0619546051092432,0.0470693246215499,3354,"tags=48%, list=23%, signal=37%","18030/104318/12952/20893/18626/26965/18627/12953/103583/27373/353187/19079/19082/56438/19883",0.380730400722792
"mmu00190","Oxidative phosphorylation",106,0.367312548669684,1.67412722494058,0.000694185838335926,0.00971860173670296,0.00738359996332512,4126,"tags=51%, list=28%, signal=37%","12859/66694/12868/108664/11984/17720/13063/66290/70383/230075/66152/12867/11966/17706/22272/66414/67530/66925/68349/11973/12864/226646/21871/12866/54405/12858/11950/69802/66335/72900/69875/67264/66144/12857/67895/110323/17993/67680/11974/17705/17721/66916/70316/17717/17711/12856/17709/66445/73834/67273/66142/66218/17722/17716",0.477270815362862
"mmu05022","Pathways of neurodegeneration - multiple diseases",401,0.309592061330178,1.67268179540929,4.73883555157204e-07,1.50781131186383e-05,1.14554293391138e-05,3375,"tags=37%, list=23%, signal=29%","22433/26397/19165/19122/212398/140499/66413/22123/26443/14102/69077/226641/56228/19057/19167/22195/59029/53333/66997/19353/19166/56717/13665/21937/23996/22223/14828/70247/271457/19185/67151/11596/11740/18412/19179/19175/12859/11911/66694/22146/12868/56208/21353/67089/78294/19177/26441/21762/93687/74781/20422/17720/56480/19172/52335/13000/73916/327954/13063/16573/17463/230075/26445/22213/56444/66152/26444/57296/53598/18798/233871/22187/22241/67128/15194/22190/12569/16193/329015/56436/269523/110157/22411/67738/19697/12867/12005/17706/69926/22272/67951/71648/66414/26446/67530/66925/19324/68349/18040/26413/233908/12028/19182/19181/51897/14370/12864/16653/11938/68942/109880/19225/73205/226646/12866/12421/54405/27373/12858/22145/11950/19170/237782/67443/72900/14366/69875/26442/26415/19173/68118/19164/67264/19184/74018/12857/12289/66734/14367/54130/110323/105675/11783/17993/67680/53857/17705/17721",0.674962860011025
"mmu04156","Integrated stress response (ISR) signaling pathway",50,0.431310176226764,1.66694711930362,0.00636126308999478,0.0530105257499565,0.0402741594508439,2331,"tags=40%, list=16%, signal=34%","15526/67204/108954/21933/26905/217715/27103/56717/15467/13665/14828/11911/14004/15519/74747/15516/15510/19047/58801/19046",0.407017918923954
"mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",84,0.373761391595372,1.64889167896584,0.00464011605961104,0.047765900613643,0.0362896136269428,3112,"tags=33%, list=21%, signal=26%","26397/20848/15251/19057/72508/16451/22034/12675/53314/56717/18036/18035/24088/17874/13000/19247/110157/19697/16452/26406/26413/16653/16150/78798/117149/26415/58988/18037",0.407017918923954
