"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006869","lipid transport","6/12","478/25615",0.0125523012552301,26.7939330543933,12.3241986959208,3.4386140488395e-08,0.000220896566497449,0.000220896566497449,"Pdzd8/Acsl4/Osbpl5/Vapa/Pla2g6/Sigmar1",6
"GO:0050796","regulation of insulin secretion","4/12","230/25615",0.0173913043478261,37.1231884057971,11.9136629117116,2.96252701574134e-06,0.00580384470727821,0.00580384470727821,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0140056","organelle localization by membrane tethering","3/12","77/25615",0.038961038961039,83.1655844155844,15.6324038936626,5.63483051766985e-06,0.00580384470727821,0.00580384470727821,"Pdzd8/Pacs2/Vapa",3
"GO:0090276","regulation of peptide hormone secretion","4/12","274/25615",0.0145985401459854,31.161800486618,10.8668723943685,5.9263566819408e-06,0.00580384470727821,0.00580384470727821,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0030073","insulin secretion","4/12","277/25615",0.0144404332129964,30.8243080625752,10.804582569759,6.18701140993922e-06,0.00580384470727821,0.00580384470727821,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0002791","regulation of peptide secretion","4/12","280/25615",0.0142857142857143,30.4940476190476,10.743278544271,6.4560667931512e-06,0.00580384470727821,0.00580384470727821,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0090087","regulation of peptide transport","4/12","282/25615",0.0141843971631206,30.2777777777778,10.7029439286136,6.64018944798821e-06,0.00580384470727821,0.00580384470727821,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0022406","membrane docking","3/12","86/25615",0.0348837209302326,74.4622093023256,14.7733914901754,7.86467161795972e-06,0.00580384470727821,0.00580384470727821,"Pdzd8/Pacs2/Vapa",3
"GO:0044828","host-mediated suppression of viral genome replication","2/12","10/25615",0.2,426.916666666667,29.1639363910795,9.03462750198974e-06,0.00580384470727821,0.00580384470727821,"Prkn/Vapa",2
"GO:1990456","mitochondrion-endoplasmic reticulum membrane tethering","2/12","10/25615",0.2,426.916666666667,29.1639363910795,9.03462750198974e-06,0.00580384470727821,0.00580384470727821,"Pdzd8/Pacs2",2
"GO:0030072","peptide hormone secretion","4/12","332/25615",0.0120481927710843,25.7178714859438,9.81408255589534,1.26379144024294e-05,0.00643956775014637,0.00643956775014637,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0051967","negative regulation of synaptic transmission, glutamatergic","2/12","12/25615",0.166666666666667,355.763888888889,26.6114475745531,1.32438901442812e-05,0.00643956775014637,0.00643956775014637,"Prkn/Pla2g6",2
"GO:0002790","peptide secretion","4/12","342/25615",0.0116959064327485,24.9658869395711,9.65966484019685,1.42025135769113e-05,0.00643956775014637,0.00643956775014637,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0050708","regulation of protein secretion","4/12","344/25615",0.0116279069767442,24.8207364341085,9.62957430739896,1.45318349124652e-05,0.00643956775014637,0.00643956775014637,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0046883","regulation of hormone secretion","4/12","347/25615",0.0115273775216138,24.6061479346782,9.5849163100422,1.50363505996568e-05,0.00643956775014637,0.00643956775014637,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0032024","positive regulation of insulin secretion","3/12","116/25615",0.0258620689655172,55.2047413793103,12.667432369897,1.93243941024378e-05,0.0073882295718397,0.0073882295718397,"Acsl4/Prkn/Pla2g6",3
"GO:0015833","peptide transport","4/12","371/25615",0.0107816711590297,23.0143755615454,9.24694208872501,1.95516660525023e-05,0.0073882295718397,0.0073882295718397,"Acsl4/Prkn/Cpt1a/Pla2g6",4
"GO:0019217","regulation of fatty acid metabolic process","3/12","123/25615",0.024390243902439,52.0630081300813,12.2896890293014,2.30299475204471e-05,0.0082191323817418,0.0082191323817418,"Dgat2/Acsl4/Cpt1a",3
"GO:0019216","regulation of lipid metabolic process","4/12","399/25615",0.0100250626566416,21.3993316624896,8.89095037932606,2.60022497887512e-05,0.00827123257330363,0.00827123257330363,"Dgat2/Acsl4/Cpt1a/Pla2g6",4
"GO:0046486","glycerolipid metabolic process","4/12","400/25615",0.01,21.3458333333333,8.87891481798358,2.6258278098624e-05,0.00827123257330363,0.00827123257330363,"Dgat2/Acsl4/Cpt1a/Pla2g6",4
"GO:0006641","triglyceride metabolic process","3/12","131/25615",0.0229007633587786,48.8835877862595,11.8952186835599,2.78054341142082e-05,0.00827123257330363,0.00827123257330363,"Dgat2/Acsl4/Cpt1a",3
