"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043524","negative regulation of neuron apoptotic process","4/13","223/25615",0.0179372197309417,35.3432218006209,11.6069588205276,3.7592433515375e-06,0.0232626990788797,0.0232626990788797,"Lcn2/Mt1/Cebpb/Ucp2",4
"GO:0071347","cellular response to interleukin-1","3/13","91/25615",0.032967032967033,64.9577345731192,13.7725016364711,1.20895186871654e-05,0.0232626990788797,0.0232626990788797,"Akap12/Lcn2/Cebpb",3
"GO:0120162","positive regulation of cold-induced thermogenesis","3/13","102/25615",0.0294117647058824,57.9524886877828,12.9868989084076,1.70316219121905e-05,0.0232626990788797,0.0232626990788797,"Lcn2/Cebpb/Ucp2",3
"GO:0043523","regulation of neuron apoptotic process","4/13","332/25615",0.0120481927710843,23.7395736793327,9.39746008890913,1.80683364436219e-05,0.0232626990788797,0.0232626990788797,"Lcn2/Mt1/Cebpb/Ucp2",4
"GO:0097501","stress response to metal ion","2/13","13/25615",0.153846153846154,303.136094674556,24.5533510405284,1.84875558540315e-05,0.0232626990788797,0.0232626990788797,"Mt2/Mt1",2
"GO:0070555","response to interleukin-1","3/13","112/25615",0.0267857142857143,52.7781593406593,12.3746639994066,2.25421162844569e-05,0.0232626990788797,0.0232626990788797,"Akap12/Lcn2/Cebpb",3
"GO:0010038","response to metal ion","4/13","382/25615",0.0104712041884817,20.6322996375352,8.71147798768469,3.12970413109536e-05,0.0232626990788797,0.0232626990788797,"Mt2/Lcn2/Mt1/Ucp2",4
"GO:0071294","cellular response to zinc ion","2/13","17/25615",0.117647058823529,231.809954751131,21.4510922869024,3.21978147816154e-05,0.0232626990788797,0.0232626990788797,"Mt2/Mt1",2
"GO:0051402","neuron apoptotic process","4/13","389/25615",0.0102827763496144,20.261024322721,8.62588009230329,3.35977516880172e-05,0.0232626990788797,0.0232626990788797,"Lcn2/Mt1/Cebpb/Ucp2",4
"GO:0061687","detoxification of inorganic compound","2/13","18/25615",0.111111111111111,218.931623931624,20.8418087076575,3.62121716669983e-05,0.0232626990788797,0.0232626990788797,"Mt2/Mt1",2
"GO:0071280","cellular response to copper ion","2/13","19/25615",0.105263157894737,207.408906882591,20.2811518033369,4.04608405938469e-05,0.0236291309068066,0.0236291309068066,"Mt2/Mt1",2
"GO:0120161","regulation of cold-induced thermogenesis","3/13","152/25615",0.0197368421052632,38.8891700404858,10.5573649168557,5.60889729712644e-05,0.0297996873826653,0.0297996873826653,"Lcn2/Cebpb/Ucp2",3
"GO:0106106","cold-induced thermogenesis","3/13","157/25615",0.0191082802547771,37.6506614404704,10.3798943725752,6.17567689812231e-05,0.0297996873826653,0.0297996873826653,"Lcn2/Cebpb/Ucp2",3
"GO:0071276","cellular response to cadmium ion","2/13","24/25615",0.0833333333333333,164.198717948718,18.0240410276275,6.52117929265394e-05,0.0297996873826653,0.0297996873826653,"Mt2/Mt1",2
"GO:0030003","intracellular monoatomic cation homeostasis","4/13","469/25615",0.00852878464818763,16.8049860587174,7.78429910489795,6.95820844862982e-05,0.0297996873826653,0.0297996873826653,"Mt2/Lcn2/Mt1/Tgm2",4
"GO:0006873","intracellular monoatomic ion homeostasis","4/13","479/25615",0.00835073068893528,16.4541512766982,7.69375343390673,7.55147377368679e-05,0.0299461473497759,0.0299461473497759,"Mt2/Lcn2/Mt1/Tgm2",4
"GO:0098771","inorganic ion homeostasis","4/13","485/25615",0.00824742268041237,16.2505947660587,7.64072973799583,7.92472766105527e-05,0.0299461473497759,0.0299461473497759,"Mt2/Lcn2/Mt1/Tgm2",4
"GO:1990845","adaptive thermogenesis","3/13","177/25615",0.0169491525423729,33.3963494132986,9.74573634889591,8.81665678689309e-05,0.0301622280411779,0.0301622280411779,"Lcn2/Cebpb/Ucp2",3
"GO:0007263","nitric oxide mediated signal transduction","2/13","28/25615",0.0714285714285714,140.741758241758,16.6712807991148,8.9209578577581e-05,0.0301622280411779,0.0301622280411779,"Mt2/Mt1",2
"GO:0006882","intracellular zinc ion homeostasis","2/13","32/25615",0.0625,123.149038461538,15.5798308593147,0.000116924092238049,0.0359306893557016,0.0359306893557016,"Mt2/Mt1",2
"GO:0071248","cellular response to metal ion","3/13","195/25615",0.0153846153846154,30.3136094674556,9.259174358669,0.000117457110284828,0.0359306893557016,0.0359306893557016,"Mt2/Mt1/Ucp2",3
"GO:0046688","response to copper ion","2/13","34/25615",0.0588235294117647,115.904977375566,15.1075128863579,0.000132171104071021,0.0385939623887382,0.0385939623887382,"Mt2/Mt1",2
"GO:0097421","liver regeneration","2/13","36/25615",0.0555555555555556,109.465811965812,14.6749210428971,0.000148342480081504,0.0414326996540688,0.0414326996540688,"Cebpb/Ucp2",2
"GO:0001659","temperature homeostasis","3/13","227/25615",0.013215859030837,26.0403253134531,8.53909966793164,0.000183959657828484,0.0492398684120909,0.0492398684120909,"Lcn2/Cebpb/Ucp2",3
