"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002218","activation of innate immune response","104/2646","377/25615",0.275862068965517,2.67052414835666,11.0906894225929,2.50153248468876e-21,1.60698446816406e-17,9.91811172277269e-18,"Tlr2/Slc15a2/Trim30d/Zdhhc9/Mefv/Rnf170/Nr1d1/Oas1a/Rab13/Rnf144a/Mavs/Usp50/Tifab/Mndal/Tnip1/Gsdmd/Irak2/Cd274/Ifi206/S100a8/Nod1/Tnip3/Slc15a4/Sting1/Ikbke/Mapk14/Ifi213/Acod1/Tifa/Ufd1/Ogt/Rnf125/Ddx60/Appl2/Src/Parp1/Lyn/Naglu/Tbk1/Peli1/Trim12c/Zdhhc1/Cpt1a/Oas1c/Lyplal1/Eif2ak2/Nagk/Nod2/Oas1g/Sec14l1/Lgr4/Map2k3/Cd14/Pld3/Lbp/Xrcc6/Ifi203/Oas3/Tnfaip3/Ppp2ca/Abhd17a/Map2k6/Pld4/Trim30a/Slc46a2/Mfhas1/Clec4e/Traf6/Znfx1/Dhx58/Otulin/Tril/Tlr5/Ifi208/Pepd/Cav1/Tnip2/Trim30c/Nlrp3/Tax1bp1/Nlrc3/Ifi214/Irgm2/Ifi204/Slc15a3/Irf2/Trim65/Znrf1/Trim5/Trem2/Prkd1/Riok3/Irak3/Alpk1/Nploc4/Ticam2/Fcna/Irf4/Adcy7/Rnf135/Trim32/Casp6/Cd300lf/Rab7b",104
"GO:0002833","positive regulation of response to biotic stimulus","120/2646","485/25615",0.247422680412371,2.39521238048484,10.5287672439861,4.0172495469005e-20,1.29034055446444e-16,7.96382418942972e-17,"Tlr2/Slc15a2/Trim30d/Zdhhc9/Mefv/Rnf170/Unc13b/Nr1d1/Oas1a/Rab13/Rnf144a/Mavs/Usp50/Tifab/Mndal/Tnip1/Gsdmd/Irak2/Cd274/Rasgrp4/Ifi206/S100a8/Nod1/Tnip3/Slc15a4/Sting1/Ikbke/Emilin2/Mapk14/Ifi213/Acod1/Tifa/Sash1/Ufd1/Ogt/Rnf125/Fadd/Ddx60/Cd180/Appl2/Src/Fpr2/Parp1/Lyn/Naglu/Cadm1/Tbk1/Peli1/Ly86/Trim12c/Zdhhc1/Cpt1a/Oas1c/Lyplal1/Eif2ak2/Nagk/Nod2/Oas1g/Sec14l1/Lgr4/Map2k3/Cd14/Pld3/Lbp/Xrcc6/Ifi203/Oas3/Tnfaip3/Ppp2ca/Abhd17a/Pvr/Map2k6/Pld4/Trim30a/Gsdme/Slc46a2/Mfhas1/Clec4e/Polr3b/Traf6/Znfx1/Dhx58/Otulin/Il18rap/Tril/Tlr5/Ifi208/Pepd/Cav1/Tnip2/Trim30c/Nlrp3/Tax1bp1/Nlrc3/Ifi214/Irgm2/Ifi204/Slc15a3/Irf2/Trim65/Znrf1/Trim5/Adam8/Trem2/Prkd1/Riok3/Irak3/Alpk1/Nploc4/Ticam2/Fcna/Irf4/Adcy7/Rnf135/Mr1/Trim32/Plscr1/Casp6/Cd300lf/Rab7b",120
"GO:0045089","positive regulation of innate immune response","113/2646","454/25615",0.248898678414097,2.40950100059603,10.2847074991827,3.10812331104414e-19,6.65552805004919e-16,4.10771056486007e-16,"Tlr2/Slc15a2/Trim30d/Zdhhc9/Mefv/Rnf170/Nr1d1/Oas1a/Rab13/Rnf144a/Mavs/Usp50/Tifab/Mndal/Tnip1/Gsdmd/Irak2/Cd274/Rasgrp4/Ifi206/S100a8/Nod1/Tnip3/Slc15a4/Sting1/Ikbke/Mapk14/Ifi213/Acod1/Tifa/Ufd1/Ogt/Rnf125/Fadd/Ddx60/Appl2/Src/Fpr2/Parp1/Lyn/Naglu/Cadm1/Tbk1/Peli1/Trim12c/Zdhhc1/Cpt1a/Oas1c/Lyplal1/Eif2ak2/Nagk/Nod2/Oas1g/Sec14l1/Lgr4/Map2k3/Cd14/Pld3/Lbp/Xrcc6/Ifi203/Oas3/Tnfaip3/Ppp2ca/Abhd17a/Pvr/Map2k6/Pld4/Trim30a/Slc46a2/Mfhas1/Clec4e/Polr3b/Traf6/Znfx1/Dhx58/Otulin/Il18rap/Tril/Tlr5/Ifi208/Pepd/Cav1/Tnip2/Trim30c/Nlrp3/Tax1bp1/Nlrc3/Ifi214/Irgm2/Ifi204/Slc15a3/Irf2/Trim65/Znrf1/Trim5/Adam8/Trem2/Prkd1/Riok3/Irak3/Alpk1/Nploc4/Ticam2/Fcna/Irf4/Adcy7/Rnf135/Trim32/Plscr1/Casp6/Cd300lf/Rab7b",113
"GO:0006979","response to oxidative stress","110/2646","451/25615",0.24390243902439,2.36113415555924,9.89833033630055,4.65864621291578e-18,5.36085059637511e-15,3.30865146473294e-15,"Alox5/Pdgfd/Mctp1/Stx4a/Hif1a/Ripk3/Idh1/Cul3/Txn1/Chchd4/Jak2/Cd38/Psma2/Mdm2/Axl/Capn2/Hyal2/Lig1/Rgs14/Epor/Keap1/Tbc1d24/Prkn/Selenos/Foxo3/Slc7a11/Hk3/Mmp9/Etv5/Sod2/Ppp2cb/Atp13a2/Atox1/Hgf/Tor1a/Src/Prr5l/Edn1/Zc3h12a/Parp1/Cbx8/Aldh3b1/Cygb/Prkra/Htra2/Psmb3/Naglu/Rcan1/Dram1/Map3k5/Setx/Slc11a2/Abcd1/Prdx5/Jun/Atm/Bcl2/Ptgs2/Lck/Mmp14/Psmb6/Gab1/Txnrd2/Prnp/Adam9/Msrb2/Slc25a24/Aif1/Pld2/Sphk1/Tnfaip3/Plekha1/Ide/Gsr/Txnrd1/Glrx/Ptgs1/Il18rap/Mapk13/Cdk1/Psma6/Bmp4/Als2/Lcn2/Chek2/Pml/Stx2/Ppp1r15b/Fut8/Aqp1/Fos/Prdx6/Slc8a1/Comt/Foxo4/Trpm2/Gpx7/Prkd1/Hmox2/Gch1/Capn1/Cat/Rbfox2/Klf4/Naprt/Psmb5/Smpd3/Fer/Trim32/Casp6",110
"GO:0002274","myeloid leukocyte activation","83/2646","293/25615",0.283276450511945,2.7423001813543,10.1805295403922,4.69627710736338e-18,5.36085059637511e-15,3.30865146473294e-15,"Tlr2/Stx4a/Myo1f/Nr1d1/Nr4a1/Cnr2/Traf3ip2/Fcgr4/Jak2/Tslp/Bcr/Relb/Gnai1/Tmem106a/D6Wsu163e/Stard7/Ctsc/Hyal2/Ager/Dock2/Card6/Batf3/Anxa3/Src/Fpr2/Zc3h12a/Lyn/Clec12a/Cd244a/Tspan32/Tnfsf9/Naglu/Stxbp1/Unc13d/Stk39/Myo18a/Ighm/Jun/Atm/Itgam/Cd84/Cst7/Ccl3/Il4ra/Adam9/Stxbp3/Kcnn4/Adora2b/Aif1/Pld2/Lbp/Sphk1/Thbs1/Tgfbr2/Mmp8/Mfhas1/Csf1r/Traf6/Epsti1/Il18rap/Pram1/Il15/Syt11/Tnip2/Rabgef1/Batf/Crtc3/Cd48/Cx3cl1/Cx3cr1/Trem2/Cd37/Cd300lb/Ndrg1/Clec4d/Fcer1g/Calhm2/Irf4/Stx11/Fer/Plscr1/Adora3/Cd300lf",83
"GO:0006935","chemotaxis","114/2646","476/25615",0.239495798319328,2.31847500905124,9.85516632916291,5.00702110495807e-18,5.36085059637511e-15,3.30865146473294e-15,"Alox5/Pdgfd/Tnfsf14/Ccl12/Cxcl1/Stx4a/Alkbh1/Nr4a1/Cnr2/Sema6d/Agrn/Rab13/Ccrl2/Ackr3/Cmtm8/Cxcl13/Sema4d/Vegfb/Ccl19/Rac3/Plxna4/Pde4d/Ptpro/Tnfaip6/Gpr183/Fpr1/Ccl8/Ager/Gpr35/Ccr5/Dock2/Plekhg5/S100a8/Mmp9/Trem1/Slamf9/Jaml/C5ar2/Hgf/Wnk1/Cxcl2/Fpr2/Edn1/Tgfb2/Lyn/Sema6a/Stk39/Tubb2b/Trpm4/Nod2/Sema4a/Ccl4/Itgam/Gab1/Cysltr1/Lgr4/Ccl3/Sema6b/Smad3/Mtus1/Eng/Itga9/Padi2/Mpp1/Pdgfa/Aif1/Lbp/Trpv4/Tsc2/Thbs1/Sema3f/Rin3/Fgfr1/Nbl1/Cxcl12/Gas6/St6gal1/Csf1r/C3ar1/P2ry12/Cmtm3/Saa3/Pdgfb/Camk1d/Ear2/Pde4b/Bmp4/Elmo2/Enpp2/Mapk3/Cxcl10/Ccl24/Mycbp2/Slc12a2/Sema4c/Cx3cl1/Cx3cr1/Trpm2/Adam8/Trem2/Prkd1/Egr3/Ccn1/Fcer1g/Sema7a/Nrp1/Rtn4rl1/Gpr18/Il1b/Plcb2/Kdr/Fer/Il16/Ccl6",114
"GO:0042330","taxis","114/2646","478/25615",0.238493723849372,2.3087742767958,9.8035767906558,7.00828556251584e-18,6.43160377908596e-15,3.96950724175073e-15,"Alox5/Pdgfd/Tnfsf14/Ccl12/Cxcl1/Stx4a/Alkbh1/Nr4a1/Cnr2/Sema6d/Agrn/Rab13/Ccrl2/Ackr3/Cmtm8/Cxcl13/Sema4d/Vegfb/Ccl19/Rac3/Plxna4/Pde4d/Ptpro/Tnfaip6/Gpr183/Fpr1/Ccl8/Ager/Gpr35/Ccr5/Dock2/Plekhg5/S100a8/Mmp9/Trem1/Slamf9/Jaml/C5ar2/Hgf/Wnk1/Cxcl2/Fpr2/Edn1/Tgfb2/Lyn/Sema6a/Stk39/Tubb2b/Trpm4/Nod2/Sema4a/Ccl4/Itgam/Gab1/Cysltr1/Lgr4/Ccl3/Sema6b/Smad3/Mtus1/Eng/Itga9/Padi2/Mpp1/Pdgfa/Aif1/Lbp/Trpv4/Tsc2/Thbs1/Sema3f/Rin3/Fgfr1/Nbl1/Cxcl12/Gas6/St6gal1/Csf1r/C3ar1/P2ry12/Cmtm3/Saa3/Pdgfb/Camk1d/Ear2/Pde4b/Bmp4/Elmo2/Enpp2/Mapk3/Cxcl10/Ccl24/Mycbp2/Slc12a2/Sema4c/Cx3cl1/Cx3cr1/Trpm2/Adam8/Trem2/Prkd1/Egr3/Ccn1/Fcer1g/Sema7a/Nrp1/Rtn4rl1/Gpr18/Il1b/Plcb2/Kdr/Fer/Il16/Ccl6",114
"GO:0002221","pattern recognition receptor signaling pathway","89/2646","332/25615",0.268072289156627,2.59511401615532,9.92908090186427,1.39616801413641e-17,1.12112291535153e-14,6.91943360356235e-15,"Tlr2/Slc15a2/Zdhhc9/Mefv/Rnf170/Nr1d1/Oas1a/Rab13/Rnf144a/Mavs/Usp50/Tifab/Tnip1/Gsdmd/Irak2/Cd274/S100a8/Nod1/Tnip3/Slc15a4/Sting1/Mapk14/Acod1/Tifa/Ufd1/Ogt/Rnf125/Ddx60/Appl2/Src/Parp1/Lyn/Naglu/Tbk1/Peli1/Zdhhc1/Cpt1a/Oas1c/Lyplal1/Eif2ak2/Nagk/Nod2/Oas1g/Sec14l1/Lgr4/Map2k3/Cd14/Pld3/Lbp/Oas3/Tnfaip3/Ppp2ca/Abhd17a/Map2k6/Pld4/Trim30a/Slc46a2/Mfhas1/Clec4e/Traf6/Dhx58/Otulin/Tril/Tlr5/Pepd/Cav1/Tnip2/Nlrp3/Tax1bp1/Nlrc3/Irgm2/Slc15a3/Irf2/Trim65/Znrf1/Trem2/Prkd1/Riok3/Irak3/Alpk1/Nploc4/Ticam2/Fcna/Irf4/Adcy7/Rnf135/Trim32/Cd300lf/Rab7b",89
"GO:0002758","innate immune response-activating signaling pathway","89/2646","342/25615",0.260233918128655,2.51923348936716,9.60001160933564,1.04524911042838e-16,7.46075587265768e-14,4.60468733502389e-14,"Tlr2/Slc15a2/Zdhhc9/Mefv/Rnf170/Nr1d1/Oas1a/Rab13/Rnf144a/Mavs/Usp50/Tifab/Tnip1/Gsdmd/Irak2/Cd274/S100a8/Nod1/Tnip3/Slc15a4/Sting1/Mapk14/Acod1/Tifa/Ufd1/Ogt/Rnf125/Ddx60/Appl2/Src/Parp1/Lyn/Naglu/Tbk1/Peli1/Zdhhc1/Cpt1a/Oas1c/Lyplal1/Eif2ak2/Nagk/Nod2/Oas1g/Sec14l1/Lgr4/Map2k3/Cd14/Pld3/Lbp/Oas3/Tnfaip3/Ppp2ca/Abhd17a/Map2k6/Pld4/Trim30a/Slc46a2/Mfhas1/Clec4e/Traf6/Dhx58/Otulin/Tril/Tlr5/Pepd/Cav1/Tnip2/Nlrp3/Tax1bp1/Nlrc3/Irgm2/Slc15a3/Irf2/Trim65/Znrf1/Trem2/Prkd1/Riok3/Irak3/Alpk1/Nploc4/Ticam2/Fcna/Irf4/Adcy7/Rnf135/Trim32/Cd300lf/Rab7b",89
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","92/2646","369/25615",0.249322493224932,2.41360380346056,9.28340244136109,5.88960353469713e-16,3.78348131068944e-13,2.33511842110781e-13,"Cd79b/Tlr2/Rnf31/Nr1d1/Oas1a/Eif2b2/Rab13/Fcgr4/Cd38/Lpxn/Lipa/Btnl9/Pde4d/Sh2b2/Fpr1/Vav2/Irak2/Mef2c/Cblb/Blnk/Cd40/Ceacam1/Cd274/Tnip3/Cd80/Lilra5/Cd28/Acod1/C5ar2/Wnk1/Appl2/Cd72/Fpr2/Malt1/Zc3h12a/Lyn/Naglu/Tbk1/Peli1/Ighm/Oas1c/Clec2i/Nod2/Oas1g/Itgam/Bcl2/Lck/Prnp/Cd47/Cd14/Kcnn4/Lbp/Cd53/Bcl2a1d/Tnfaip3/Plekha1/Cd4/Cd81/Mfhas1/Clec4e/Fosl2/Lilra6/Traf6/C3ar1/Rgcc/Cmtm3/Tril/Pram1/Dusp22/Tlr5/Pde4b/Cav1/Tnip2/Tax1bp1/Rabgef1/Fcgr2b/Znrf1/Sos1/Trem2/Clec4d/Fcer1g/Ticam2/Fcna/Lair1/Plcg1/Psen2/Fer/Tec/Trim32/Plscr1/Rab29/Rab7b",92
