"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","40/1322","118/11188",0.338983050847458,2.86879150747455,7.47016227434305,2.21192113745834e-10,7.74172398110418e-08,5.18653632005493e-08,"20293/14825/56532/18709/12702/17395/26410/26416/21938/14082/11796/20310/13614/26408/257632/16476/12051/19225/17387/231991/26397/12608/21929/26399/12633/11797/26415/23797/16168/26417/15945/14281/14102/20312/67457/217344/16176/22029/73086/13650",40
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","36/1322","107/11188",0.336448598130841,2.84734259900745,7.02832519050259,2.22227986342788e-09,3.88898976099879e-07,2.60541278570165e-07,"50930/14825/105844/24047/19698/17060/21939/21934/11796/12045/20310/240354/11545/17096/22196/12044/20303/11920/12043/19225/16818/12475/16803/12047/21929/20315/12633/22034/16177/11797/18792/225471/18803/16176/22029/13197",36
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","41/1322","136/11188",0.301470588235294,2.55132597668417,6.66275849763294,7.03208078046418e-09,6.69588897855267e-07,4.48588343721416e-07,"11546/13039/12984/12334/13032/18709/21933/14082/13063/11796/12045/18952/11545/64704/26408/12044/16439/16476/11920/12043/13347/12983/22035/22146/12047/229445/12633/11797/56464/23797/26417/14281/14102/16906/12333/11799/16438/22029/13197/22145/12368",41
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","46/1322","163/11188",0.282208588957055,2.38831292984231,6.53572638831736,8.84313646801217e-09,6.69588897855267e-07,4.48588343721416e-07,"11689/15251/192187/16452/16889/233571/26362/20525/19217/235584/13857/11596/11847/19128/12484/26416/12894/20181/19225/276891/12608/16423/11502/20698/21825/14456/18263/19016/70839/20501/11846/26415/13435/50770/26417/12322/20312/70686/13051/192654/18442/13537/16419/18018/70676/226421",46
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","70/1322","299/11188",0.234113712374582,1.98128911803844,6.29564990161769,9.56555568364667e-09,6.69588897855267e-07,4.48588343721416e-07,"18747/71785/12286/15370/20112/22340/170758/19698/19395/17260/235584/240168/233046/114713/17346/17532/26410/14256/26407/67603/26416/14180/15234/26404/14673/20130/21808/26408/16476/13637/17311/14701/26397/12475/18590/21813/53608/26399/14182/54635/330177/320139/109689/12978/22034/16177/18591/21687/26415/23797/21809/20111/26417/12289/26921/14281/14102/70686/20662/13537/16000/18015/14013/16176/13712/19418/16542/13197/18018/73086",70
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","61/1322","254/11188",0.240157480314961,2.03243713295293,6.09246342570593,3.20440043131107e-08,1.86923358493146e-06,1.25228539567885e-06,"234967/11777/56717/215335/11305/13039/66049/16889/27029/83409/63959/13032/15587/235380/11881/100561/15932/109685/52120/11433/11766/11883/27419/56722/18174/17828/17342/17159/68526/76524/12751/12514/72392/252972/14387/16541/229445/320528/17113/12091/56464/71279/75425/110173/15931/231855/15212/15211/432486/18010/11975/65221/21425/192654/26889/11764/20597/103199/11984/268706/235504",61
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","40/1322","149/11188",0.268456375838926,2.27192884484562,5.72127831726395,3.5472490272237e-07,1.77362451361185e-05,1.1882324893577e-05,"17969/14871/20293/13039/22166/170758/17260/50868/18709/17395/20971/26416/20969/20779/13614/11898/26408/12390/16476/12043/18590/63873/26399/14863/16178/16177/11480/18591/26415/23797/12159/12389/75600/14281/66447/14862/14872/16176/16542/11481",40
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","42/1322","164/11188",0.25609756097561,2.16733699863474,5.51252489080272,7.30240542862069e-07,2.89941685853583e-05,1.94245246672186e-05,"24088/16452/228607/18709/107986/56489/17395/26416/14082/13063/20779/21808/56480/20848/54721/16476/12043/231991/17127/13654/26397/21813/26399/22034/15530/26415/23797/20849/21809/26417/14281/12447/12428/14102/20662/13555/13655/225471/20846/11799/13712/18018",42
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation","12/1322","21/11188",0.571428571428571,4.83596282688567,6.44047309421436,7.45564335052069e-07,2.89941685853583e-05,1.94245246672186e-05,"27029/15442/15587/11881/15932/109685/52120/27419/12091/15931/15212/15211",12
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","36/1322","132/11188",0.272727272727273,2.30807316737725,5.53378113733684,8.96034857092613e-07,3.13612199982414e-05,2.10103210808238e-05,"17969/246256/14282/19698/17060/18709/12702/232801/26416/21934/11433/21808/54721/16439/17342/16476/16818/21813/26399/12978/14284/18726/22034/16177/19016/26415/23797/26417/14130/14281/83433/20846/16176/16438/18018/21682",36
