"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","25/492","107/11188",0.233644859813084,5.31304612111542,9.61424504177303,3.80551873201198e-12,1.33193155620419e-09,1.33193155620419e-09,"22196/11797/16177/20303/16176/20310/13197/16803/21939/12047/22034/19225/21929/22029/12045/12633/12044/24047/19698/17096/240354/12475/50930/14825/11796",25
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","25/492","118/11188",0.211864406779661,4.81776216067245,8.94138377429758,3.80008408212039e-11,6.65014714371068e-09,6.65014714371068e-09,"13614/11797/15945/231991/17387/16176/20310/26415/19225/21929/22029/56532/257632/14102/21938/26410/26397/12633/12051/20312/12702/14825/11796/217344/12608",25
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","33/492","294/11188",0.112244897959184,2.55243072838892,5.78523338182044,6.7785564585584e-07,7.90831586831813e-05,7.90831586831813e-05,"20302/15945/16177/11479/16178/20303/56708/16174/16176/20310/21939/18413/21809/21950/16169/14102/18414/21938/12984/24047/11480/12778/16197/12983/20312/55985/12159/21933/50930/16181/14825/16190/16324",33
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","22/492","163/11188",0.134969325153374,3.069180507756,5.70731121627016,2.57516041687104e-06,0.000225326536476216,0.000225326536476216,"11847/11846/16452/26415/16423/20525/19225/11502/15251/19217/13537/12484/21825/11596/18442/50770/20312/20698/18263/20501/70686/12608",22
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","23/492","180/11188",0.127777777777778,2.90564588979223,5.52780759050628,3.95460440313517e-06,0.000276822308219462,0.000276822308219462,"20779/15526/24088/16452/14127/16176/26415/16803/13063/21809/22034/56619/257632/14130/240354/12475/108960/11984/20698/16409/246256/216238/12608",23
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","19/492","136/11188",0.139705882352941,3.17688904830225,5.47789853648015,7.45662402112096e-06,0.000434969734565389,0.000434969734565389,"11799/11797/16906/22146/22145/13197/13063/12047/22029/12045/14102/12633/12984/12044/12368/13039/12983/21933/11796",19
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","16/492","104/11188",0.153846153846154,3.49843652282677,5.48991226887025,1.13358940676616e-05,0.00056679470338308,0.00056679470338308,"20302/24088/15945/20303/54473/16176/26415/16803/21939/22034/12519/26410/26397/56480/12475/56489",16
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","15/492","97/11188",0.154639175257732,3.51646970077948,5.33852023845675,1.994370869671e-05,0.000835882939955404,0.000835882939955404,"15945/16176/20310/26415/22034/19225/21929/20201/103213/56480/50772/16819/14825/56489/12608",15
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","25/492","227/11188",0.110132158590308,2.50438737867555,4.91107078926776,2.14941327417104e-05,0.000835882939955404,0.000835882939955404,"12428/24088/15945/19179/13197/26415/21939/13063/22034/21929/14102/17246/22123/20422/18037/26397/12447/19698/56480/17096/20848/12399/18036/59029/56489",25
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","24/492","217/11188",0.110599078341014,2.51500505788468,4.83336413807877,2.92299811236191e-05,0.000936482889557667,0.000936482889557667,"20302/20779/24088/16452/16176/20310/26415/16803/21939/13063/22034/14102/26397/20656/12368/11596/56480/17096/20848/12475/216799/21933/14825/56489",24
"Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome","10/492","47/11188",0.212765957446809,4.83826327624978,5.65523004453682,2.94323193860981e-05,0.000936482889557667,0.000936482889557667,"19173/19179/26446/19175/67151/22123/20422/19166/59029/26443",10
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","19/492","157/11188",0.121019108280255,2.75195484438921,4.74126211570531,5.8258557693917e-05,0.00169920793273925,0.00169920793273925,"12428/13197/12235/12236/56452/21809/72415/27214/268697/17246/12442/12447/67177/12581/19052/107995/76464/19053/12534",19
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","19/492","164/11188",0.115853658536585,2.63449335712869,4.52234983419021,0.000105535326628199,0.00284133571691304,0.00284133571691304,"11799/12428/20779/24088/231991/16452/26415/20849/13063/21809/22034/14102/26397/20662/12447/56480/20848/13712/56489",19
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","11/492","70/11188",0.157142857142857,3.57340301974448,4.63203854529977,0.000218687875625549,0.00510271709792947,0.00510271709792947,"24088/16452/16176/26415/21809/22034/19225/18036/13712/16409/246256",11
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","11/492","70/11188",0.157142857142857,3.57340301974448,4.63203854529977,0.000218687875625549,0.00510271709792947,0.00510271709792947,"18627/12428/18712/12047/56717/12045/20662/12044/20848/12475/16409",11
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","32/492","374/11188",0.0855614973262032,1.94565453675927,3.9893652668594,0.000238794438963744,0.00518904693780109,0.00518904693780109,"21681/52639/19173/19179/26446/22146/22145/230075/26415/19175/13063/67151/56717/22123/21938/20422/26397/74018/269113/17706/56480/327954/17720/53333/19166/12868/59029/71805/56488/18141/26443/22152",32
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","13/492","95/11188",0.136842105263158,3.11176722293539,4.43314579402955,0.000252039422693196,0.00518904693780109,0.00518904693780109,"20302/15945/20303/16174/20310/21938/24047/12778/20312/55985/21933/50930/14825",13
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","14/492","109/11188",0.128440366972477,2.92071306034161,4.3216951681444,0.000289927775347617,0.00563748452064811,0.00563748452064812,"11797/24088/16452/26415/21939/13063/21809/22034/26397/20848/104709/320207/18036/11796",14
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis","8/492","41/11188",0.195121951219512,4.43704144358517,4.7285324084331,0.00034991757288995,0.00644585002692014,0.00644585002692014,"26570/18174/17254/50790/67547/213053/19122/14319",8
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","14/492","112/11188",0.125,2.84247967479675,4.20289864360949,0.000385192029645227,0.00671623551790613,0.00671623551790613,"20779/17474/14127/16176/26415/208650/19225/56619/17246/12051/19698/240354/216799/56489",14
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","11/492","75/11188",0.146666666666667,3.33517615176152,4.35174355247534,0.00040612950171527,0.00671623551790613,0.00671623551790613,"13197/13063/14102/268697/17246/12442/12447/21825/21933/12534/20135",11
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","25/492","274/11188",0.0912408759124088,2.07480268233339,3.86314244043598,0.000441009761830364,0.00671623551790613,0.00671623551790613,"140499/19173/22223/19179/26446/22146/18174/22145/230075/19175/13063/67151/11540/22123/20422/67547/213053/17706/22166/17720/19166/12868/59029/26443/22152",25
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","12/492","88/11188",0.136363636363636,3.10088691796009,4.24337288316786,0.000446659164070832,0.00671623551790613,0.00671623551790613,"24088/16452/60533/26415/22034/15251/56717/18037/26397/20848/18036/53314",12
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","16/492","141/11188",0.113475177304965,2.58040708066655,4.05027973813265,0.000460541864084992,0.00671623551790613,0.00671623551790613,"11522/16176/20310/26415/16803/22034/14104/14102/26397/20250/56480/12475/64899/14825/20249/56489",16
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","27/492","308/11188",0.0876623376623377,1.99342730440291,3.79162760327623,0.000496707422065805,0.00695390390892127,0.00695390390892127,"52639/19173/19179/231991/26446/22146/69241/22145/230075/19175/73916/13063/72504/67151/56717/22123/20422/20656/17706/327954/21817/17720/19166/12868/59029/26443/22152",27
"Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids","11/492","79/11188",0.139240506329114,3.16630647319131,4.14404662455251,0.000639701843500541,0.00835631230286214,0.00835631230286214,"11847/27053/11846/328099/71776/18746/18648/11898/14718/18655/56421",11
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","37/492","481/11188",0.0769230769230769,1.74921826141338,3.60226504973846,0.000644629806220794,0.00835631230286214,0.00835631230286214,"19165/52639/140499/19173/22223/19179/26446/22146/16176/22145/230075/26415/19175/73916/13063/19225/67151/56717/14102/22123/21938/20422/26397/74018/17706/11596/56480/327954/12289/17720/53333/19166/12868/59029/26443/19122/22152",37
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","22/492","250/11188",0.088,2.00110569105691,3.43328335782164,0.00153019957894295,0.0191274947367869,0.0191274947367869,"17113/11797/19157/24088/22146/16176/22145/26415/13063/22034/16646/80837/56532/110350/26397/170625/22166/12475/216799/21933/11796/22152",22
"Genetic Information Processing","Translation","mmu03013","Nucleocytoplasmic transport","13/492","118/11188",0.110169491525424,2.50523632354968,3.52533632883505,0.00200801757304151,0.0242346948470527,0.0242346948470528,"22196/21681/234733/17149/226747/16647/16646/269113/19826/71805/56488/18141/66441",13
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","23/492","273/11188",0.0842490842490843,1.91581047678609,3.28551711827512,0.00213746441223768,0.0248021322464082,0.0248021322464082,"19173/19179/231991/26446/22146/16176/22145/230075/26415/19175/13063/67151/22123/20422/17706/12289/17720/19166/12868/59029/26443/19122/22152",23
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","18/492","194/11188",0.0927835051546392,2.10988182046769,3.34447851042829,0.00224135513058261,0.0248021322464082,0.0248021322464082,"20302/20779/15945/16452/20303/20310/14701/20662/24047/17096/26385/20848/104709/20312/55985/320207/18036/14825",18
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","9/492","66/11188",0.136363636363636,3.10088691796009,3.67123235726825,0.00226762351967161,0.0248021322464082,0.0248021322464082,"24088/16176/21939/21809/15122/21825/20969/110257/100503605",9
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","9/492","67/11188",0.134328358208955,3.05460502366218,3.61761628430366,0.00252002434217616,0.0261314117646234,0.0261314117646234,"11522/18746/18648/72141/66681/18655/15277/56421/13382",9
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","12/492","107/11188",0.11214953271028,2.5502621381354,3.45570152891437,0.00253847999999199,0.0261314117646234,0.0261314117646234,"11847/24088/16177/11846/16178/16176/20310/21809/12475/14825/16409/109711",12
"Metabolism","Metabolism of terpenoids and polyketides","mmu00900","Terpenoid backbone biosynthesis","5/492","23/11188",0.217391304347826,4.94344291269,4.06011921527993,0.00280684859931236,0.0280684859931236,0.0280684859931236,"110460/52014/192156/68603/15357",5
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","6/492","34/11188",0.176470588235294,4.012912482066,3.77345633074571,0.00330038703660076,0.032087096189174,0.032087096189174,"18627/104318/12953/12952/18030/18626",6
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","16/492","171/11188",0.0935672514619883,2.12770408405838,3.18705976081539,0.00354198608727185,0.0324887139587351,0.0324887139587352,"18712/16452/216233/56708/20849/18413/56717/16169/18414/20662/12984/16197/20848/12983/12702/16190",16
"Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia","14/492","141/11188",0.099290780141844,2.25785619558323,3.22364378442715,0.00363599719222811,0.0324887139587351,0.0324887139587352,"226153/52639/19173/19179/26446/19175/13063/67151/56717/22123/20422/19166/59029/26443",14
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","19/492","219/11188",0.0867579908675799,1.97286260533838,3.11830594637609,0.00365513765254947,0.0324887139587351,0.0324887139587352,"18627/11797/12428/22431/16178/17355/13197/56312/21939/12047/22029/12045/17246/15902/12044/12475/16409/11796/12608",19
