"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","47/830","254/11188",0.18503937007874,2.49424153306138,6.81876995761618,3.72143140289988e-09,7.0801338213826e-07,7.0801338213826e-07,"27419/16889/268706/235504/109685/20597/11764/26889/192654/52120/21425/11305/17159/83409/76524/12751/72392/11975/252972/63959/13032/14387/56464/100561/103199/15932/17342/231855/27029/12514/320528/68526/11766/66049/17828/11881/12091/215335/71279/75425/110173/229445/11883/15587/15931/15212/15211",47
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation","12/830","21/11188",0.571428571428571,7.7025817555938,8.7024476858777,4.04579075507577e-09,7.0801338213826e-07,7.0801338213826e-07,"27419/109685/52120/15932/15442/27029/11881/12091/15587/15931/15212/15211",12
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","49/830","299/11188",0.163879598662207,2.20901801184672,5.99835656278922,1.00349446224861e-07,1.17074353929004e-05,1.17074353929004e-05,"18747/240168/15370/20112/330177/18591/18018/16542/12978/12286/16000/26399/67603/14281/26417/71785/233046/21813/18590/26416/235584/17260/26408/73086/16476/19418/17346/320139/14013/13637/14180/14673/15234/26404/19395/14182/14256/26407/170758/22340/23797/109689/21687/20130/54635/21808/17532/20111/17311",49
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","37/830","214/11188",0.172897196261682,2.33057088165747,5.56314443628626,9.97424532598412e-07,8.72746466023611e-05,8.72746466023611e-05,"240168/14026/78134/20469/18591/11513/16542/18796/18803/12978/16000/26399/26417/71785/51791/22325/18590/26416/70549/11515/13637/14180/18760/15234/19395/14182/14677/170758/22340/23797/18709/21687/75600/20130/54635/17532/17311",37
"Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism","27/830","134/11188",0.201492537313433,2.71602229814782,5.65683495368905,1.46178404162263e-06,0.000102324882913584,0.000102324882913584,"230103/29863/11513/18160/75686/12497/66401/110639/14198/23917/18582/18577/14923/27369/53893/11515/237823/18583/56248/56520/12499/66566/207728/218461/79059/110385/13178",27
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","24/830","116/11188",0.206896551724138,2.78886580805983,5.48215904781738,3.41845945331984e-06,0.000177706210233672,0.000177706210233672,"18747/18805/11513/16438/18796/14281/26417/17388/18577/18806/17260/19228/12043/16439/11515/53416/14673/14672/14182/20181/14677/109689/13653/110385",24
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","26/830","132/11188",0.196969696969697,2.65505658999635,5.41450439184214,3.55412420467344e-06,0.000177706210233672,0.000177706210233672,"18726/17969/21682/18018/16438/20846/12978/26399/83433/14281/19016/26417/54721/16818/21813/26416/16476/16439/232801/17342/14282/23797/21934/18709/21808/17060",26
"Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway","27/830","149/11188",0.181208053691275,2.44259723457589,5.01800713790724,1.18710439274851e-05,0.000461651708291086,0.000461651708291086,"103967/78134/227333/67916/13429/56077/18591/18805/11513/18796/18803/26417/71785/50784/18806/18590/11515/14673/22084/67512/67168/23797/18709/20130/54635/17532/17311",27
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","27/830","149/11188",0.181208053691275,2.44259723457589,5.01800713790724,1.18710439274851e-05,0.000461651708291086,0.000461651708291086,"63873/17969/18591/11481/16542/14872/26399/14862/14281/66447/18590/26416/17260/12390/26408/16476/12043/50868/17395/170758/23797/14863/18709/12389/14871/75600/20293",27
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","19/830","87/11188",0.218390804597701,2.94380279739648,5.15215226657039,1.56992948155768e-05,0.000549475318545187,0.000549475318545187,"212503/269951/17527/74114/12359/15488/67420/19300/51798/26378/15926/56794/11666/111175/12908/67725/67528/26874/224824",19
