"gene","log2FC","AveExpr","t","pvalue","padj","B","method","contrast","category"
"Vapa",2.03673695208198,8.14982524919117,10.6855001742714,4.09284990839879e-06,0.00036213664898171,4.8961989981635,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","anchor_contact"
"Acsl4",1.64028108908785,6.11381649903512,9.99861041167154,6.83223772520459e-06,0.000444957658281961,4.39941101036205,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","lipid_metabolism"
"Cpt1a",-1.73499536998808,5.07166934271295,-7.96802117803367,3.78617970293658e-05,0.000945658029463836,2.62213333254704,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","lipid_metabolism"
"Hspa9",1.17240992694707,6.34135970930474,7.4193770446399,6.38849335705749e-05,0.00121645466554147,2.01303085993524,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","anchor_contact"
"Lpin1",-2.04682841716249,3.14177841583214,-7.29151578719137,7.24781143529524e-05,0.00129933777589283,2.13612308511171,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","lipid_metabolism"
"Slc8a1",-1.15871453426196,5.30257338390682,-6.87637853127146,0.000110486588996281,0.00160405400588011,1.46419237203393,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","calcium"
"Micu1",-1.19125377046318,4.65164355408349,-5.83888555059507,0.000345528439615809,0.00297753303371384,0.314012902617894,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","calcium"
"Sigmar1",-1.0714875880233,4.04303910523063,-5.52149453740755,0.000503165039971736,0.00380234683928874,0.0051565923639183,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","anchor_contact"
"Dgat2",1.36445978885871,3.87945192404778,4.87791379867245,0.00112498590973046,0.00618769783046557,-0.680939583561967,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","lipid_metabolism"
"Prkn",-3.41853069288198,-0.465876264982484,-4.3237127202236,0.00235946641409748,0.0100734514039564,-1.16159208419486,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","mito_dynamics"
"Itpr1",-1.05325865301912,3.66808231224621,-3.80260079517569,0.00493257065953571,0.0166298519355544,-2.32012348058594,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","anchor_contact"
"Itpr2",-1.04974325180919,5.02106080705999,-3.07431949568923,0.0147026934404947,0.0365727582101915,-3.68316738498268,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control","anchor_contact"
