"CLP","Control","gene","panel"
1.23685694046895,1.58351614437133,"Hspa5","内质网应激基因"
0.957312308253524,0.929163180714741,"Atf4","内质网应激基因"
0.559081657944802,0.506436080136632,"Xbp1","内质网应激基因"
0.196021077929961,0.266640378414162,"Ddit3","内质网应激基因"
0.401327500128675,0.955329528162864,"Hspa1a","内质网应激基因"
0.026926029902435,0.0791277602104216,"Eif2ak3","内质网应激基因"
0.763153003883129,0.47701733283179,"Herpud1","内质网应激基因"
0.0341322111814638,0.0820995931451861,"Ern1","内质网应激基因"
0.287226621426344,0.350298851395464,"Atf6","内质网应激基因"
0.503414944508237,0.393371615991375,"Manf","内质网应激基因"
0.353715331871685,0.621325436697463,"Dnajb9","内质网应激基因"
0.760287376504212,1.14678269517514,"Calr","内质网应激基因"
0.469783667020482,0.699182979052324,"Canx","内质网应激基因"
0.710043359511531,1.05648003819038,"Ppp1r15a","内质网应激基因"
0.0157130548606045,0.0267055368942942,"Wfs1","内质网应激基因"
0.237190949123808,0.291422308876693,"Edem1","内质网应激基因"
0.260104566614736,0.464995434832112,"Sirt2","内质网应激基因"
0.119993762105162,0.163952428591357,"Foxo1","内质网应激基因"
