"gene","log2FC","AveExpr","t","pvalue","padj","B"
"Mt2",6.79153172518811,9.93586642667941,56.7892036657371,1.86407081961657e-10,2.86899139847187e-06,13.5758828932355
"Mt1",5.98457667486487,11.6967751539385,50.3793459989162,4.24447914538787e-10,3.26633892633324e-06,13.0171191718774
"Slc10a6",4.19744108786552,6.34319517809215,38.590604609615,2.64494194528751e-09,1.356943382664e-05,11.7275819003326
"Ackr3",3.99053950271775,9.22457968797293,34.0844259722686,6.19426390458489e-09,2.38339789388665e-05,11.2555041163368
"Inhbb",5.66083036040666,6.81414120906094,29.4066581329014,1.7010845304481e-08,5.23627840162535e-05,10.2249954494778
"Ptx3",6.14716557801377,7.1548671566397,28.0739714619614,2.33555376902759e-08,5.99108467651728e-05,9.97229196764326
"Magix",-4.22339559454289,1.38564413618659,-27.0066772430483,3.04342093113726e-08,6.55147307347786e-05,9.24880887504294
"Rarg",-3.47022725650472,3.44066137299099,-26.2298189946483,3.71443948028517e-08,6.55147307347786e-05,9.57486130352689
"Mcc",-2.30137882408382,5.00868250993922,-26.1113089719708,3.83102187390688e-08,6.55147307347786e-05,9.68242053054633
"Gm12840",5.80855162282012,9.22791551550959,24.8049073860082,5.43702647931744e-08,7.81129412164969e-05,9.37055489226622
"Ifitm2",2.57827420045498,11.2167211203104,24.6719081826752,5.63999815085472e-08,7.81129412164969e-05,9.31588480170543
"Myct1",-2.8268688187618,5.87530240317714,-24.3954440360723,6.09028194787839e-08,7.81129412164969e-05,9.2624560446132
"Tmem252",8.77232203676203,7.79094673298555,23.7506848318915,7.30964418561372e-08,7.9727318493823e-05,8.82752939534846
"Sh3glb2",-2.70928380837662,3.87588483375632,-23.6387603412664,7.54864684987599e-08,7.9727318493823e-05,9.01172187678883
"Rell1",3.71343143888446,8.09805456597925,23.0426769477979,8.98241107410394e-08,7.9727318493823e-05,8.90124628957328
"Sik1",3.5747923671818,7.41344905671619,22.9945938862868,9.11104216223448e-08,7.9727318493823e-05,8.88657316670148
"Etl4",-2.89181034078857,5.16330144625056,-22.8653466333124,9.46737446019123e-08,7.9727318493823e-05,8.83718432243588
"Slc39a14",4.18334751385652,6.37121545388414,22.7153803186941,9.90096872393003e-08,7.9727318493823e-05,8.77062087564097
"Tbxa2r",-4.5392754739009,0.835459556207663,-22.5857822736577,1.02940357691877e-07,7.9727318493823e-05,8.22437225207941
"Dok4",-3.66928914488544,3.38888812864328,-22.5645076249048,1.03602518996586e-07,7.9727318493823e-05,8.67266911546018
"Riok3",2.11264354334109,7.44062417323527,22.0449570338618,1.21389718686729e-07,8.74340705188043e-05,8.60955465930316
"Stard9",-2.72914378207611,3.29010535455881,-21.9506890832544,1.24978854617224e-07,8.74340705188043e-05,8.51609306343162
"Nus1",3.6443977975768,8.2439135342844,21.6520900594758,1.37174505454536e-07,8.95932501685753e-05,8.49004255464944
