"gene","sample","expr","group"
"Tnf","GSM6280843_n-1",4.56139427894217,"Control"
"Tnf","GSM6280844_n-2",4.84773486991675,"Control"
"Tnf","GSM6280845_clp-12h-1",5.67298737259854,"CLP"
"Tnf","GSM6280846_clp-12h-2",4.45005020980408,"CLP"
"Tnf","GSM6280847_clp-24h-1",5.85324318685755,"CLP"
"Tnf","GSM6280848_clp-24h-2",6.37171144139912,"CLP"
"Il1b","GSM6280843_n-1",5.91014093235725,"Control"
"Il1b","GSM6280844_n-2",6.90516870296477,"Control"
"Il1b","GSM6280845_clp-12h-1",7.53298360434474,"CLP"
"Il1b","GSM6280846_clp-12h-2",6.84035453376724,"CLP"
"Il1b","GSM6280847_clp-24h-1",6.80037944060333,"CLP"
"Il1b","GSM6280848_clp-24h-2",8.47576557476006,"CLP"
"Il6","GSM6280843_n-1",3.84154199505984,"Control"
"Il6","GSM6280844_n-2",3.49527613311497,"Control"
"Il6","GSM6280845_clp-12h-1",7.73093588960217,"CLP"
"Il6","GSM6280846_clp-12h-2",6.68182808219604,"CLP"
"Il6","GSM6280847_clp-24h-1",8.44304760699906,"CLP"
"Il6","GSM6280848_clp-24h-2",9.50122066104811,"CLP"
"Ccl2","GSM6280843_n-1",6.3123092536833,"Control"
"Ccl2","GSM6280844_n-2",6.58093464267441,"Control"
"Ccl2","GSM6280845_clp-12h-1",7.8066922864619,"CLP"
"Ccl2","GSM6280846_clp-12h-2",7.56809898517767,"CLP"
"Ccl2","GSM6280847_clp-24h-1",9.57343197778381,"CLP"
"Ccl2","GSM6280848_clp-24h-2",10.6830649614489,"CLP"
"Ccl3","GSM6280843_n-1",4.63893608219778,"Control"
"Ccl3","GSM6280844_n-2",5.57716412863043,"Control"
"Ccl3","GSM6280845_clp-12h-1",8.13646632670707,"CLP"
"Ccl3","GSM6280846_clp-12h-2",6.48289382294418,"CLP"
"Ccl3","GSM6280847_clp-24h-1",6.67552263130013,"CLP"
"Ccl3","GSM6280848_clp-24h-2",7.40329406419198,"CLP"
"Ccl4","GSM6280843_n-1",5.13886781970858,"Control"
"Ccl4","GSM6280844_n-2",6.07726346958109,"Control"
"Ccl4","GSM6280845_clp-12h-1",8.90250214256557,"CLP"
"Ccl4","GSM6280846_clp-12h-2",7.22577422741514,"CLP"
"Ccl4","GSM6280847_clp-24h-1",7.36324600848048,"CLP"
"Ccl4","GSM6280848_clp-24h-2",8.97723138102612,"CLP"
"Ccl5","GSM6280843_n-1",3.80355867026709,"Control"
"Ccl5","GSM6280844_n-2",4.60236559693949,"Control"
"Ccl5","GSM6280845_clp-12h-1",6.98040674930636,"CLP"
"Ccl5","GSM6280846_clp-12h-2",5.54269043269199,"CLP"
"Ccl5","GSM6280847_clp-24h-1",6.0415901708721,"CLP"
"Ccl5","GSM6280848_clp-24h-2",9.01566470437132,"CLP"
"Cxcl2","GSM6280843_n-1",6.72322495144186,"Control"
"Cxcl2","GSM6280844_n-2",7.41502464152947,"Control"
"Cxcl2","GSM6280845_clp-12h-1",10.4522982064271,"CLP"
"Cxcl2","GSM6280846_clp-12h-2",9.07585596993224,"CLP"
"Cxcl2","GSM6280847_clp-24h-1",11.4197350718064,"CLP"
"Cxcl2","GSM6280848_clp-24h-2",11.8629045063101,"CLP"
"Cxcl1","GSM6280843_n-1",8.17689198752524,"Control"
"Cxcl1","GSM6280844_n-2",7.74783260208284,"Control"
"Cxcl1","GSM6280845_clp-12h-1",10.206540847269,"CLP"
"Cxcl1","GSM6280846_clp-12h-2",9.61540929457759,"CLP"
"Cxcl1","GSM6280847_clp-24h-1",11.7579708449324,"CLP"
"Cxcl1","GSM6280848_clp-24h-2",12.1978664541194,"CLP"
"Cxcl10","GSM6280843_n-1",6.46459329181367,"Control"
"Cxcl10","GSM6280844_n-2",6.26276915919705,"Control"
"Cxcl10","GSM6280845_clp-12h-1",7.4810369409515,"CLP"
"Cxcl10","GSM6280846_clp-12h-2",8.06085751445905,"CLP"
"Cxcl10","GSM6280847_clp-24h-1",7.8000979514249,"CLP"
"Cxcl10","GSM6280848_clp-24h-2",9.51496889972248,"CLP"
"Csf1","GSM6280843_n-1",5.96235793627583,"Control"
"Csf1","GSM6280844_n-2",5.92871360323661,"Control"
"Csf1","GSM6280845_clp-12h-1",6.0087273595591,"CLP"
"Csf1","GSM6280846_clp-12h-2",5.87334325370557,"CLP"
"Csf1","GSM6280847_clp-24h-1",7.196862691353,"CLP"
"Csf1","GSM6280848_clp-24h-2",6.96698786747388,"CLP"
"Csf3","GSM6280843_n-1",0.26888744364795,"Control"
"Csf3","GSM6280844_n-2",0.261100330566892,"Control"
"Csf3","GSM6280845_clp-12h-1",8.00685822318024,"CLP"
"Csf3","GSM6280846_clp-12h-2",6.44581726010729,"CLP"
"Csf3","GSM6280847_clp-24h-1",8.65735018407832,"CLP"
"Csf3","GSM6280848_clp-24h-2",9.82825363053933,"CLP"
"Tgfb1","GSM6280843_n-1",7.61036705836371,"Control"
"Tgfb1","GSM6280844_n-2",7.59988374323785,"Control"
"Tgfb1","GSM6280845_clp-12h-1",7.05511381869271,"CLP"
"Tgfb1","GSM6280846_clp-12h-2",6.85431252549115,"CLP"
"Tgfb1","GSM6280847_clp-24h-1",7.16252958587123,"CLP"
"Tgfb1","GSM6280848_clp-24h-2",6.99316144558743,"CLP"
"Spp1","GSM6280843_n-1",1.35869178647335,"Control"
"Spp1","GSM6280844_n-2",3.25560809045282,"Control"
"Spp1","GSM6280845_clp-12h-1",1.62940563211176,"CLP"
"Spp1","GSM6280846_clp-12h-2",2.63200719116404,"CLP"
"Spp1","GSM6280847_clp-24h-1",1.45534115700541,"CLP"
"Spp1","GSM6280848_clp-24h-2",2.01323567753226,"CLP"
"Icam1","GSM6280843_n-1",8.19479361664285,"Control"
"Icam1","GSM6280844_n-2",8.40961386610721,"Control"
"Icam1","GSM6280845_clp-12h-1",8.86328978479553,"CLP"
"Icam1","GSM6280846_clp-12h-2",8.41829194188705,"CLP"
"Icam1","GSM6280847_clp-24h-1",9.93862992692499,"CLP"
"Icam1","GSM6280848_clp-24h-2",9.68437361649672,"CLP"
"Apoe","GSM6280843_n-1",11.3270438091624,"Control"
"Apoe","GSM6280844_n-2",11.300381772064,"Control"
"Apoe","GSM6280845_clp-12h-1",10.2390138533264,"CLP"
"Apoe","GSM6280846_clp-12h-2",10.9239535725665,"CLP"
"Apoe","GSM6280847_clp-24h-1",9.75655881577904,"CLP"
"Apoe","GSM6280848_clp-24h-2",9.11139349276745,"CLP"
"Vegfa","GSM6280843_n-1",5.75409528583564,"Control"
"Vegfa","GSM6280844_n-2",5.58910503404338,"Control"
"Vegfa","GSM6280845_clp-12h-1",5.91213528468599,"CLP"
