"gene","log2FC","pvalue","padj"
"Xkr4",-0.277946786632301,0.05,0.05
"Gm19938",-0.178445754164426,0.05,0.05
"Rp1",0.0450789066161307,0.05,0.05
"Sox17",1.32398703342209,0.05,0.05
"Gm37587",0.48215378338602,0.05,0.05
"Mrpl15",0.0730844781664004,0.05,0.05
"Lypla1",0.0539470341260451,0.05,0.05
"Tcea1",0.0804011212558384,0.05,0.05
"Atp6v1h",0.043571123739774,0.05,0.05
"Rb1cc1",0.397617264302153,0.05,0.05
"4732440D04Rik",0.130056773826569,0.05,0.05
"Pcmtd1",-0.000942979934800192,0.05,0.05
"Gm26901",-0.224808663133768,0.05,0.05
"Sntg1",0.541122491050724,0.05,0.05
"Rrs1",0.769504768533292,0.05,0.05
"Adhfe1",1.01072396400041,0.05,0.05
"2610203C22Rik",-1.56521520611369,0.05,0.05
"Mybl1",0.273995810620741,0.05,0.05
"Vcpip1",-0.10674471283124,0.05,0.05
"1700034P13Rik",-0.106522242852652,0.05,0.05
"Sgk3",-0.444869144986773,0.05,0.05
"Mcmdc2",-0.345645652017777,0.05,0.05
"Snhg6",0.6669884782305,0.05,0.05
"Tcf24",-0.0651913998348482,0.05,0.05
"Ppp1r42",0.283611973078763,0.05,0.05
"Cops5",0.316840664417134,0.05,0.05
"Cspp1",0.207691778835854,0.05,0.05
"Arfgef1",-0.0481922067564566,0.05,0.05
"Prex2",-0.132971689598739,0.05,0.05
"Sulf1",-0.0245487372467528,0.05,0.05
"Slco5a1",-0.129265139772596,0.05,0.05
"Ncoa2",-0.140162393321912,0.05,0.05
"Tram1",-0.208574441383423,0.05,0.05
"Lactb2",-0.643922215786383,0.05,0.05
"Eya1",-0.298697833141753,0.05,0.05
"Gm9947",-0.236376260252368,0.05,0.05
"Msc",0.376572582409358,0.05,0.05
"Terf1",0.0147358533110813,0.05,0.05
"Sbspon",-0.311600553540538,0.05,0.05
"Rpl7",-0.227628792500525,0.05,0.05
"Rdh10",0.673681594526384,0.05,0.05
"Stau2",-0.510101892222594,0.05,0.05
"Ube2w",-0.164020379215498,0.05,0.05
"Eloc",-0.161244819916671,0.05,0.05
"D030040B21Rik",-0.186738482484598,0.05,0.05
"Tmem70",-0.173170024695138,0.05,0.05
"Ly96",-0.400958218453496,0.05,0.05
"Jph1",0.242239890969158,0.05,0.05
"Gdap1",0.19738039228566,0.05,0.05
"Pi15",0.392426066895389,0.05,0.05
"Gm28154",-0.0599139989654407,0.05,0.05
"Gm16070",0.103043643012936,0.05,0.05
"Crispld1",-0.151923797669062,0.05,0.05
"Tfap2b",0.0908559422736481,0.05,0.05
"Il17a",0.0803092005719296,0.05,0.05
"Mcm3",-0.726714207667745,0.05,0.05
"Paqr8",0.19828547292261,0.05,0.05
"Efhc1",-0.34322859099823,0.05,0.05
"Tram2",0.0767648092706774,0.05,0.05
"Tmem14a",-0.959642280801884,0.05,0.05
"Gsta3",1.58740596653613,0.05,0.05
"Khdc1a",-0.350598749159214,0.05,0.05
"Kcnq5",-0.422011791366658,0.05,0.05
"Rims1",-0.13025674681445,0.05,0.05
"Gm29107",0.659499254315843,0.05,0.05
"Ogfrl1",0.0315422921777522,0.05,0.05
"B3gat2",0.206236567970235,0.05,0.05
"Smap1",-0.103196568783173,0.05,0.05
"Sdhaf4",-0.364951799965964,0.05,0.05
"Fam135a",0.0244022131609749,0.05,0.05
"Col9a1",-1.15740474545397,0.05,0.05
"Lmbrd1",-0.103594918185721,0.05,0.05
"Phf3",-0.030376028394512,0.05,0.05
"Ptp4a1",-0.223961492323084,0.05,0.05
"Ptp4a1.1",0.0647931322742399,0.05,0.05
"Prim2",-0.326990967290267,0.05,0.05
"Rab23",-0.269774909852184,0.05,0.05
"Bag2",-0.250070697074749,0.05,0.05
"Zfp451",0.148772526405211,0.05,0.05
"Bend6",-1.33356668924189,0.05,0.05
"Dst",0.0339783553929935,0.05,0.05
"Gm26788",-0.000671190395060375,0.05,0.05
"Gm37233",-1.00227690826667,0.05,0.05
"Ccdc115",-0.130430333836498,0.05,0.05
"Imp4",-0.103876638016738,0.05,0.05
"Ptpn18",-1.34823365632027,0.05,0.05
"Gm28417",-0.973670187811331,0.05,0.05
"4930568A12Rik",-0.502714586160553,0.05,0.05
"Arhgef4",-0.324591878369326,0.05,0.05
"Gm38336",-0.0210498040455794,0.05,0.05
"Fam168b",-0.574462226805471,0.05,0.05
"Plekhb2",-0.552031372024218,0.05,0.05
"Hs6st1",0.131715116634364,0.05,0.05
"Gm33280",0.13221494905347,0.05,0.05
"Uggt1",0.156786853551306,0.05,0.05
"Neurl3",-0.395991112082789,0.05,0.05
"Arid5a",0.221459178837473,0.05,0.05
"4930403P22Rik",0.0939598997300415,0.05,0.05
"Kansl3",0.167104291392246,0.05,0.05
"Lman2l",-0.256209191447397,0.05,0.05
