"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","18/265","131/11190",0.137404580152672,5.80210283739018,8.61027507358497,1.66746272269267e-09,5.83611952942434e-07,5.83611952942434e-07,"20345/16409/50909/12260/12266/12259/12267/14999/19204/14289/14961/12262/14998/14962/14969/246256/14293/14960",18
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","14/265","95/11190",0.147368421052632,6.22284011916584,7.9618269121393,4.56509551255249e-08,7.98891714696686e-06,7.98891714696686e-06,"56221/12767/24047/12774/20307/13051/56744/57266/15945/20305/12978/17329/12977/16154",14
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","12/265","70/11190",0.171428571428571,7.23881401617251,8.15467236127964,7.61431360580776e-08,8.88336587344239e-06,8.88336587344239e-06,"16409/12266/17357/13058/18751/14999/14961/16401/14998/14969/246256/14960",12
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","13/265","93/11190",0.139784946236559,5.90261716372489,7.39391602164894,2.6345141399826e-07,1.86447770995965e-05,1.86447770995965e-05,"16409/16177/12509/12491/12489/14999/14961/16401/12978/14998/14969/12977/14960",13
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","14/265","109/11190",0.128440366972477,5.42357625064913,7.22778358428987,2.66353958565664e-07,1.86447770995965e-05,1.86447770995965e-05,"12774/15511/11689/14999/14961/16145/320207/12048/193740/14998/54396/14969/14960/16154",14
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","17/265","194/11190",0.0876288659793814,3.70025286909162,5.90875233113757,3.47554811238219e-06,0.000202740306555628,0.000202740306555628,"56221/12767/24047/11513/12774/94176/20307/13051/56744/57266/170758/18751/320207/15945/20305/17329/18798",17
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","11/265","86/11190",0.127906976744186,5.40105309346204,6.38078274655393,5.42420203636232e-06,0.000271210101818116,0.000271210101818116,"13040/15511/13030/19141/14999/14961/193740/14998/14969/14960/16149",11
"Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production","8/265","43/11190",0.186046511627907,7.85607722685388,7.01517935740419,6.29155843088719e-06,0.000275255681351314,0.000275255681351314,"12524/12767/14999/14961/16401/14998/14969/14960",8
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","21/265","305/11190",0.0688524590163934,2.90739251469224,5.25997437038877,1.15466746112227e-05,0.000449037345991995,0.000449037345991995,"20288/16409/140792/17105/12266/13040/12491/13030/14133/13058/14999/14961/276891/16819/14998/103967/14969/246256/17533/14960/16419",21
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","11/265","95/11190",0.115789473684211,4.88937437934459,5.92905869188212,1.43436991583122e-05,0.000502029470540925,0.000502029470540925,"16409/50909/12260/12266/12259/12509/12267/12262/109828/12759/14962",11
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","20/265","294/11190",0.0680272108843537,2.8725452445129,5.06734284804638,2.23347961750454e-05,0.000710652605569628,0.000710652605569628,"18413/56221/16177/12767/24047/12774/20307/13051/56744/57266/14102/16181/16170/18414/15945/20305/12978/17329/12977/16154",20
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","14/265","163/11190",0.0858895705521472,3.62680865840954,5.26140102554497,3.2079673911887e-05,0.000909861342132221,0.000909861342132221,"19261/12260/233571/12259/13051/12491/19016/11689/192187/276891/192654/12262/22259/16419",14
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","18/265","254/11190",0.0708661417322835,2.99242311692171,5.00238404562964,3.37948498506254e-05,0.000909861342132221,0.000909861342132221,"71279/15211/12091/13032/14667/13040/170743/13036/13030/16792/19141/11433/11764/17159/192654/11881/11886/15212",18
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","10/265","89/11190",0.112359550561798,4.74454102183591,5.5235767863296,4.58993083397625e-05,0.001102082741313,0.001102082741313,"57875/12491/19016/18830/20249/104086/11520/22259/16956/15360",10
"Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism","8/265","56/11190",0.142857142857143,6.03234501347709,5.87958488039001,4.7232117484843e-05,0.001102082741313,0.001102082741313,"15211/12091/14667/81535/56386/11886/230379/15212",8
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","13/265","150/11190",0.0866666666666667,3.65962264150943,5.10727173546948,5.59540661532744e-05,0.00122399519710288,0.00122399519710288,"12524/50909/12260/12266/12259/14999/14961/12262/109828/14998/14969/246256/14960",13
"Environmental Information Processing","Signaling molecules and interaction","mmu04518","Integrin signaling","13/265","153/11190",0.0849673202614379,3.58786533481317,5.01960702390093,6.86993241948719e-05,0.00141439785107089,0.00141439785107089,"16409/12266/12835/22329/16000/73341/170758/12830/12829/12443/16401/18654/16419",13
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","14/265","179/11190",0.0782122905027933,3.30262464425003,4.83664412564377,8.95495166503797e-05,0.00174124060153516,0.00174124060153516,"20345/12524/16409/60533/60363/22329/19280/19264/14999/14961/16401/14998/14969/14960",14
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","14/265","180/11190",0.0777777777777778,3.28427672955975,4.81170684214324,9.50790268327098e-05,0.00175145575744465,0.00175145575744465,"16409/16985/12266/13040/16803/14999/14961/14998/14969/246256/17533/14960/16154/16149",14
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","15/265","219/11190",0.0684931506849315,2.89222021194107,4.40431607100874,0.000222629290119512,0.00389601257709147,0.00389601257709147,"12524/16409/12575/16000/19016/17095/16909/12045/17260/17132/235320/12047/12048/12978/15446",15
"Human Diseases","Immune disease","mmu05310","Asthma","5/265","25/11190",0.2,8.44528301886792,5.80403072777194,0.000258367332741338,0.00430612221235564,0.00430612221235564,"14999/14961/14998/14969/14960",5
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","11/265","132/11190",0.0833333333333333,3.5188679245283,4.5337954258298,0.000294002600119569,0.00467731409281132,0.00467731409281132,"19261/17060/16177/19016/83433/11433/18733/12978/246256/12977/232801",11
"Human Diseases","Immune disease","mmu05330","Allograft rejection","7/265","58/11190",0.120689655172414,5.09629147690306,4.87108940607532,0.000413526586481856,0.00603059605286041,0.00603059605286041,"12524/14102/14999/14961/14998/14969/14960",7
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","7/265","58/11190",0.120689655172414,5.09629147690306,4.87108940607532,0.000413526586481856,0.00603059605286041,0.00603059605286041,"12524/14102/14999/14961/14998/14969/14960",7
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","11/265","141/11190",0.0780141843971631,3.29425933360096,4.2697104836344,0.000518086058160487,0.00725320481424682,0.00725320481424682,"12260/12266/12259/16803/12267/14102/20249/12443/12262/68465/56489",11
"Metabolism","Glycan biosynthesis and metabolism","mmu00511","Other glycan degradation","4/265","18/11190",0.222222222222222,9.38364779874214,5.54385247834867,0.000723979222874618,0.0097458741540814,0.0097458741540814,"15211/12091/17159/15212",4
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","7/265","65/11190",0.107692307692308,4.54746008708273,4.46716544719064,0.000831954318435438,0.0107845930167557,0.0107845930167557,"12524/14102/14999/14961/14998/14969/14960",7
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","12/265","174/11190",0.0689655172413793,2.91216655823032,3.95909780067963,0.000883532050455941,0.0110441506306993,0.0110441506306993,"24014/54123/170743/14102/18751/14999/14961/15945/14998/14969/14960/56489",12
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","9/265","107/11190",0.0841121495327103,3.55175454064539,4.1305698389264,0.000969840191286732,0.0117049678258743,0.0117049678258743,"17060/16177/24047/22329/16803/12045/18751/12047/12048",9
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","8/265","87/11190",0.0919540229885057,3.88288874430709,4.20412083462395,0.0010335815150592,0.012058451009024,0.012058451009024,"12524/11433/14999/14961/14998/14969/12977/14960",8
"Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism","6/265","51/11190",0.117647058823529,4.96781354051054,4.42304229508764,0.0012280406667014,0.0138649752692093,0.0138649752692093,"57875/11816/12491/18830/104086/16956",6
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation","4/265","21/11190",0.19047619047619,8.04312668463612,5.03124948296269,0.00133904569318731,0.0146458122692362,0.0146458122692362,"15211/12091/11881/15212",4
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","8/265","92/11190",0.0869565217391304,3.67186218211649,4.00768387749576,0.00148778622138154,0.0157795508328346,0.0157795508328346,"12524/170758/14999/12443/14961/14998/14969/14960",8
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease","7/265","74/11190",0.0945945945945946,3.99439061703213,4.02492595401771,0.00179589197894791,0.0184871233126991,0.0184871233126991,"12524/14102/14999/14961/14998/14969/14960",7
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","13/265","217/11190",0.0599078341013825,2.52969307016781,3.54388261046531,0.00197884116080603,0.0196954754987034,0.0196954754987034,"54123/20656/22329/15511/12491/16803/19016/14102/13058/12048/193740/56489/18798",13
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","16/265","299/11190",0.0535117056856187,2.25960749668707,3.43830819950266,0.0020258203370095,0.0196954754987034,0.0196954754987034,"16177/15511/16000/12289/53608/14102/17260/170758/18751/193740/12978/17346/15507/18654/12977/14673",16
"Organismal Systems","Excretory system","mmu04961","Endocrine and other factor-regulated calcium reabsorption","6/265","61/11190",0.0983606557377049,4.15341787813177,3.84615004550777,0.00311045065075436,0.0294231818314602,0.0294231818314602,"19228/11936/20541/18751/103967/18798",6
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","8/265","104/11190",0.0769230769230769,3.24818577648766,3.58731306675084,0.00323024780836462,0.0297522824454636,0.0297522824454636,"12524/54123/27056/170743/16803/15945/17329/56489",8
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","6/265","62/11190",0.0967741935483871,4.08642726719416,3.7953443418387,0.00337683870904462,0.0303049627734774,0.0303049627734774,"17132/14999/14961/14998/14969/14960",6
"Organismal Systems","Digestive system","mmu04981","Folate transport and metabolism","4/265","27/11190",0.148148148148148,6.25576519916143,4.25828991242908,0.0035126530734943,0.0307357143930751,0.0307357143930751,"101488/26357/14276/107885",4
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","8/265","108/11190",0.0740740740740741,3.12788259958071,3.46065510672403,0.00407260822273749,0.0342799514901449,0.0342799514901449,"12835/12837/12819/11936/20541/12830/12829/12818",8
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","12/265","209/11190",0.0574162679425837,2.42448316331137,3.23755659391029,0.00411359417881738,0.0342799514901449,0.0342799514901449,"24014/54123/12266/14102/14999/14961/12048/14998/14969/14960/56489/16149",12
"Organismal Systems","Digestive system","mmu04970","Salivary secretion","7/265","87/11190",0.0804597701149425,3.39752765126871,3.49631804910613,0.00449955299991146,0.0366242686039305,0.0366242686039305,"17105/11513/13010/11936/18751/12182/18798",7
"Metabolism","Glycan biosynthesis and metabolism","mmu00604","Glycosphingolipid biosynthesis - ganglio series","3/265","15/11190",0.2,8.44528301886792,4.49377088373818,0.00483806805085371,0.0384846322227,0.0384846322227,"15211/12091/15212",3
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","6/265","70/11190",0.0857142857142857,3.61940700808625,3.423792707462,0.00615859439339924,0.0476048745957966,0.0476048745957966,"16409/12045/12443/235320/12047/12978",6
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","8/265","116/11190",0.0689655172413793,2.91216655823032,3.22411337077035,0.00625664066116184,0.0476048745957966,0.0476048745957966,"19228/17387/12575/11513/17260/18751/14673/18798",8
