"gene","sample_id","expr","time","group"
"Vdac1","GSM6285062_Sample1",6.62144595025874,"Control","Control"
"Vdac1","GSM6285063_Sample2",6.53153048785346,"Group_A","Sham"
"Vdac1","GSM6285064_Sample3",6.4201960946377,"Group_B","Sepsis"
"Vdac1","GSM6285065_Sample4",6.43802208664414,"LLTS","LLTS"
"Vdac2","GSM6285062_Sample1",7.4519414750435,"Control","Control"
"Vdac2","GSM6285063_Sample2",7.40245664146926,"Group_A","Sham"
"Vdac2","GSM6285064_Sample3",7.30145278068117,"Group_B","Sepsis"
"Vdac2","GSM6285065_Sample4",7.73548757720549,"LLTS","LLTS"
"Vdac3","GSM6285062_Sample1",7.01970837397465,"Control","Control"
"Vdac3","GSM6285063_Sample2",6.93386067879023,"Group_A","Sham"
"Vdac3","GSM6285064_Sample3",6.87486768497072,"Group_B","Sepsis"
"Vdac3","GSM6285065_Sample4",6.76344946551165,"LLTS","LLTS"
"Itpr1","GSM6285062_Sample1",5.91739170917806,"Control","Control"
"Itpr1","GSM6285063_Sample2",5.77911472241887,"Group_A","Sham"
"Itpr1","GSM6285064_Sample3",5.46076103924177,"Group_B","Sepsis"
"Itpr1","GSM6285065_Sample4",4.06242070259414,"LLTS","LLTS"
"Itpr2","GSM6285062_Sample1",5.72597426152694,"Control","Control"
"Itpr2","GSM6285063_Sample2",5.65605254972479,"Group_A","Sham"
"Itpr2","GSM6285064_Sample3",5.91856885575277,"Group_B","Sepsis"
"Itpr2","GSM6285065_Sample4",4.80629543748815,"LLTS","LLTS"
"Itpr3","GSM6285062_Sample1",3.46407731860798,"Control","Control"
"Itpr3","GSM6285063_Sample2",3.3462409206508,"Group_A","Sham"
"Itpr3","GSM6285064_Sample3",3.42185284290929,"Group_B","Sepsis"
"Itpr3","GSM6285065_Sample4",2.95323939059375,"LLTS","LLTS"
"Hspa9","GSM6285062_Sample1",6.36330758486249,"Control","Control"
"Hspa9","GSM6285063_Sample2",6.33475924710902,"Group_A","Sham"
"Hspa9","GSM6285064_Sample3",6.67315723817863,"Group_B","Sepsis"
"Hspa9","GSM6285065_Sample4",6.84667457875108,"LLTS","LLTS"
"Mfn1","GSM6285062_Sample1",3.88329707285997,"Control","Control"
"Mfn1","GSM6285063_Sample2",3.86699400491503,"Group_A","Sham"
"Mfn1","GSM6285064_Sample3",4.16136082405939,"Group_B","Sepsis"
"Mfn1","GSM6285065_Sample4",3.76075030042777,"LLTS","LLTS"
"Mfn2","GSM6285062_Sample1",4.82844616045541,"Control","Control"
"Mfn2","GSM6285063_Sample2",4.51493162613585,"Group_A","Sham"
"Mfn2","GSM6285064_Sample3",4.51660757210272,"Group_B","Sepsis"
"Mfn2","GSM6285065_Sample4",4.16621694034282,"LLTS","LLTS"
"Phb2","GSM6285062_Sample1",6.51815852406362,"Control","Control"
"Phb2","GSM6285063_Sample2",6.58830142114321,"Group_A","Sham"
"Phb2","GSM6285064_Sample3",6.57499474576651,"Group_B","Sepsis"
"Phb2","GSM6285065_Sample4",6.88364517146457,"LLTS","LLTS"
"Sigmar1","GSM6285062_Sample1",4.4109525592612,"Control","Control"
"Sigmar1","GSM6285063_Sample2",4.59339825676775,"Group_A","Sham"
"Sigmar1","GSM6285064_Sample3",4.58114963919291,"Group_B","Sepsis"
"Sigmar1","GSM6285065_Sample4",3.92816748457452,"LLTS","LLTS"
"Pacs2","GSM6285062_Sample1",4.37394023789717,"Control","Control"
"Pacs2","GSM6285063_Sample2",4.51275052672667,"Group_A","Sham"
"Pacs2","GSM6285064_Sample3",3.94524078853599,"Group_B","Sepsis"
"Pacs2","GSM6285065_Sample4",4.05925189321583,"LLTS","LLTS"
"Fis1","GSM6285062_Sample1",7.56722241984698,"Control","Control"
"Fis1","GSM6285063_Sample2",7.38750615661013,"Group_A","Sham"
"Fis1","GSM6285064_Sample3",7.57040895340288,"Group_B","Sepsis"
"Fis1","GSM6285065_Sample4",7.69650214803026,"LLTS","LLTS"
"Mtch2","GSM6285062_Sample1",5.43732302713654,"Control","Control"
"Mtch2","GSM6285063_Sample2",5.46959897917253,"Group_A","Sham"
"Mtch2","GSM6285064_Sample3",5.71625391432208,"Group_B","Sepsis"
"Mtch2","GSM6285065_Sample4",5.39297061766994,"LLTS","LLTS"
"Cisd3","GSM6285062_Sample1",3.19105391442265,"Control","Control"
"Cisd3","GSM6285063_Sample2",3.05095568859988,"Group_A","Sham"
"Cisd3","GSM6285064_Sample3",3.42876952137244,"Group_B","Sepsis"
"Cisd3","GSM6285065_Sample4",2.62922718974679,"LLTS","LLTS"
"Pdzd8","GSM6285062_Sample1",4.78240496622097,"Control","Control"
"Pdzd8","GSM6285063_Sample2",4.67953057881592,"Group_A","Sham"
"Pdzd8","GSM6285064_Sample3",4.88007974242923,"Group_B","Sepsis"
"Pdzd8","GSM6285065_Sample4",5.23273247772094,"LLTS","LLTS"
"Vapb","GSM6285062_Sample1",6.04465022815049,"Control","Control"
"Vapb","GSM6285063_Sample2",5.96648129888037,"Group_A","Sham"
"Vapb","GSM6285064_Sample3",5.9115908681846,"Group_B","Sepsis"
"Vapb","GSM6285065_Sample4",5.15471277797978,"LLTS","LLTS"
"Vapa","GSM6285062_Sample1",7.73578921110018,"Control","Control"
"Vapa","GSM6285063_Sample2",7.5758314795261,"Group_A","Sham"
"Vapa","GSM6285064_Sample3",7.76628783789655,"Group_B","Sepsis"
"Vapa","GSM6285065_Sample4",8.54314946185602,"LLTS","LLTS"
"Rras2","GSM6285062_Sample1",3.56809819427375,"Control","Control"
"Rras2","GSM6285063_Sample2",3.54075075798404,"Group_A","Sham"
"Rras2","GSM6285064_Sample3",3.45836442601167,"Group_B","Sepsis"
"Rras2","GSM6285065_Sample4",3.4555789997629,"LLTS","LLTS"
"Mcu","GSM6285062_Sample1",3.62039083097814,"Control","Control"
"Mcu","GSM6285063_Sample2",3.59948117905036,"Group_A","Sham"
"Mcu","GSM6285064_Sample3",3.69668425677724,"Group_B","Sepsis"
"Mcu","GSM6285065_Sample4",3.12067366630529,"LLTS","LLTS"
"Micu1","GSM6285062_Sample1",5.19227170769798,"Control","Control"
"Micu1","GSM6285063_Sample2",5.12084327519142,"Group_A","Sham"
"Micu1","GSM6285064_Sample3",4.74897517570554,"Group_B","Sepsis"
"Micu1","GSM6285065_Sample4",4.73659395387603,"LLTS","LLTS"
"Micu2","GSM6285062_Sample1",5.00600880530761,"Control","Control"
"Micu2","GSM6285063_Sample2",4.96524822249297,"Group_A","Sham"
"Micu2","GSM6285064_Sample3",4.48488061436137,"Group_B","Sepsis"
"Micu2","GSM6285065_Sample4",4.72364203145167,"LLTS","LLTS"
"Micu3","GSM6285062_Sample1",3.75242708233036,"Control","Control"
"Micu3","GSM6285063_Sample2",3.53860837405841,"Group_A","Sham"
"Micu3","GSM6285064_Sample3",3.46734974695683,"Group_B","Sepsis"
"Micu3","GSM6285065_Sample4",3.46279176805447,"LLTS","LLTS"
"Slc8a1","GSM6285062_Sample1",5.06380169830656,"Control","Control"
"Slc8a1","GSM6285063_Sample2",4.82022067899779,"Group_A","Sham"
"Slc8a1","GSM6285064_Sample3",3.62622304309647,"Group_B","Sepsis"
"Slc8a1","GSM6285065_Sample4",3.53983970392021,"LLTS","LLTS"
"Atp2a2","GSM6285062_Sample1",7.34409094499715,"Control","Control"
"Atp2a2","GSM6285063_Sample2",7.02142053053915,"Group_A","Sham"
"Atp2a2","GSM6285064_Sample3",7.35916367657913,"Group_B","Sepsis"
"Atp2a2","GSM6285065_Sample4",7.14340795489199,"LLTS","LLTS"
"Camk2d","GSM6285062_Sample1",5.87951913325081,"Control","Control"
"Camk2d","GSM6285063_Sample2",5.86241076458933,"Group_A","Sham"
"Camk2d","GSM6285064_Sample3",5.98577150789322,"Group_B","Sepsis"
"Camk2d","GSM6285065_Sample4",5.71281297584635,"LLTS","LLTS"
"Calm1","GSM6285062_Sample1",10.6400634347194,"Control","Control"
"Calm1","GSM6285063_Sample2",10.5669678286967,"Group_A","Sham"
"Calm1","GSM6285064_Sample3",10.5334405872795,"Group_B","Sepsis"
"Calm1","GSM6285065_Sample4",10.1685787686292,"LLTS","LLTS"
"Calm2","GSM6285062_Sample1",9.29651153937842,"Control","Control"
"Calm2","GSM6285063_Sample2",8.99935596849748,"Group_A","Sham"
"Calm2","GSM6285064_Sample3",8.57058828944137,"Group_B","Sepsis"
"Calm2","GSM6285065_Sample4",8.71111544203593,"LLTS","LLTS"
"Calm3","GSM6285062_Sample1",7.30483827573045,"Control","Control"
"Calm3","GSM6285063_Sample2",7.3487501027161,"Group_A","Sham"
"Calm3","GSM6285064_Sample3",7.01550940364454,"Group_B","Sepsis"
"Calm3","GSM6285065_Sample4",6.42792269668791,"LLTS","LLTS"
"Pld6","GSM6285062_Sample1",0.0940363175740871,"Control","Control"
"Pld6","GSM6285063_Sample2",0.119483754242207,"Group_A","Sham"
"Pld6","GSM6285064_Sample3",0.310752121858755,"Group_B","Sepsis"
"Pld6","GSM6285065_Sample4",0.126499987468583,"LLTS","LLTS"
"Cpt1a","GSM6285062_Sample1",5.26861611087408,"Control","Control"
"Cpt1a","GSM6285063_Sample2",5.0831218362085,"Group_A","Sham"
"Cpt1a","GSM6285064_Sample3",5.07563971593329,"Group_B","Sepsis"
"Cpt1a","GSM6285065_Sample4",4.54147565931482,"LLTS","LLTS"
"Cpt1b","GSM6285062_Sample1",1.83843625784874,"Control","Control"
"Cpt1b","GSM6285063_Sample2",1.89860908955365,"Group_A","Sham"
"Cpt1b","GSM6285064_Sample3",1.79585598564874,"Group_B","Sepsis"
"Cpt1b","GSM6285065_Sample4",1.3549690674011,"LLTS","LLTS"
"Acsl4","GSM6285062_Sample1",5.04258402121592,"Control","Control"
"Acsl4","GSM6285063_Sample2",5.10500440777721,"Group_A","Sham"
"Acsl4","GSM6285064_Sample3",5.34121227592436,"Group_B","Sepsis"
"Acsl4","GSM6285065_Sample4",6.46640848208454,"LLTS","LLTS"
"Lpin1","GSM6285062_Sample1",3.92067092323051,"Control","Control"
"Lpin1","GSM6285063_Sample2",4.03142428125889,"Group_A","Sham"
"Lpin1","GSM6285064_Sample3",3.41953989474985,"Group_B","Sepsis"
"Lpin1","GSM6285065_Sample4",2.51359327405191,"LLTS","LLTS"
"Dgat2","GSM6285062_Sample1",2.88064312033181,"Control","Control"
"Dgat2","GSM6285063_Sample2",3.02670337935245,"Group_A","Sham"
"Dgat2","GSM6285064_Sample3",3.37487429417764,"Group_B","Sepsis"
"Dgat2","GSM6285065_Sample4",3.83118049543919,"LLTS","LLTS"
"Osbpl5","GSM6285062_Sample1",3.55988224364768,"Control","Control"
"Osbpl5","GSM6285063_Sample2",3.61786214046765,"Group_A","Sham"
"Osbpl5","GSM6285064_Sample3",3.49617146785138,"Group_B","Sepsis"
"Osbpl5","GSM6285065_Sample4",1.98885015526477,"LLTS","LLTS"
"Pla2g6","GSM6285062_Sample1",2.48459912720771,"Control","Control"
"Pla2g6","GSM6285063_Sample2",2.42931598729713,"Group_A","Sham"
"Pla2g6","GSM6285064_Sample3",2.37068367088781,"Group_B","Sepsis"
"Pla2g6","GSM6285065_Sample4",1.94831476722586,"LLTS","LLTS"
"Dnm1l","GSM6285062_Sample1",5.09042722409875,"Control","Control"
"Dnm1l","GSM6285063_Sample2",4.9660455530325,"Group_A","Sham"
"Dnm1l","GSM6285064_Sample3",5.11619504220097,"Group_B","Sepsis"
"Dnm1l","GSM6285065_Sample4",5.01695388620978,"LLTS","LLTS"
"Opa1","GSM6285062_Sample1",4.35981209190265,"Control","Control"
"Opa1","GSM6285063_Sample2",4.37785374324785,"Group_A","Sham"
"Opa1","GSM6285064_Sample3",4.15581330969299,"Group_B","Sepsis"
"Opa1","GSM6285065_Sample4",4.4621200340497,"LLTS","LLTS"
"Mff","GSM6285062_Sample1",5.94683232605259,"Control","Control"
"Mff","GSM6285063_Sample2",5.82070276435839,"Group_A","Sham"
"Mff","GSM6285064_Sample3",5.63634595397873,"Group_B","Sepsis"
"Mff","GSM6285065_Sample4",6.08842545446509,"LLTS","LLTS"
"Pink1","GSM6285062_Sample1",5.97452563746893,"Control","Control"
"Pink1","GSM6285063_Sample2",5.71415732745782,"Group_A","Sham"
"Pink1","GSM6285064_Sample3",5.97517998622123,"Group_B","Sepsis"
"Pink1","GSM6285065_Sample4",4.71057277785116,"LLTS","LLTS"
"Prkn","GSM6285062_Sample1",1.1345506301069,"Control","Control"
"Prkn","GSM6285063_Sample2",1.5185728649027,"Group_A","Sham"
"Prkn","GSM6285064_Sample3",0.754225797168902,"Group_B","Sepsis"
"Prkn","GSM6285065_Sample4",0.37100658675367,"LLTS","LLTS"
"Bnip3","GSM6285062_Sample1",4.30556402873838,"Control","Control"
"Bnip3","GSM6285063_Sample2",4.35855167860035,"Group_A","Sham"
"Bnip3","GSM6285064_Sample3",6.06596831998145,"Group_B","Sepsis"
"Bnip3","GSM6285065_Sample4",4.48827461951896,"LLTS","LLTS"
