"pair","axis","delta","label"
"Il1b→Il1r1","Monocytes→Fibroblasts",8.11155786091554,"Il1b→Il1r1 | Monocytes→Fibroblasts"
"Ccl4→Ccr5","Macrophages→Monocytes",6.08275698684308,"Ccl4→Ccr5 | Macrophages→Monocytes"
"Ccl3→Ccr1","Macrophages→Macrophages",4.80244733258694,"Ccl3→Ccr1 | Macrophages→Macrophages"
"Ccl3→Ccr1","Macrophages→Monocytes",3.41008058907196,"Ccl3→Ccr1 | Macrophages→Monocytes"
"Il1b→Il1r1","Monocytes→Pericytes",2.87377849934995,"Il1b→Il1r1 | Monocytes→Pericytes"
"Icam1→Itgb2","Endothelial→Monocytes",2.55410622895956,"Icam1→Itgb2 | Endothelial→Monocytes"
"Spp1→Cd44","Monocytes→Monocytes",2.04891536413281,"Spp1→Cd44 | Monocytes→Monocytes"
"Icam1→Itgb2","Pericytes→Monocytes",1.92339577353405,"Icam1→Itgb2 | Pericytes→Monocytes"
"Vegfa→Flt1","Fibroblasts→Endothelial",1.72136365961465,"Vegfa→Flt1 | Fibroblasts→Endothelial"
"Tgfb1→Tgfbr2","Monocytes→Fibroblasts",1.56295549642143,"Tgfb1→Tgfbr2 | Monocytes→Fibroblasts"
"Ccl4→Ccr5","Monocytes→Monocytes",1.54362830154514,"Ccl4→Ccr5 | Monocytes→Monocytes"
"Il1b→Il1r1","Monocytes→Endothelial",1.46383731862883,"Il1b→Il1r1 | Monocytes→Endothelial"
"Tnf→Tnfrsf1a","Macrophages→Fibroblasts",1.45179146972852,"Tnf→Tnfrsf1a | Macrophages→Fibroblasts"
"Spp1→Cd44","Monocytes→Macrophages",1.34802544784935,"Spp1→Cd44 | Monocytes→Macrophages"
"Ccl3→Ccr1","Monocytes→Macrophages",1.34217860597665,"Ccl3→Ccr1 | Monocytes→Macrophages"
"Icam1→Itgb2","Endothelial→Macrophages",1.18866673684835,"Icam1→Itgb2 | Endothelial→Macrophages"
"Tgfb1→Tgfbr2","Endothelial→Fibroblasts",1.16371774934591,"Tgfb1→Tgfbr2 | Endothelial→Fibroblasts"
"Spp1→Cd44","Macrophages→Monocytes",1.13146098051379,"Spp1→Cd44 | Macrophages→Monocytes"
"Tgfb1→Tgfbr2","Pericytes→Fibroblasts",1.08443276704027,"Tgfb1→Tgfbr2 | Pericytes→Fibroblasts"
"Ccl3→Ccr1","Monocytes→Monocytes",1.05256494155376,"Ccl3→Ccr1 | Monocytes→Monocytes"
"Icam1→Itgal","Endothelial→Monocytes",0.99252320272041,"Icam1→Itgal | Endothelial→Monocytes"
"Icam1→Itgb2","Pericytes→Macrophages",0.937185587106831,"Icam1→Itgb2 | Pericytes→Macrophages"
"Ccl4→Ccr5","Macrophages→Granulocytes",0.920711309283231,"Ccl4→Ccr5 | Macrophages→Granulocytes"
"Il1b→Il1r1","Monocytes→Granulocytes",0.891030384816317,"Il1b→Il1r1 | Monocytes→Granulocytes"
"Il1b→Il1r1","Macrophages→Fibroblasts",0.802501738380448,"Il1b→Il1r1 | Macrophages→Fibroblasts"
