"pair","axis","delta","label"
"Cxcl2→Cxcr2","Macrophages→Cardiomyocytes",0.428669572560992,"Cxcl2→Cxcr2 | Macrophages→Cardiomyocytes"
"Cxcl2→Cxcr2","Monocytes→Cardiomyocytes",0.164921061282135,"Cxcl2→Cxcr2 | Monocytes→Cardiomyocytes"
"Il1b→Il1r1","Monocytes→Cardiomyocytes",0.101619514354534,"Il1b→Il1r1 | Monocytes→Cardiomyocytes"
"Tnf→Tnfrsf1a","Macrophages→Cardiomyocytes",0.0971618949425935,"Tnf→Tnfrsf1a | Macrophages→Cardiomyocytes"
"Ccl4→Ccr5","Macrophages→Cardiomyocytes",0.0706937567117936,"Ccl4→Ccr5 | Macrophages→Cardiomyocytes"
"Tnf→Tnfrsf1a","Monocytes→Cardiomyocytes",0.043298054691702,"Tnf→Tnfrsf1a | Monocytes→Cardiomyocytes"
"Spp1→Cd44","Monocytes→Cardiomyocytes",0.0233657881891006,"Spp1→Cd44 | Monocytes→Cardiomyocytes"
"Tnf→Tnfrsf1b","Macrophages→Cardiomyocytes",0.021271084497412,"Tnf→Tnfrsf1b | Macrophages→Cardiomyocytes"
"Ccl4→Ccr5","Monocytes→Cardiomyocytes",0.017487626527081,"Ccl4→Ccr5 | Monocytes→Cardiomyocytes"
"Spp1→Cd44","Macrophages→Cardiomyocytes",0.0124081390941493,"Spp1→Cd44 | Macrophages→Cardiomyocytes"
"Icam1→Itgb2","Monocytes→Cardiomyocytes",0.010758463847705,"Icam1→Itgb2 | Monocytes→Cardiomyocytes"
"Il1b→Il1r1","Macrophages→Cardiomyocytes",0.00956625881303892,"Il1b→Il1r1 | Macrophages→Cardiomyocytes"
"Nampt→Insr","Macrophages→Cardiomyocytes",0.0093524755641821,"Nampt→Insr | Macrophages→Cardiomyocytes"
"Nampt→Insr","Monocytes→Cardiomyocytes",0.00750895977342596,"Nampt→Insr | Monocytes→Cardiomyocytes"
"Tnf→Tnfrsf1b","Monocytes→Cardiomyocytes",0.00659840676650679,"Tnf→Tnfrsf1b | Monocytes→Cardiomyocytes"
