"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097193","intrinsic apoptotic signaling pathway","27/268","341/25615",0.0791788856304985,7.56778789337769,12.5545784528115,3.86285592872499e-16,2.48149864861293e-12,2.48149864861293e-12,"S100a8/Hif1a/Ripk3/Ifi27l2a/Cd44/Mybbp1a/Plaur/Sod2/Dnaja1/Hyou1/S100a9/Cycs/Plscr1/Cebpb/Fnip2/Pycard/Hsph1/Ddit4/Hspa1a/Mdm2/Ybx3/Hspb1/Ptgs2/Hmox1/Ikbke/Mif/Bcl3",27
"GO:0042254","ribosome biogenesis","25/268","330/25615",0.0757575757575758,7.24078471279964,11.7329578152576,1.38800310259634e-14,4.45826596553944e-11,4.45826596553944e-11,"Chd7/Tma16/Zfp593/Bysl/Fbl/Riok3/Rrp15/Mybbp1a/Mphosph10/Rrs1/Wdr74/Grwd1/Mrto4/Mak16/Ipo4/Krr1/Nop16/Nhp2/Ddx28/Pno1/Ppan/Wdr43/Tsr1/Ftsj3/Utp4",25
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","18/268","197/25615",0.0913705583756345,8.73304795817865,11.2035574670045,3.35460630675131e-12,7.1833303048568e-09,7.1833303048568e-09,"S100a8/Hif1a/Ripk3/Cd44/Plaur/Sod2/Dnaja1/Hyou1/S100a9/Plscr1/Pycard/Hsph1/Hspa1a/Mdm2/Ybx3/Hspb1/Ptgs2/Mif",18
"GO:0062197","cellular response to chemical stress","22/268","360/25615",0.0611111111111111,5.84089966832504,9.51144416410049,3.93286753482641e-11,6.31618526093121e-08,6.31618526093121e-08,"Srxn1/Hif1a/Ripk3/Gpx3/Slc2a1/Gsr/Sod2/Dnaja1/Pycard/Hsph1/Mdm2/Slc7a11/Ybx3/Edn1/Chchd4/Glrx/Hspb1/Ptgs2/Nlrp3/Lcn2/Hspa8/Txn1",22
"GO:2001233","regulation of apoptotic signaling pathway","24/268","444/25615",0.0540540540540541,5.16639774102461,9.10635956621391,6.30975028815451e-11,7.27388714657779e-08,7.27388714657779e-08,"S100a8/Hif1a/Ripk3/Cd44/Il1b/Plaur/Osm/Sod2/Serpine1/Hspa1b/Dnaja1/Hyou1/S100a9/Plscr1/Pycard/Hsph1/Hspa1a/Mdm2/Ybx3/Hspb1/Eef1e1/Ptgs2/Hmox1/Mif",24
"GO:0002833","positive regulation of response to biotic stimulus","25/268","485/25615",0.0515463917525773,4.92671949530697,8.97733270762316,6.79379247812372e-11,7.27388714657779e-08,7.27388714657779e-08,"S100a8/Riok3/Znrf1/Cd274/Fpr2/Pvr/Msr1/Hspa1b/Adam8/Tnip3/S100a9/Hsp90aa1/Oas1g/Plscr1/Pycard/Hspd1/Hspa1a/Clec4e/Nlrp3/Irak3/Ikbke/Hspa8/Mif/Polr3d/Zbp1",25
"GO:0045089","positive regulation of innate immune response","24/268","454/25615",0.052863436123348,5.05260043395358,8.95860898353819,9.95509638207519e-11,9.135934165493e-08,9.135934165493e-08,"S100a8/Riok3/Znrf1/Cd274/Fpr2/Pvr/Msr1/Hspa1b/Adam8/Tnip3/S100a9/Hsp90aa1/Oas1g/Plscr1/Pycard/Hspd1/Hspa1a/Clec4e/Nlrp3/Irak3/Ikbke/Hspa8/Polr3d/Zbp1",24
"GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","13/268","111/25615",0.117117117117117,11.19386177222,11.0672290175884,1.62413386066749e-10,1.304179490116e-07,1.304179490116e-07,"Hif1a/Cd44/Plaur/Sod2/Dnaja1/Hyou1/Hsph1/Hspa1a/Mdm2/Ybx3/Hspb1/Ptgs2/Mif",13
"GO:0071347","cellular response to interleukin-1","12/268","91/25615",0.131868131868132,12.6037395440381,11.402159647814,2.03900947311097e-10,1.45539965058499e-07,1.45539965058499e-07,"Hif1a/Saa3/Il1b/Serpine1/Cebpb/Pycard/Edn1/Il1rn/Nlrp3/Irak3/Lcn2/Zbp1",12
"GO:0006364","rRNA processing","17/268","224/25615",0.0758928571428571,7.25371468550107,9.66640499901077,2.55248816215218e-10,1.63971839536656e-07,1.63971839536656e-07,"Chd7/Bysl/Fbl/Riok3/Rrp15/Mphosph10/Rrs1/Wdr74/Mrto4/Mak16/Krr1/Nhp2/Ppan/Wdr43/Tsr1/Ftsj3/Utp4",17
"GO:0032496","response to lipopolysaccharide","23/268","443/25615",0.0519187358916479,4.96230753680806,8.65035636540915,3.53531878651230e-10,2.06462617132318e-07,2.06462617132318e-07,"S100a8/Adm/Noct/Il1b/Cd274/Sod2/Serpine1/Tnip3/Cxcl13/Plscr1/Cebpb/Pycard/Trib1/Edn1/Wfdc21/Acp5/Ptgs2/Nlrp3/Irak3/Lcn2/Plaa/Mif/Fcgr4",23
"GO:0016072","rRNA metabolic process","18/268","265/25615",0.0679245283018868,6.49211489721205,9.24094502485278,4.57051962337067e-10,2.44675150504443e-07,2.44675150504443e-07,"Chd7/Bysl/Fbl/Riok3/Rrp15/Mphosph10/Rrs1/Wdr74/Mrto4/Mak16/Krr1/Nhp2/Ppan/Wdr43/Polr1a/Tsr1/Ftsj3/Utp4",18
