"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","41/547","330/25615",0.124242424242424,5.81804332169963,13.0127388577107,1.01539159904157e-19,6.52287563224308e-16,6.52287563224308e-16,"Tsr1/Npm3/Pno1/Utp4/Ltv1/Tma16/Chd7/Rbis/Rps19bp1/Ftsj3/Nop16/Rrp9/Gar1/Rbm34/Nip7/Ddx3x/Bysl/Krr1/Bop1/Exosc1/Rnasel/Zfp593/Cinp/Dimt1/Riok3/Mrto4/Mak16/Heatr1/Ddx28/Rrs1/Nob1/Grwd1/Wdr43/Abt1/Mphosph10/Pdcd2l/Nhp2/Rrp15/Wdr74/Ebna1bp2/Ppan",41
"GO:0050727","regulation of inflammatory response","45/547","434/25615",0.1036866359447,4.85545371064626,11.9662037748338,2.11082103869346e-18,6.77995717628338e-15,6.77995717628338e-15,"Stap1/Cd81/C3/Trem2/Acp5/Tnfaip3/Grn/Psma6/Apoe/Traf1/Cd44/Spn/Bst1/Pmp22/Zbp1/Ccl24/Usp18/Serpine1/Ctsc/Aoah/Il1b/Clec12a/Igf1/Ctla2a/Nlrp3/Ccl7/Lilra5/Adam8/Pf4/Ccl3/Pdcd4/S100a9/S100a8/Cd33/Ednrb/Osm/1700017B05Rik/Csf1r/Pycard/Abhd12/Fpr2/Fcgr1/Siglece/Cebpb/Ptgs2",45
"GO:0050900","leukocyte migration","42/547","412/25615",0.101941747572816,4.77374381001402,11.4068944960873,5.55944893098206e-17,1.19046333108763e-13,1.19046333108763e-13,"Stap1/Cxcl13/Cd81/C3/Trem2/Itga4/Cd300a/Spn/Bst1/P2ry12/Mif/Spp1/Ccl24/Serpine1/Itgb1/Mmp14/Il1b/Abl2/Dusp1/Gas6/Ccl7/Csf3r/Gpr35/Ecm1/Ccl2/Adam8/Ccl4/Pf4/Ccl3/S100a9/Ptpro/S100a8/Icam1/Jaml/Ednrb/Csf1r/Pycard/Cd74/Fpr2/Lyve1/Edn1/Itgam",42
"GO:0097529","myeloid leukocyte migration","32/547","243/25615",0.131687242798354,6.16667042829952,11.9538848445387,2.15007090621806e-16,3.4530138753862e-13,3.4530138753862e-13,"Stap1/Cxcl13/Cd81/Trem2/Cd300a/Bst1/P2ry12/Mif/Spp1/Ccl24/Serpine1/Mmp14/Il1b/Dusp1/Ccl7/Csf3r/Gpr35/Ccl2/Adam8/Ccl4/Pf4/Ccl3/S100a9/Ptpro/S100a8/Jaml/Ednrb/Csf1r/Cd74/Fpr2/Edn1/Itgam",32
"GO:0002833","positive regulation of response to biotic stimulus","44/547","485/25615",0.0907216494845361,4.24832733372284,10.6685877666686,7.48552658362601e-16,9.6174045546427e-13,9.6174045546427e-13,"Fcna/Mndal/Trem2/Tnfaip3/Grn/Oasl1/Tnip3/Hspd1/Oas1g/Cd300a/Irf1/Unc93b1/Zbp1/Mif/Msr1/Polr3d/Slc15a3/Nlrp3/Ddx3x/Riok3/Adam8/Hspa1b/Lamp1/Clec4e/Plscr1/Rsad2/S100a9/Irak3/S100a8/Ifi203/Znrf1/Oas1a/Sec14l1/Hspa8/Hspa1a/Ikbke/Pepd/Pycard/Cd74/Fpr2/Irf7/Pld4/Cd274/Ly86",44
"GO:0045089","positive regulation of innate immune response","41/547","454/25615",0.0903083700440529,4.22897422061867,10.2541833370532,8.8036017324122e-15,9.42572292150266e-12,9.42572292150266e-12,"Fcna/Mndal/Trem2/Tnfaip3/Oasl1/Tnip3/Hspd1/Oas1g/Cd300a/Irf1/Unc93b1/Zbp1/Msr1/Polr3d/Slc15a3/Nlrp3/Ddx3x/Riok3/Adam8/Hspa1b/Lamp1/Clec4e/Plscr1/Rsad2/S100a9/Irak3/S100a8/Ifi203/Znrf1/Oas1a/Sec14l1/Hspa8/Hspa1a/Ikbke/Pepd/Pycard/Cd74/Fpr2/Irf7/Pld4/Cd274",41
"GO:0016072","rRNA metabolic process","31/547","265/25615",0.116981132075472,5.47801041702597,10.8240945544181,1.77538541450471e-14,1.62929655753975e-11,1.62929655753975e-11,"Tsr1/Npm3/Utp4/Chd7/Polr1a/Ftsj3/Rrp9/Gar1/Rbm34/Bysl/Krr1/Bop1/Exosc1/Rnasel/Myc/Dimt1/Riok3/Mrto4/Mak16/Heatr1/Rrs1/Nob1/Slfn2/Wdr43/Abt1/Mphosph10/Nhp2/Rrp15/Wdr74/Ebna1bp2/Ppan",31
"GO:0030595","leukocyte chemotaxis","29/547","233/25615",0.124463519313305,5.82839679563126,10.9368061977579,2.49886035992991e-14,2.00658486902372e-11,2.00658486902372e-11,"Stap1/Cxcl13/C3/Bst1/Mif/Spp1/Ccl24/Serpine1/Il1b/Dusp1/Gas6/Ccl7/Csf3r/Gpr35/Ccl2/Adam8/Ccl4/Pf4/Ccl3/S100a9/Ptpro/S100a8/Jaml/Ednrb/Csf1r/Cd74/Fpr2/Edn1/Itgam",29
"GO:0050729","positive regulation of inflammatory response","25/547","172/25615",0.145348837209302,6.80641766931678,11.2865408993042,4.33251045999017e-14,2.78789748386021e-11,2.78789748386021e-11,"Stap1/Cd81/C3/Trem2/Grn/Traf1/Zbp1/Ccl24/Serpine1/Ctsc/Il1b/Nlrp3/Ccl7/Lilra5/Adam8/Ccl3/Pdcd4/S100a9/S100a8/Osm/Csf1r/Pycard/Fcgr1/Cebpb/Ptgs2",25
"GO:0006935","chemotaxis","41/547","476/25615",0.0861344537815126,4.03351742890941,9.86843976527654,4.33981551036771e-14,2.78789748386021e-11,2.78789748386021e-11,"Stap1/Cxcl13/C3/Trem2/Lsp1/Bst1/P2ry12/Mif/Spp1/Ccl24/Hspb1/Serpine1/Il1b/Ccn1/Dusp1/Saa3/Gas6/Ccl7/Csf3r/Gpr35/Ccl2/Adam8/Ccl4/Pf4/Nrp1/Ccl3/Mycbp2/S100a9/Fpr1/Ptpro/S100a8/Alkbh1/Jaml/Ednrb/Cysltr1/Sema4a/Csf1r/Cd74/Fpr2/Edn1/Itgam",41
"GO:0042330","taxis","41/547","478/25615",0.0857740585774059,4.01664078694744,9.83452406036393,4.99261171949866e-14,2.91568524418721e-11,2.91568524418722e-11,"Stap1/Cxcl13/C3/Trem2/Lsp1/Bst1/P2ry12/Mif/Spp1/Ccl24/Hspb1/Serpine1/Il1b/Ccn1/Dusp1/Saa3/Gas6/Ccl7/Csf3r/Gpr35/Ccl2/Adam8/Ccl4/Pf4/Nrp1/Ccl3/Mycbp2/S100a9/Fpr1/Ptpro/S100a8/Alkbh1/Jaml/Ednrb/Cysltr1/Sema4a/Csf1r/Cd74/Fpr2/Edn1/Itgam",41
"GO:0006364","rRNA processing","28/547","224/25615",0.125,5.85351919561243,10.7773845868763,6.30035072775275e-14,3.32734783653619e-11,3.32734783653619e-11,"Tsr1/Npm3/Utp4/Chd7/Ftsj3/Rrp9/Gar1/Rbm34/Bysl/Krr1/Bop1/Exosc1/Rnasel/Dimt1/Riok3/Mrto4/Mak16/Heatr1/Rrs1/Nob1/Wdr43/Abt1/Mphosph10/Nhp2/Rrp15/Wdr74/Ebna1bp2/Ppan",28
"GO:0002685","regulation of leukocyte migration","29/547","242/25615",0.119834710743802,5.61163823711605,10.6475460600424,6.73342494940386e-14,3.32734783653619e-11,3.32734783653619e-11,"Stap1/Cxcl13/Cd81/Trem2/Itga4/Cd300a/Spn/Bst1/P2ry12/Mif/Ccl24/Serpine1/Mmp14/Il1b/Abl2/Dusp1/Gas6/Ccl7/Ecm1/Ccl2/Adam8/Ccl3/Icam1/Csf1r/Pycard/Cd74/Fpr2/Lyve1/Edn1",29
"GO:2001233","regulation of apoptotic signaling pathway","39/547","444/25615",0.0878378378378378,4.11328375907901,9.77535367103577,9.89330519962177e-14,4.53961375731216e-11,4.53961375731216e-11,"Dab2/Trem2/Tnfaip3/Eef1e1/Plaur/Traf1/Hsph1/Cd44/Mdm2/Pmp22/Mif/Hspb1/Serinc3/Serpine1/Pea15a/Ctsc/Il1b/Sgms1/Igf1/Ddx3x/Myc/Sod2/Nrp1/Hspa1b/Ybx3/Plscr1/S100a9/Ctsh/Hyou1/S100a8/Icam1/Itprip/Osm/Hspa1a/Pycard/Cd74/Pink1/Bcl2l1/Ptgs2",39
