"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019882","antigen processing and presentation","16/219","139/25615",0.115107913669065,13.4634210439867,13.6822382197691,7.02964603598885e-14,4.51584461351924e-10,4.51584461351924e-10,"H2-Aa/Ighm/H2-D1/H2-Q4/H2-Q6/H2-K1/H2-Eb1/Psap/Trem2/Icam1/Unc93b1/Hfe/Cd74/H2-DMb1/H2-DMa/H2-Ab1",16
"GO:0048002","antigen processing and presentation of peptide antigen","13/219","87/25615",0.149425287356322,17.477300162704,14.2960278233184,5.34511929714445e-13,1.7168523182428e-09,1.7168523182428e-09,"H2-Aa/H2-D1/H2-Q4/H2-Q6/H2-K1/H2-Eb1/Trem2/Unc93b1/Hfe/Cd74/H2-DMb1/H2-DMa/H2-Ab1",13
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","8/219","25/25615",0.32,37.4283105022831,16.9220117355126,2.39722330475724e-11,5.13325416992017e-08,5.13325416992017e-08,"H2-Aa/H2-Eb1/Trem2/Unc93b1/Cd74/H2-DMb1/H2-DMa/H2-Ab1",8
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","8/219","27/25615",0.296296296296296,34.6558430576695,16.2480888661069,4.84887204871658e-11,7.78728851023883e-08,7.78728851023883e-08,"H2-Aa/H2-Eb1/Trem2/Unc93b1/Cd74/H2-DMb1/H2-DMa/H2-Ab1",8
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","7/219","20/25615",0.35,40.9372146118721,16.5917923498257,2.13958325652646e-10,2.37098778676906e-07,2.37098778676906e-07,"H2-Aa/H2-Eb1/Unc93b1/Cd74/H2-DMb1/H2-DMa/H2-Ab1",7
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","8/219","32/25615",0.25,29.2408675799087,14.8441518710568,2.2144966875178e-10,2.37098778676906e-07,2.37098778676906e-07,"H2-Aa/H2-K1/H2-Eb1/Unc93b1/Cd74/H2-DMb1/H2-DMa/H2-Ab1",8
"GO:0006898","receptor-mediated endocytosis","17/219","300/25615",0.0566666666666667,6.6279299847793,9.10538782081995,1.01659554408075e-09,9.32944253596392e-07,9.32944253596392e-07,"Dab2/Cd81/Cd300a/Lrp6/Rab11fip5/Trf/Cltc/Ralbp1/Ramp1/Lyve1/Itgb1/Mrc1/Itga4/Tgfbr2/Apoe/Hfe/Eps15",17
"GO:0019884","antigen processing and presentation of exogenous antigen","8/219","39/25615",0.205128205128205,23.9925067322328,13.3438273755346,1.23043681776671e-09,9.8804076466667e-07,9.8804076466667e-07,"H2-Aa/H2-K1/H2-Eb1/Unc93b1/Cd74/H2-DMb1/H2-DMa/H2-Ab1",8
"GO:0050867","positive regulation of cell activation","19/219","401/25615",0.0473815461346633,5.5419100650201,8.51271205141086,2.0295920234531e-09,1.44867768429586e-06,1.44867768429586e-06,"H2-Aa/Cd81/Ighm/Cd83/Ctsc/H2-Eb1/Igf1/Tgfbr2/Irf1/Trem2/Gas6/Csf1r/Mef2c/Cd74/Axl/H2-DMb1/H2-DMa/Lilra5/H2-Ab1",19
"GO:0002696","positive regulation of leukocyte activation","18/219","376/25615",0.0478723404255319,5.59931506849315,8.34313195957639,4.67161174702381e-09,3.0010433862881e-06,3.0010433862881e-06,"H2-Aa/Cd81/Ighm/Cd83/Ctsc/H2-Eb1/Igf1/Tgfbr2/Irf1/Trem2/Gas6/Csf1r/Mef2c/Cd74/Axl/H2-DMb1/H2-DMa/H2-Ab1",18
"GO:0007159","leukocyte cell-cell adhesion","19/219","438/25615",0.04337899543379,5.07375784491566,7.98561514023495,8.53756282482744e-09,4.98593668969923e-06,4.98593668969923e-06,"H2-Aa/Cd81/Cd300a/Cd83/Dusp22/Itgb1/Cfh/H2-Eb1/Itga4/Igf1/Tgfbr2/Irf1/Icam1/Hfe/Cd74/H2-DMb1/H2-DMa/Pf4/H2-Ab1",19
"GO:0072659","protein localization to plasma membrane","16/219","319/25615",0.0501567398119122,5.86650634832024,8.1220341330803,1.80437387871535e-08,8.87296749965729e-06,8.87296749965729e-06,"Dab2/Cd81/Lrp6/Jup/Scp2/Cltc/Tmem59/Aldh7a1/Ramp1/Itgb1/Pacs2/Trem2/Gas6/Ehd4/Macf1/Myo5a",16
"GO:0002399","MHC class II protein complex assembly","5/219","11/25615",0.454545454545455,53.1652137816521,16.0694689815409,1.93371022719804e-08,8.87296749965729e-06,8.87296749965729e-06,"H2-Aa/H2-Eb1/H2-DMb1/H2-DMa/H2-Ab1",5
"GO:0002503","peptide antigen assembly with MHC class II protein complex","5/219","11/25615",0.454545454545455,53.1652137816521,16.0694689815409,1.93371022719804e-08,8.87296749965729e-06,8.87296749965729e-06,"H2-Aa/H2-Eb1/H2-DMb1/H2-DMa/H2-Ab1",5
