"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","10/181","82/11188",0.121951219512195,7.53806764586983,7.61972196190431,7.48349632555438e-07,0.000261922371394403,0.000261922371394403,"69833/54123/66824/56489/216799/20303/66491/67065/16176/58203",10
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","10/181","97/11188",0.103092783505155,6.37238708207553,6.81442841855493,3.56864567908074e-06,0.000514263696744169,0.000514263696744169,"19225/56489/21929/20306/16176/16819/20296/12608/20202/20201",10
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","8/181","59/11188",0.135593220338983,8.38130911134001,7.28941960957613,4.40797454352145e-06,0.000514263696744169,0.000514263696744169,"16409/66824/12266/15481/16176/15510/15511/193740",8
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","14/181","217/11188",0.0645161290322581,3.98788094813759,5.69943324990341,1.11835598136758e-05,0.000978561483696629,0.000978561483696629,"54123/12048/66824/56489/216799/15481/18987/20656/16176/20296/20302/15510/15511/193740",14
"Human Diseases","Infectious disease: viral","mmu05162","Measles","10/181","142/11188",0.0704225352112676,4.35296864057272,5.15623577292909,0.000100721947530974,0.00705053632716815,0.00705053632716815,"54123/12048/56489/21929/15481/246730/23960/16176/15511/193740",10
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","11/181","180/11188",0.0611111111111111,3.77740945365255,4.81707684770881,0.000161917763632727,0.00944520287857572,0.00944520287857572,"12282/66212/18786/15481/66059/110379/67838/15505/20335/15511/193740",11
"Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids","7/181","79/11188",0.0886075949367089,5.4770263654801,5.12067646976142,0.000280647428927368,0.0140323714463684,0.0140323714463684,"66646/18655/18641/18648/14433/11674/18746",7
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","8/181","112/11188",0.0714285714285714,4.41515390686661,4.65789228727037,0.000456586632156014,0.0199756651568256,0.0199756651568256,"19225/66824/56489/216799/17474/16176/17246/56619",8
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","8/181","118/11188",0.0677966101694915,4.19065455567001,4.46795307432856,0.000647117752194246,0.023022661703493,0.023022661703493,"19225/21929/22029/17387/16176/13614/20296/12608",8
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","11/181","212/11188",0.0518867924528302,3.20723444178046,4.16060003886453,0.000657790334385516,0.023022661703493,0.023022661703493,"54123/22166/12048/66824/56489/21929/216799/246730/23960/16176/20296",11
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","6/181","67/11188",0.0895522388059701,5.53541683845963,4.77468046104895,0.000726956364199169,0.0231304297699736,0.0231304297699736,"18655/18641/18648/14433/11674/18746",6
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer","6/181","69/11188",0.0869565217391304,5.37496997357675,4.67442698229072,0.000850298963878867,0.0247078799257539,0.0247078799257539,"20525/17869/18641/80879/18648/18746",6
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","6/181","70/11188",0.0857142857142857,5.29818468823994,4.62575238166021,0.000917721254385144,0.0247078799257539,0.0247078799257539,"19225/14129/246256/16409/12266/16176",6
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","11/181","227/11188",0.0484581497797357,2.99530265047339,3.8945585956603,0.00115274443150243,0.0288186107875607,0.0288186107875607,"54123/56489/21929/17869/100038882/12505/246730/23996/23960/19179/17246",11
"Genetic Information Processing","Transcription","mmu03020","RNA polymerase","4/181","32/11188",0.125,7.72651933701657,4.88621704790929,0.00167233278696104,0.0390210983624242,0.0390210983624242,"69833/66491/67065/20019",4
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","9/181","174/11188",0.0517241379310345,3.1971804153172,3.7456692922178,0.00206690401083275,0.0434364864114662,0.0434364864114662,"54123/66824/56489/216799/246730/23960/16176/58185/20296",9
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","10/181","209/11188",0.0478468899521531,2.95751936345132,3.66318996215716,0.00210977219712836,0.0434364864114662,0.0434364864114662,"54123/12048/56489/12266/18987/246730/23960/231805/16176/20296",10
