"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","11/139","86/11188",0.127906976744186,10.295131336791,9.70525335445549,8.07991380177069e-09,2.82796983061974e-06,2.82796983061974e-06,"14960/14964/15015/110557/13030/14972/14969/16149/14999/14998/14961",11
"Human Diseases","Immune disease","mmu05330","Allograft rejection","9/139","58/11188",0.155172413793103,12.4897047878938,9.83961299133274,3.45523997556481e-08,3.45566329006089e-06,3.45566329006089e-06,"14960/14964/15015/110557/14972/14969/14999/14998/14961",9
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","9/139","58/11188",0.155172413793103,12.4897047878938,9.83961299133274,3.45523997556481e-08,3.45566329006089e-06,3.45566329006089e-06,"14960/14964/15015/110557/14972/14969/14999/14998/14961",9
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","18/139","305/11188",0.059016393442623,4.75018280457601,7.44784750073921,3.9493294743553e-08,3.45566329006089e-06,3.45566329006089e-06,"14960/14964/14133/276891/16783/15015/13058/110557/13030/14972/16412/17533/14969/16419/17105/14999/14998/14961",18
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","9/139","65/11188",0.138461538461538,11.1446596568899,9.19995967075796,9.63695138779419e-08,6.74586597145594e-06,6.74586597145594e-06,"14960/14964/15015/110557/14972/14969/14999/14998/14961",9
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","9/139","70/11188",0.128571428571429,10.3486125385406,8.80005888016601,1.86026197250366e-07,9.59336012403513e-06,9.59336012403513e-06,"14960/13058/16412/14969/16401/16451/14999/14998/14961",9
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","10/139","92/11188",0.108695652173913,8.74882702533625,8.37046121476407,1.91867202480703e-07,9.59336012403513e-06,9.59336012403513e-06,"14960/14964/15015/110557/14972/14969/15894/14999/14998/14961",10
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease","9/139","74/11188",0.121621621621622,9.78922807699786,8.50813026103556,3.03147248160883e-07,1.32626921070387e-05,1.32626921070387e-05,"14960/14964/15015/110557/14972/14969/14999/14998/14961",9
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","14/139","245/11188",0.0571428571428571,4.59938335046249,6.38918816282636,2.07012008323863e-06,7.05953862408742e-05,7.05953862408742e-05,"14960/14964/15015/110557/14972/18186/14969/21813/15894/13653/16451/14999/14998/14961",14
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","9/139","93/11188",0.0967741935483871,7.7892782548155,7.37401746253793,2.16120843460374e-06,7.05953862408742e-05,7.05953862408742e-05,"14960/12489/14969/16401/17311/12978/14999/14998/14961",9
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","12/139","179/11188",0.0670391061452514,5.39592460110124,6.64975350129206,2.2187121389989e-06,7.05953862408742e-05,7.05953862408742e-05,"14960/14964/15015/110557/14972/16412/14969/16401/15894/14999/14998/14961",12
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","14/139","254/11188",0.0551181102362205,4.436413074265,6.21348735159271,3.16211177396033e-06,9.22282600738429e-05,9.22282600738429e-05,"67300/16783/13036/14667/13032/13030/252972/19156/11881/15211/11886/15212/56464/17159",14
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","13/139","227/11188",0.0572687224669604,4.6095141507939,6.16225010469892,4.76980751207299e-06,0.000128417894555811,0.000128417894555811,"14960/14964/15015/110557/14972/14969/12495/15894/16451/14999/17060/14998/14961",13
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","14/139","268/11188",0.0522388059701493,4.20466015247503,5.95580939495407,5.89334188210848e-06,0.000147333547052712,0.000147333547052712,"13132/14964/69178/52055/67300/15015/110557/107568/14276/14972/234353/21813/98878/13858",14
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","12/139","209/11188",0.0574162679425837,4.62138996936422,5.92747563161005,1.09629600876995e-05,0.000255802402046322,0.000255802402046322,"14960/14964/24014/15015/110557/14972/14969/16149/16451/14999/14998/14961",12
"Human Diseases","Immune disease","mmu05310","Asthma","5/139","25/11188",0.2,16.0978417266187,8.47612089867832,1.19802129673154e-05,0.000262067158660024,0.000262067158660024,"14960/14969/14999/14998/14961",5
"Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production","6/139","43/11188",0.13953488372093,11.2310523674084,7.53906054992196,1.3787899502768e-05,0.000283868519174636,0.000283868519174636,"14960/14969/16401/14999/14998/14961",6
"Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism","6/139","56/11188",0.107142857142857,8.62384378211716,6.41481499581801,6.4327331476132e-05,0.00125080922314701,0.00125080922314701,"14667/19156/15211/11886/15212/81535",6
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","10/139","180/11188",0.0555555555555556,4.47162270183853,5.26644186113236,8.04031306639265e-05,0.00148111030170391,0.00148111030170391,"14960/16783/17533/14969/16985/16149/16451/14999/14998/14961",10
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","7/139","105/11188",0.0666666666666667,5.36594724220623,5.04135405091153,0.000324604117443476,0.00568057205526083,0.00568057205526083,"14960/14969/21813/16451/14999/14998/14961",7
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","7/139","109/11188",0.0642201834862385,5.1690317470794,4.90569905485271,0.000407838684868249,0.00679731141447082,0.00679731141447082,"14960/16412/14969/16451/14999/14998/14961",7
