"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Saa3",14.7731715128917,0,0,0.999,0.001,"macrophage_FindMarkers","Sepsis vs Control"
"S100a8",3.58917274519661,0,0,0.771,0.039,"macrophage_FindMarkers","Sepsis vs Control"
"Lcn2",11.0664064238299,0,0,0.725,0.002,"macrophage_FindMarkers","Sepsis vs Control"
"Mt2",3.71757742933143,0,0,0.866,0.206,"macrophage_FindMarkers","Sepsis vs Control"
"Mgl2",-6.25957511614505,0,0,0.055,0.637,"macrophage_FindMarkers","Sepsis vs Control"
"Fcgr4",3.43701221032266,0,0,0.642,0.066,"macrophage_FindMarkers","Sepsis vs Control"
"S100a9",2.49371491570916,0,0,0.626,0.05,"macrophage_FindMarkers","Sepsis vs Control"
"Clec4d",3.73757960932675,0,0,0.575,0.045,"macrophage_FindMarkers","Sepsis vs Control"
"Sod2",2.42588067053647,0,0,0.881,0.383,"macrophage_FindMarkers","Sepsis vs Control"
"Il1rn",4.06266912323799,0,0,0.513,0.03,"macrophage_FindMarkers","Sepsis vs Control"
"Selenop",-3.63245091474863,0,0,0.562,0.907,"macrophage_FindMarkers","Sepsis vs Control"
"Itm2b",-2.11509417271144,0,0,0.824,0.925,"macrophage_FindMarkers","Sepsis vs Control"
"Cst3",-2.36507823801633,0,0,0.903,0.963,"macrophage_FindMarkers","Sepsis vs Control"
"Apoe",-2.5026767832772,0,0,0.951,0.991,"macrophage_FindMarkers","Sepsis vs Control"
"Acp5",4.17587946366599,1.51322336434155e-313,2.99149126896682e-309,0.491,0.032,"macrophage_FindMarkers","Sepsis vs Control"
"Mrpl52",1.87137583432468,1.11624452656102e-308,2.20670380455847e-304,0.852,0.373,"macrophage_FindMarkers","Sepsis vs Control"
"Fpr1",8.16492712256551,9.25529128351609e-302,1.8296785338383e-297,0.402,0.001,"macrophage_FindMarkers","Sepsis vs Control"
"Lyz2",-1.61472489271801,3.18502242848325e-298,6.29647083886854e-294,0.891,0.972,"macrophage_FindMarkers","Sepsis vs Control"
"Pf4",-2.0296966002422,5.64602682816452e-286,1.11616304365984e-281,0.728,0.89,"macrophage_FindMarkers","Sepsis vs Control"
"Fpr2",6.86107867874982,2.50652433698682e-281,4.95514796178924e-277,0.38,0.003,"macrophage_FindMarkers","Sepsis vs Control"
"Pkm",1.90350857942208,3.13078942506666e-281,6.18925761441427e-277,0.835,0.353,"macrophage_FindMarkers","Sepsis vs Control"
"Irak3",2.84319202860103,3.24018127969394e-270,6.40551437182696e-266,0.485,0.045,"macrophage_FindMarkers","Sepsis vs Control"
"Pirb",1.79505193682834,3.53029965312348e-266,6.9790493842598e-262,0.768,0.249,"macrophage_FindMarkers","Sepsis vs Control"
"Fkbp5",3.90148028811557,5.0096230261624e-264,9.90352376042044e-260,0.421,0.022,"macrophage_FindMarkers","Sepsis vs Control"
"Trf",-2.88530152457873,3.75329104516667e-262,7.41988106718998e-258,0.422,0.745,"macrophage_FindMarkers","Sepsis vs Control"
"Manf",1.93140486344512,6.88583670010907e-258,1.36126105724456e-253,0.754,0.256,"macrophage_FindMarkers","Sepsis vs Control"
"Gm42418",1.44951669482243,7.78567267983253e-258,1.53914963207609e-253,1,1,"macrophage_FindMarkers","Sepsis vs Control"
"Bst1",2.85958960021997,2.6343100099642e-251,5.20776745869823e-247,0.512,0.071,"macrophage_FindMarkers","Sepsis vs Control"
"Ms4a6d",2.22777812999548,8.56231744846212e-250,1.69268453638648e-245,0.74,0.298,"macrophage_FindMarkers","Sepsis vs Control"
"Hpgd",-4.55277910455632,3.31973692050877e-247,6.56278791815379e-243,0.107,0.569,"macrophage_FindMarkers","Sepsis vs Control"
"Csf1r",-2.23749500949793,1.03256014490346e-246,2.04126815045965e-242,0.591,0.798,"macrophage_FindMarkers","Sepsis vs Control"
"Msr1",1.94867928247979,2.95138333075221e-246,5.83458970656405e-242,0.654,0.165,"macrophage_FindMarkers","Sepsis vs Control"
"Gsr",3.12338867796484,1.00327867836284e-245,1.98338161925551e-241,0.442,0.042,"macrophage_FindMarkers","Sepsis vs Control"
"Txn1",1.56400695494194,1.74911831640747e-245,3.45783199970593e-241,0.864,0.443,"macrophage_FindMarkers","Sepsis vs Control"
