"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Saa3",11.7526669286124,0,0,0.994,0.004
"Lcn2",5.42646365907752,0,0,0.659,0.036
"S100a8",1.71345169127938,0,0,0.697,0.175
"Cd74",-3.90522620209532,0,0,0.168,0.537
"Mgl2",-6.88710731138982,0,0,0.014,0.349
"Mt2",2.12782521133656,0,0,0.656,0.327
"H2-Eb1",-4.3142927351413,0,0,0.08,0.406
"H2-Ab1",-4.25157702264118,0,0,0.097,0.423
"H2-Aa",-4.33981283868503,0,0,0.074,0.386
"Pf4",-2.67805747476594,0,0,0.246,0.553
"Lyz2",-2.33450312948281,0,0,0.45,0.754
"Serpina3n",5.39381541102837,0,0,0.384,0.08
"Fkbp5",3.13041815788721,0,0,0.35,0.061
"Ly6a",2.18494068258394,0,0,0.638,0.352
"Hpgd",-4.12353796142023,0,0,0.04,0.318
"Ly6c1",2.1084300881438,0,0,0.576,0.3
"Prg4",4.39681386315756,0,0,0.333,0.064
"Fcrls",-4.0523598118858,0,0,0.057,0.322
"Xdh",1.73446480856098,0,0,0.524,0.26
"Ighm",-3.50769211297172,0,0,0.023,0.287
"Igf1",-2.4825029553385,0,0,0.105,0.368
"Hspa1b",1.98350399064551,0,0,0.682,0.427
"Irf7",1.96270172490552,0,0,0.453,0.199
"Trf",-2.63831488408211,0,0,0.207,0.46
"Mrc1",-2.58921552405859,0,0,0.15,0.402
"H2-DMa",-3.62932240545528,0,0,0.062,0.314
"Csf1r",-2.72277234769063,0,0,0.174,0.419
"Mef2c",-1.47382053973084,0,0,0.336,0.579
"C1qa",-1.70016989454102,0,0,0.376,0.617
"Hexa",-2.01162233705361,0,0,0.291,0.529
"Pld4",-2.85681477607072,0,0,0.085,0.319
"Apoe",-2.51954043187384,0,0,0.707,0.937
"Ly86",-2.60029944946228,0,0,0.106,0.335
"Cdkn1a",1.11206952002407,0,0,0.777,0.551
"H2-DMb1",-4.05999629518956,0,0,0.034,0.233
"Selenop",-1.61095869209569,0,0,0.608,0.793
"Ccl24",-5.28020656906296,0,0,0.01,0.182
"Gpr34",-6.50683947239735,0,0,0.003,0.174
"Cst3",-1.33633566342924,0,0,0.816,0.902
"Ifitm3",1.15395132540264,0,0,0.931,0.855
"Slc39a14",2.49195754419011,9.88131291682493e-324,2.01311988054474e-319,0.264,0.058
"Hspa1a",1.6420578740325,2.41538812938869e-319,4.92087023600357e-315,0.776,0.581
"Zbtb16",2.58735531379361,4.77185274119453e-304,9.72169558963562e-300,0.259,0.06
"Rgs10",-2.03276846455885,1.31846996477659e-297,2.68611885923934e-293,0.208,0.426
"Tgm2",2.16320957444416,1.80347493857841e-294,3.6742194923658e-290,0.39,0.168
"Ddit4",2.32012588470174,1.40261952630981e-290,2.85755676095098e-286,0.292,0.087
"Marcks",-1.08087688822206,1.80095560445656e-289,3.66908685295934e-285,0.567,0.718
"Lrg1",1.85281314069433,1.78286729054236e-280,3.63223553102195e-276,0.218,0.04
