"group","celltype","n"
"Control","B_cells",652
"Control","Cardiomyocytes",344
"Control","Endothelial",4515
"Control","Fibroblasts",3765
"Control","Fibroblasts_activated",137
"Control","Granulocytes",176
"Control","Macrophages",4336
"Control","Monocytes",217
"Control","Pericytes",828
"Control","Smooth_muscle",759
"Control","T_cells",204
"Sepsis","B_cells",116
"Sepsis","Cardiomyocytes",342
"Sepsis","Endothelial",2670
"Sepsis","Fibroblasts",2627
"Sepsis","Fibroblasts_activated",63
"Sepsis","Granulocytes",312
"Sepsis","Macrophages",1675
"Sepsis","Monocytes",174
"Sepsis","Pericytes",422
"Sepsis","Smooth_muscle",224
"Sepsis","T_cells",53
"Sham","B_cells",417
"Sham","Cardiomyocytes",336
"Sham","Endothelial",2199
"Sham","Fibroblasts",1933
"Sham","Fibroblasts_activated",48
"Sham","Granulocytes",251
"Sham","Macrophages",3422
"Sham","Monocytes",177
"Sham","Pericytes",298
"Sham","Smooth_muscle",220
"Sham","T_cells",154
