"sender","B_cells","Cardiomyocytes","Endothelial","Fibroblasts","Fibroblasts_activated","Granulocytes","Macrophages","Monocytes","Pericytes","Smooth_muscle","T_cells"
"B_cells",0,0,0,0,0,0,0,0,0,0,0
"Cardiomyocytes",0,-0.252459413981851,-1.49796436250348,-1.50335072595616,0,-3.32674010250144,-6.61288091572905,-12.0648782770014,-2.39549248427423,0,0
"Endothelial",0,-0.312692591864527,-2.02999397006769,-0.908489791448076,0,-8.47915317137313,-7.66911287916442,-10.6258372432023,-4.95916922884421,0,0
"Fibroblasts",0,-0.618368016929666,-3.5199343126766,-3.26801345019159,0,-9.66562367386757,-18.3518760042005,-30.2591870409207,-5.29984078113702,0,0
"Fibroblasts_activated",0,0,0,0,0,0,0,0,0,0,0
"Granulocytes",0,-0.721695740300514,-4.27278787987251,-5.4295324932876,0,-191.599296733247,-18.886822599424,-28.9070396772605,-6.63601320228991,0,0
"Macrophages",0,-6.47498262266162,-25.322475895345,-46.2183764284042,0,-90.3987076827646,-176.214049137575,-339.280045679918,-49.5582807606194,0,0
"Monocytes",0,-0.335700706116692,-1.20453695041862,6.94733175283942,0,-17.3149013267622,-14.6531133771102,-28.0828553962782,-1.29936809833335,0,0
"Pericytes",0,-0.246643459641329,-1.99105903859219,-0.117585893863275,0,-9.29970674489122,-5.98698357841584,-9.53224703235325,-4.00918076781243,0,0
"Smooth_muscle",0,0,0,0,0,0,0,0,0,0,0
"T_cells",0,0,0,0,0,0,0,0,0,0,0
