"sender","B_cells","Cardiomyocytes","Endothelial","Fibroblasts","Fibroblasts_activated","Granulocytes","Macrophages","Monocytes","Pericytes","Smooth_muscle","T_cells"
"B_cells",0,0,0,0,0,0,0,0,0,0,0
"Cardiomyocytes",0,0.0682267256971775,0.40567664579548,0.757495605185753,0,1.26691139937932,1.32549150230491,3.19955147740517,0.560989762104197,0,0
"Endothelial",0,0.333727781188079,2.387036961869,4.05756752092893,0,4.66476319683381,5.44663345237762,14.1264582567431,6.13160082818841,0,0
"Fibroblasts",0,0.510768670105235,9.54725558705894,3.99871610418851,0,4.98743028282643,6.28293382178357,15.3644968148599,5.74551137632758,0,0
"Fibroblasts_activated",0,0,0,0,0,0,0,0,0,0,0
"Granulocytes",0,0.383824759976966,2.99447111406483,3.99370762334961,0,7.36754815748358,6.87043716154722,13.6732912792993,3.20596407078714,0,0
"Macrophages",0,1.57702196075469,5.26756174560919,12.7683432243731,0,34.9572718095561,38.5509997900682,77.0722941422781,9.08078750677373,0,0
"Monocytes",0,0.779086556619572,4.99622773838325,17.0609541544307,0,13.352156924919,10.8161057365157,18.2774934408157,8.5128367995032,0,0
"Pericytes",0,0.349697771387422,3.11376209393241,3.94555739220997,0,4.67539349874826,5.47660984356064,13.1693164370374,5.15471848261581,0,0
"Smooth_muscle",0,0,0,0,0,0,0,0,0,0,0
"T_cells",0,0,0,0,0,0,0,0,0,0,0
