"sample","Macrophages","Neutrophils","Monocytes","Dendritic","T_NK","B_cells","Cycling","method"
"fpkm_WT_LPS_1",0.256812856345611,0.434074643052582,0.183481615275067,0.0172686037155575,0.023864266698146,0.0146904938944259,0.0698075210186107,"marker_fallback"
"fpkm_WT_LPS_2",0.226175993744429,0.409496238292361,0.209384640401079,0.0114701530899092,0.0679435908972264,0.0271072225448909,0.0484221610301052,"marker_fallback"
"fpkm_WT_LPS_3",0.242145725311791,0.379383116397377,0.173875083998229,0.0107529298343325,0.0734991534809392,0.0386851141616336,0.081658876815697,"marker_fallback"
"fpkm_WT_LPS_4",0.264383595008553,0.386866963683299,0.185945092990011,0.0249012051751705,0.0339050103794963,0.0150072993618329,0.0889908334016362,"marker_fallback"
"fpkm_WT_LPS_5",0.259595044791517,0.394062737715384,0.167526942922295,0.0249008372046449,0.0467737729749706,0.026303326449272,0.0808373379419163,"marker_fallback"
"fpkm_WT_PBS_1",0.426116882854231,0.169414430652226,0.12538616711435,0.02140729459374,0.00621164577194629,0.113205123119658,0.138258455893848,"marker_fallback"
"fpkm_WT_PBS_2",0.384746650384829,0.16676287270397,0.126673782163014,0.0143498741951273,0.050319126349842,0.121936058616512,0.135211635586706,"marker_fallback"
"fpkm_WT_PBS_3",0.33763521669463,0.320495290364501,0.159824661979538,0.0207748489989715,0.0621146411860638,0.0141796896838088,0.0849756510924869,"marker_fallback"
"fpkm_WT_PBS_4",0.343528294733667,0.210739414653075,0.14859126540979,0.0273186758925748,0.0843136174869503,0.0940229331100374,0.0914857987139054,"marker_fallback"
"fpkm_WT_PBS_5",0.238584064902113,0.278474534418365,0.148677491918022,0.0279547735504774,0.104235448560294,0.144266731719751,0.057806954930978,"marker_fallback"
