"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050727","regulation of inflammatory response","120/2182","434/25615",0.276497695852535,3.24587006382341,14.399424464623,4.16392264980449e-32,2.67490391023441e-28,2.67490391023441e-28,"Casp12/Tnfrsf1a/Aoc3/Il17ra/Il1r1/Ifi35/Pde5a/Ccl24/Traf1/Sbno2/Ptgs2/Sphk1/Nod2/Sting1/Ednrb/Map3k8/Lgals2/Tlr3/Pglyrp1/Enpp3/Metrnl/Slamf8/Apoe/Igf1/Cma1/Lilra5/Trem2/Jak2/Nmi/Cd44/Zbp1/Stat3/Ccr2/Aoah/Snca/Tnc/Irgm2/Il20rb/Il1b/Gbp5/Bst1/Tnfaip6/Il6/Ptges/Cd81/Socs3/Usp18/Mapk3/S100a8/Cd47/Ido1/Fcgr1/Clec12a/Alox5/Ppara/Pla2g2d/Csf1r/Ripk1/Agt/Mmp8/Foxf1/Ier3/Gm12250/Nr1d1/Il1rl2/Casp4/Trpv4/S100a9/Hamp/Ccl5/Gsdmd/Nek7/Acp5/Mvk/Zfp36/Dusp10/Trex1/Tlr2/Adora2b/Ifi207/Siglece/Ccl7/Tnfaip3/Gbp3/Cebpb/Fcer1g/Adora2a/Ptpn2/Acod1/Tnf/Clcf1/Ccl3/Ctla2a/Lbp/Igtp/Serpine1/Ada/Cd33/Gper1/Reg3a/Lgals9/Cx3cr1/Il33/Bcr/Nfkbia/Sirpa/Ccr7/Alox15/Nr1d2/Irgm1/Slc7a2/Fpr2/Sema7a/Wnt5a/Gbp2/Myd88/Tnip1/Nfkbiz/Nlrp10/Tslp",120
"GO:0009615","response to virus","120/2182","443/25615",0.270880361173815,3.17992687968252,14.1233283984657,3.44685242368518e-31,1.10712899848768e-27,1.10712899848768e-27,"Ifngr2/Parp9/Mlkl/Znfx1/Ddit4/Apobec3/Il17ra/Gbp7/Hif1a/Ivns1abp/Sting1/Isg20/Oas3/Tlr3/Cxcl9/Isg15/Batf3/Acta2/Nmi/Nlrc5/Zbp1/H2-Q9/Ccl19/Gpr146/Trim25/Ifitm6/Rsad2/Trim5/Ddx21/Irgm2/Il1b/Trim56/Gbp5/Ifit3b/Traf3ip2/Il6/Ifih1/Eif2ak2/Usp18/Fv1/2410002F23Rik/Ddx3x/Ifit3/Htra1/Ripk3/Adar/Ppara/Ifitm1/Fgl2/Hyal1/Ikbke/Dtx3l/Hspb1/Gm12250/Trim34b/Oas1a/Cd37/Ifi44/Trim21/Irf7/Ifitm2/Bst2/Stat2/Ifit2/Odc1/Lgals8/Il27/Cxcl10/Irak3/Trim12c/Prkra/Cd40/Ccl5/Tgtp2/Irf1/Tgtp1/Ifit1/Slfn8/Abcc9/Trex1/Ifi207/Il10rb/Tbk1/Trim30a/Slfn9/Itgb6/Lcn2/Oas1g/Acod1/Tnf/Zc3h12a/Samhd1/Stmn1/Oasl1/Igtp/Ddx60/Clu/Pml/Bcl3/Lgals9/Akap1/Ifitm3/Trim34a/Il33/Rtp4/Gbp4/Spon2/Dhx58/Oasl2/Stat1/Irgm1/Bcl2l1/Trim30d/Gbp2/Penk/Kcnj8/Plscr1/Myd88/Nfkbiz/Nmb",120
"GO:0050900","leukocyte migration","112/2182","412/25615",0.271844660194175,3.19124700773317,13.6825156578868,2.51766026123508e-29,5.39114983939139e-26,5.39114983939139e-26,"Podxl/Cxcl5/Gcnt1/Aoc3/Il17ra/Il1r1/Ccl24/Apod/Asb2/Mmp14/Nod2/Ednrb/Cxcl9/Nedd9/Cxcl2/Slamf8/Pde4b/Mmp2/Prcd/Vcam1/P2ry12/Ccl21a/Trem2/Itgb3/Chst4/Jam2/C3ar1/Thy1/Ccl22/Ccr2/Ccl19/Itgam/Ccl2/Ptn/Dapk2/Itga7/Il1b/Bst1/Tnfaip6/Mmp28/Thbs4/Trim55/Slamf9/Cd81/Mapk3/Cxcl14/Calca/S100a8/Cd47/Vegfd/Trem1/Ripk3/Alox5/Csf1r/Dock8/Selp/Dpp4/Sell/Trpv4/Gdf15/Ch25h/Gpr183/Mcoln2/Trpm4/Jaml/Csf1/Cxcl10/S1pr1/Ptpro/S100a9/Cxcl12/Stk10/Pawr/Gpr35/Itga3/Ccl5/B4galt1/Cxcl1/Ggt5/Slamf1/Il1a/Tlr2/Vegfc/Ccl7/Camk1d/Ccl11/Fcer1g/Ccl4/Tnf/Thbs1/Ccl3/Lbp/Icam1/Serpine1/Ada/Aif1/Msn/Lgals9/Cx3cr1/Il33/Sele/Bcr/Cyp7b1/Pgf/Sirpa/Ccr7/Cd34/Fpr2/Wnt5a/Cxcl3/Myd88/Syk",112
"GO:0006935","chemotaxis","120/2182","476/25615",0.252100840336134,2.95946976407428,13.1680107752197,4.57790368312079e-28,7.35211331509199e-25,7.35211331509199e-25,"F3/Nrp1/Sema3a/Cxcl5/Cxcr4/Fpr1/Saa3/Il17ra/Prkd1/Ccl24/Rtn4r/Bmp4/Nod2/Plekhg5/Ednrb/Sema6a/Ackr4/Sema6b/Lox/Cxcl9/Igfals/Nedd9/Cxcl2/Slamf8/Pde4b/Mmp2/Vcam1/P2ry12/Ccl21a/Trem2/Itgb3/Gab1/C3ar1/Ccl22/Ccr2/Ccl19/Itgam/Ccl2/Rtn4rl1/Ptn/Dapk2/Snai2/Il1b/Ccl17/Cmtm8/Fgf16/Bst1/Tnfaip6/Mmp28/Thbs4/S100a4/Slamf9/Mapk3/Cxcl14/Calca/S100a8/Efna5/Sema4c/Vegfd/Trem1/Ecscr/Alox5/Csf1r/Hspb1/Dpp4/Sell/Trpv4/Sema3f/Ch25h/Gpr183/Trpm4/Jaml/Sema3c/Csf1/Cxcl10/S1pr1/Ptpro/S100a9/Cxcl12/Hbegf/Epha2/Gpr35/Ccl5/Cxcl1/Sema5a/Slamf1/Vegfc/Efnb2/Fgf2/Ccl7/Camk1d/Ccl11/Cysltr1/Fcer1g/Ccl4/Ptpn2/Thbs1/Ccl3/Lbp/Serpine1/Angpt2/Aif1/Ccl6/Lsp1/Lgals9/Ephb1/Sema6c/Pdgfa/Cx3cr1/Cyp7b1/Pgf/Ccn1/Sema3b/Ccr7/Fpr2/Sema7a/Wnt5a/Cxcl3/Ntf3/Syk",120
"GO:0042330","taxis","120/2182","478/25615",0.251046025104602,2.94708704539615,13.1127784176395,6.89602120241807e-28,7.43081077152791e-25,7.43081077152791e-25,"F3/Nrp1/Sema3a/Cxcl5/Cxcr4/Fpr1/Saa3/Il17ra/Prkd1/Ccl24/Rtn4r/Bmp4/Nod2/Plekhg5/Ednrb/Sema6a/Ackr4/Sema6b/Lox/Cxcl9/Igfals/Nedd9/Cxcl2/Slamf8/Pde4b/Mmp2/Vcam1/P2ry12/Ccl21a/Trem2/Itgb3/Gab1/C3ar1/Ccl22/Ccr2/Ccl19/Itgam/Ccl2/Rtn4rl1/Ptn/Dapk2/Snai2/Il1b/Ccl17/Cmtm8/Fgf16/Bst1/Tnfaip6/Mmp28/Thbs4/S100a4/Slamf9/Mapk3/Cxcl14/Calca/S100a8/Efna5/Sema4c/Vegfd/Trem1/Ecscr/Alox5/Csf1r/Hspb1/Dpp4/Sell/Trpv4/Sema3f/Ch25h/Gpr183/Trpm4/Jaml/Sema3c/Csf1/Cxcl10/S1pr1/Ptpro/S100a9/Cxcl12/Hbegf/Epha2/Gpr35/Ccl5/Cxcl1/Sema5a/Slamf1/Vegfc/Efnb2/Fgf2/Ccl7/Camk1d/Ccl11/Cysltr1/Fcer1g/Ccl4/Ptpn2/Thbs1/Ccl3/Lbp/Serpine1/Angpt2/Aif1/Ccl6/Lsp1/Lgals9/Ephb1/Sema6c/Pdgfa/Cx3cr1/Cyp7b1/Pgf/Ccn1/Sema3b/Ccr7/Fpr2/Sema7a/Wnt5a/Cxcl3/Ntf3/Syk",120
"GO:0045765","regulation of angiogenesis","95/2182","323/25615",0.294117647058824,3.45271472475333,13.536576513895,6.94035875298373e-28,7.43081077152791e-25,7.43081077152791e-25,"Col4a2/F3/Glul/Tnfrsf1a/Nrp1/Cxcr4/Itga5/Klf4/Prkd1/Ccl24/Hif1a/Erap1/Sphk1/Tbxa2r/Sema6a/Adamts1/Spred1/Tlr3/Cemip2/Sfrp2/Bmper/Cma1/Itgb3/Gab1/C3ar1/Stat3/Ccr2/Btg1/Ccl2/Ptn/Xbp1/Il1b/Gtf2i/Ppp1r15a/Lif/Shc1/Thbs4/Cyp1b1/Ecscr/Alox5/Hyal1/Agt/Hspb1/Thbs2/Plxnd1/Stab1/Hmox1/Gata4/Crhr2/Tgfbr2/Ngp/Fbln5/Aqp1/Cxcl10/Rgcc/Creb3l1/Epha2/Cd40/Sec1/Ccl5/Tspan12/Sema5a/Smad1/Tek/Tspan18/Il1a/Ppp1r16b/Tnfrsf12a/Vegfc/Fgf2/Aplnr/Ccl11/Cysltr1/Camp/Clic3/Tnf/Thbs1/Zc3h12a/Serpine1/Angpt2/Sparc/Pml/Psg22/Abcc8/Lrg1/Rhoj/Stard13/Tgm2/Cx3cr1/Pgf/Cd34/Stat1/Vash1/Wnt5a/Reck",95
"GO:1901342","regulation of vasculature development","96/2182","330/25615",0.290909090909091,3.41504874593784,13.4742165092373,9.28290917668588e-28,8.51905836443287e-25,8.51905836443287e-25,"Col4a2/F3/Glul/Tnfrsf1a/Nrp1/Cxcr4/Itga5/Klf4/Prkd1/Ccl24/Hif1a/Erap1/Sphk1/Tbxa2r/Sema6a/Adamts1/Spred1/Tlr3/Cemip2/Sfrp2/Bmper/Cma1/Itgb3/Gab1/C3ar1/Stat3/Ccr2/Btg1/Ccl2/Ptn/Xbp1/Il1b/Gtf2i/Ppp1r15a/Lif/Shc1/Thbs4/Cyp1b1/Ecscr/Alox5/Hyal1/Agt/Hspb1/Thbs2/Plxnd1/Stab1/Hmox1/Gata4/Crhr2/Tgfbr2/Ngp/Fbln5/Aqp1/Cxcl10/Cxcl12/Rgcc/Creb3l1/Epha2/Cd40/Sec1/Ccl5/Tspan12/Sema5a/Smad1/Tek/Tspan18/Il1a/Ppp1r16b/Tnfrsf12a/Vegfc/Fgf2/Aplnr/Ccl11/Cysltr1/Camp/Clic3/Tnf/Thbs1/Zc3h12a/Serpine1/Angpt2/Sparc/Pml/Psg22/Abcc8/Lrg1/Rhoj/Stard13/Tgm2/Cx3cr1/Pgf/Cd34/Stat1/Vash1/Wnt5a/Reck",96
"GO:0035456","response to interferon-beta","44/2182","77/25615",0.571428571428571,6.70813146523504,15.3072796916872,2.18180386826675e-27,1.7519885062182e-24,1.7519885062182e-24,"Gm4841/Gbp7/Sting1/Ifi213/Xaf1/Hcn1/Gpr146/Ifitm6/Gbp6/Irgm2/Ifit3/Ifi47/Ifitm1/Ikbke/Gm12250/Oas1a/Ifi209/Ifitm2/Bst2/Ifi205/Tgtp2/Ifi204/Irf1/F830016B08Rik/Gm5431/Tgtp1/Ifit1/Trex1/Ifi206/Ifi207/Ifi211/Gbp3/Oas1g/Acod1/Camk2a/Ifi208/Igtp/Iigp1/Gm12185/Ifitm3/Stat1/Irgm1/Gbp2/Plscr1",44
"GO:0002237","response to molecule of bacterial origin","116/2182","459/25615",0.252723311546841,2.96677709682508,12.9745654588542,2.88500801498246e-27,2.05925460980526e-24,2.05925460980526e-24,"Tnfrsf1a/Gbp10/Trib1/Cxcl5/Vim/Sbno2/Mef2c/Mgst1/Ptgs2/Nod2/Tbxa2r/Ednrb/Cd274/Bmp6/Cd55/Tap2/Cxcl9/Cxcl2/Plscr2/Pde4b/Trem2/Jak2/Cyp1a1/Plscr4/Snca/Ccl2/Xbp1/Star/Trim5/Gbp6/Irgm2/Il1b/Gbp5/B2m/Ltf/Il6/Cd180/Eif2ak2/Cmpk2/Hpgd/Mapk3/S100a8/Ido1/Nfkbib/Akap12/Cd80/Fosl2/Mmp8/Tspo/Nr1d1/Sgms1/Casp4/Slpi/Gch1/Col6a1/Mapkapk3/Cxcl10/Irak3/H2-M3/Tnip2/Lilrb4a/Trim12c/Acp5/Zfp36/Arid5a/Slc7a5/Ptgfr/Ankrd1/Ripk2/Wfdc21/Dusp10/Litaf/Adam9/Il1a/Tlr2/Efnb2/Fmo1/Trim30a/Tnfaip3/Gbp3/Cebpb/Camp/Lcn2/Acod1/Tnf/Zc3h12a/Lbp/Igtp/Serpine1/Nfkb2/Abcc8/Lgals9/Cx3cr1/Irf8/Bcr/Nfkbia/Sirpa/Irak2/Spon2/Ccr7/Stat1/Irgm1/Trim30d/Fcgr4/Cd14/Wnt5a/Gbp2/Cxcl3/Penk/Kcnj8/Nos2/Plscr1/Myd88/Tnip1/Mrc1/Nfkbiz",116
"GO:0032496","response to lipopolysaccharide","113/2182","443/25615",0.255079006772009,2.99443114503438,12.9215370900655,5.81867957114856e-27,3.73791975650584e-24,3.73791975650584e-24,"Tnfrsf1a/Gbp10/Trib1/Cxcl5/Vim/Sbno2/Mef2c/Mgst1/Ptgs2/Nod2/Tbxa2r/Ednrb/Cd274/Bmp6/Cd55/Cxcl9/Cxcl2/Plscr2/Pde4b/Trem2/Jak2/Cyp1a1/Plscr4/Snca/Ccl2/Xbp1/Star/Trim5/Gbp6/Irgm2/Il1b/Gbp5/B2m/Ltf/Il6/Cd180/Eif2ak2/Cmpk2/Hpgd/Mapk3/S100a8/Ido1/Nfkbib/Akap12/Cd80/Fosl2/Mmp8/Tspo/Nr1d1/Sgms1/Casp4/Slpi/Gch1/Col6a1/Mapkapk3/Cxcl10/Irak3/Tnip2/Lilrb4a/Trim12c/Acp5/Zfp36/Arid5a/Slc7a5/Ptgfr/Ankrd1/Ripk2/Wfdc21/Dusp10/Litaf/Adam9/Il1a/Efnb2/Fmo1/Trim30a/Tnfaip3/Gbp3/Cebpb/Camp/Lcn2/Acod1/Tnf/Zc3h12a/Lbp/Igtp/Serpine1/Nfkb2/Abcc8/Lgals9/Cx3cr1/Irf8/Bcr/Nfkbia/Sirpa/Irak2/Spon2/Ccr7/Stat1/Irgm1/Trim30d/Fcgr4/Cd14/Wnt5a/Gbp2/Cxcl3/Penk/Kcnj8/Nos2/Plscr1/Myd88/Tnip1/Mrc1/Nfkbiz",113
