"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","102/984","443/25615",0.230248306997743,5.99370973958047,21.1914916099134,4.20362522567365e-50,2.70040884497275e-46,2.70040884497275e-46,"Ripk3/Parp9/Batf3/Rsad2/Il1b/Znfx1/Ifih1/Ddit4/Il17ra/Gbp7/2410002F23Rik/Trim34a/Hif1a/Fgl2/Irf7/Zbp1/Isg20/H2-Q9/Gpr146/Trim5/Odc1/Ddx3x/Traf3ip2/Il6/Ccl5/Gbp4/Ifit2/Dtx3l/Nmi/Gbp5/Ifit3/Oasl2/Tgtp2/Trim12c/Ifitm1/Mlkl/Ddx21/Trim56/Irf1/Ddx60/Oas1g/Ccl19/Il33/Lgals8/Myd88/Cxcl9/Irak3/Adar/Trim30a/Cd40/Eif2ak2/Trim21/Hspb1/Gm12250/Trim34b/Plscr1/Bcl2l1/Ifitm3/Pml/Isg15/Ifi207/Usp18/Trim25/Il27/Ifitm6/Ifit3b/Rtp4/Slfn8/Acod1/Tbk1/Irgm2/Cxcl10/Tlr3/Slfn9/Trim30d/Lcn2/Tnf/Zc3h12a/Samhd1/Bcl3/Bst2/Clu/Ifit1/Ikbke/Tgtp1/Oas3/Ifitm2/Ifi44/Apobec3/Oas1a/Dhx58/Irgm1/Stat2/Trex1/Igtp/Lgals9/Gbp2/Nlrc5/Oasl1/Nfkbiz/Sting1/Stat1",102
"GO:0051607","defense response to virus","83/984","349/25615",0.237822349570201,6.19087345959419,19.51552051814,5.63690263820752e-42,1.81057312739226e-38,1.81057312739226e-38,"Ripk3/Parp9/Rsad2/Il1b/Znfx1/Ifih1/Ddit4/Gbp7/Trim34a/Fgl2/Irf7/Zbp1/Isg20/H2-Q9/Gpr146/Trim5/Traf3ip2/Il6/Ccl5/Gbp4/Ifit2/Dtx3l/Gbp5/Ifit3/Oasl2/Trim12c/Ifitm1/Mlkl/Ddx21/Trim56/Irf1/Ddx60/Oas1g/Il33/Myd88/Cxcl9/Adar/Trim30a/Cd40/Eif2ak2/Trim21/Gm12250/Trim34b/Plscr1/Bcl2l1/Ifitm3/Pml/Isg15/Ifi207/Usp18/Trim25/Il27/Ifitm6/Ifit3b/Rtp4/Slfn8/Acod1/Tbk1/Irgm2/Cxcl10/Tlr3/Slfn9/Trim30d/Tnf/Zc3h12a/Samhd1/Bst2/Ifit1/Oas3/Ifitm2/Apobec3/Oas1a/Dhx58/Irgm1/Stat2/Trex1/Igtp/Gbp2/Nlrc5/Oasl1/Nfkbiz/Sting1/Stat1",83
"GO:0035456","response to interferon-beta","43/984","77/25615",0.558441558441558,14.5370736986591,23.7778150281626,1.30041423407365e-40,2.78462034656304e-37,2.78462034656304e-37,"Gbp7/Ifi213/Ifi209/Xaf1/Gpr146/Ifit3/Tgtp2/Gm4841/Ifitm1/Ifi204/Irf1/Oas1g/Ifi208/Gm12250/Plscr1/Ifitm3/Ifi47/Ifi207/Hcn1/Ifitm6/Ifi206/Ifi205/Gbp6/Acod1/Ifi211/Irgm2/Gm5431/F830016B08Rik/Bst2/Ifit1/Ikbke/Tgtp1/Gm12185/Ifitm2/Iigp1/Oas1a/Gbp3/Irgm1/Trex1/Igtp/Gbp2/Sting1/Stat1",43
"GO:0050727","regulation of inflammatory response","90/984","434/25615",0.207373271889401,5.39823817016972,18.470657325713,2.73796279594591e-40,4.39716825028912e-37,4.39716825028912e-37,"Sphk1/Siglece/Ctla2a/Tnfrsf1a/Il1b/Serpine1/Il17ra/Il1r1/Bcr/Sema7a/Traf1/Ednrb/Nod2/Pglyrp1/Lbp/Casp12/Jak2/Slamf8/Cd44/Zbp1/Ccr7/Aoah/Ier3/Hamp/Il6/Cd33/Ccl5/Zfp36/Map3k8/Bst1/S100a8/Tlr2/Slc7a2/Il20rb/Nmi/Gbp5/S100a9/Mmp8/Foxf1/Adora2b/Casp4/Fcgr1/Nek7/Tnc/Fcer1g/Il33/Myd88/Ifi35/Agt/Il1rl2/Fpr2/Gm12250/Cebpb/Sbno2/Stat3/Trpv4/Ifi207/Socs3/Usp18/Acod1/Ccl3/Irgm2/Tlr3/Alox15/Adora2a/Ccl7/Ptpn2/Tnf/Clcf1/Ptges/Ada/Tnfaip6/Ripk1/Reg3a/Ptgs2/Nfkbia/Tnfaip3/Gbp3/Irgm1/Trex1/Igtp/Lgals9/Gbp2/Gsdmd/Acp5/Tnip1/Nfkbiz/Sting1/Cd47/Ido1",90
"GO:0045089","positive regulation of innate immune response","90/984","454/25615",0.198237885462555,5.16043032126356,17.8771160797348,1.23878006511475e-38,1.59158462765944e-35,1.59158462765944e-35,"Parp9/Rsad2/Znfx1/Ifih1/Gbp7/Ripk2/Cd274/Nod2/Ifi213/Ifi209/Irf7/Msr1/Egfr/Marchf5/Lbp/Syk/Plscr2/Irak2/Tifa/Nod1/Zbp1/Tnip2/Ereg/Trim5/Ltf/Ddx3x/Slc15a3/Rnf125/S100a8/Tlr2/Lag3/Nmi/Gbp5/Trim12c/S100a9/Trim56/Cd14/Ifi204/Irf1/Ddx60/Pvr/Casp4/Nek7/Oas1g/Il18rap/Myd88/Ifi208/Irak3/Ifi35/Trim30a/Fpr2/Eif2ak2/Gm12250/Plscr1/Wdfy1/Ifi207/Trim25/Ifi206/Ifi205/Acod1/Ifi211/Tbk1/Irgm2/Tlr3/H2-M3/Trim30d/Tnf/Clec4e/Fosl1/Ikbke/Oas3/Masp1/Oas1a/Bid/Nfkbia/Dhx58/Cd300lf/Tnfaip3/Gbp3/Irgm1/Trex1/Igtp/Lgals9/Gbp2/Gsdmd/Nlrc5/Tnip1/Oasl1/Nfkbiz/Sting1",90
"GO:0002833","positive regulation of response to biotic stimulus","92/984","485/25615",0.189690721649485,4.93793479171905,17.5000131520785,7.50411233092922e-38,8.03440293564821e-35,8.03440293564821e-35,"Parp9/Rsad2/Znfx1/Ifih1/Gbp7/Ripk2/Cd274/Nod2/Ifi213/Ifi209/Irf7/Msr1/Egfr/Marchf5/Lbp/Syk/Plscr2/Irak2/Tifa/Nod1/Zbp1/Tnip2/Ereg/Trim5/Ltf/Ddx3x/Slc15a3/Gzmb/Rnf125/S100a8/Tlr2/Lag3/Nmi/Gbp5/Trim12c/S100a9/Trim56/Cd14/Ifi204/Irf1/Camp/Ddx60/Pvr/Casp4/Nek7/Oas1g/Il18rap/Myd88/Ifi208/Irak3/Ifi35/Trim30a/Fpr2/Eif2ak2/Gm12250/Plscr1/Wdfy1/Ifi207/Trim25/Ifi206/Ifi205/Acod1/Ifi211/Tbk1/Irgm2/Tlr3/H2-M3/Trim30d/Tnf/Clec4e/Fosl1/Ikbke/Oas3/Masp1/Oas1a/Bid/Nfkbia/Dhx58/Cd300lf/Tnfaip3/Gbp3/Irgm1/Trex1/Igtp/Lgals9/Gbp2/Gsdmd/Nlrc5/Tnip1/Oasl1/Nfkbiz/Sting1",92
"GO:0002237","response to molecule of bacterial origin","89/984","459/25615",0.193899782135076,5.04750296685973,17.4891199021735,2.05121499723804e-37,1.88242930603674e-34,1.88242930603674e-34,"Akap12/Cxcl5/Tnfrsf1a/Il1b/Serpine1/Bcr/Ripk2/Ednrb/Xbp1/Cd274/Mgst1/Nod2/Irf8/Arid5a/Il1a/Lilrb4a/Lbp/Ccl2/Plscr2/Pde4b/Irak2/Jak2/Trib1/Ccr7/B2m/Slpi/Tnip2/Tap2/Trim5/Ltf/Il6/Cxcl3/Zfp36/S100a8/Tlr2/Litaf/Gbp5/Trim12c/Gbp10/Gch1/Tspo/Cd14/Camp/Mmp8/Casp4/Adam9/Myd88/Cxcl9/Irak3/Fosl2/Trim30a/Eif2ak2/Sgms1/Cebpb/Plscr1/Fcgr4/Sbno2/Cmpk2/Wfdc21/Gbp6/Acod1/Slc7a5/Irgm2/Cxcl10/H2-M3/Trim30d/Lcn2/Cd80/Tnf/Zc3h12a/Nfkbib/Nos2/Ptgs2/Nfkbia/Star/Tnfaip3/Gbp3/Irgm1/Igtp/Nfkb2/Lgals9/Cxcl2/Gbp2/Acp5/Ankrd1/Tnip1/Nfkbiz/Ido1/Stat1",89
"GO:0071216","cellular response to biotic stimulus","77/984","347/25615",0.221902017291066,5.77644326515311,17.9051991796655,1.01039857994579e-36,8.11350059696473e-34,8.11350059696473e-34,"Cxcl5/Tnfrsf1a/Il1b/Serpine1/Bcr/Ripk2/Ednrb/Xbp1/Cd274/Nod2/Irf8/Arid5a/Il1a/Lilrb4a/Lbp/Ccl2/Syk/Plscr2/Pde4b/Irak2/Jak2/Trib1/B2m/Tnip2/Trim5/Ltf/Il6/Cxcl3/Zfp36/Tlr2/Litaf/Gbp5/Trim12c/Gbp10/Gch1/Tspo/Cd14/Camp/Mmp8/Adam9/Myd88/Cxcl9/Irak3/Trim30a/Sgms1/Cebpb/Plscr1/Fcgr4/Sbno2/Cmpk2/Gbp6/Acod1/Slc7a5/Irgm2/Cxcl10/Ppp1r15b/Trim30d/Lcn2/Cd80/Tnf/Zc3h12a/Txnip/Nfkbib/Nos2/Bid/Nfkbia/Star/Tnfaip3/Gbp3/Irgm1/Igtp/Cxcl2/Gbp2/Ankrd1/Tnip1/Nfkbiz/Stat1",77
"GO:0032496","response to lipopolysaccharide","86/984","443/25615",0.194130925507901,5.05351997650902,17.2016675082169,3.2667940740091e-36,2.33176501460383e-33,2.33176501460383e-33,"Akap12/Cxcl5/Tnfrsf1a/Il1b/Serpine1/Bcr/Ripk2/Ednrb/Xbp1/Cd274/Mgst1/Nod2/Irf8/Arid5a/Il1a/Lilrb4a/Lbp/Ccl2/Plscr2/Pde4b/Irak2/Jak2/Trib1/Ccr7/B2m/Slpi/Tnip2/Trim5/Ltf/Il6/Cxcl3/Zfp36/S100a8/Litaf/Gbp5/Trim12c/Gbp10/Gch1/Tspo/Cd14/Camp/Mmp8/Casp4/Adam9/Myd88/Cxcl9/Irak3/Fosl2/Trim30a/Eif2ak2/Sgms1/Cebpb/Plscr1/Fcgr4/Sbno2/Cmpk2/Wfdc21/Gbp6/Acod1/Slc7a5/Irgm2/Cxcl10/Trim30d/Lcn2/Cd80/Tnf/Zc3h12a/Nfkbib/Nos2/Ptgs2/Nfkbia/Star/Tnfaip3/Gbp3/Irgm1/Igtp/Nfkb2/Lgals9/Cxcl2/Gbp2/Acp5/Ankrd1/Tnip1/Nfkbiz/Ido1/Stat1",86
"GO:0071219","cellular response to molecule of bacterial origin","73/984","319/25615",0.22884012539185,5.95705265438234,17.8068941445659,8.38852038398568e-36,5.3887854946724e-33,5.3887854946724e-33,"Cxcl5/Tnfrsf1a/Il1b/Serpine1/Bcr/Ripk2/Ednrb/Xbp1/Cd274/Nod2/Irf8/Arid5a/Il1a/Lilrb4a/Lbp/Ccl2/Plscr2/Pde4b/Irak2/Jak2/Trib1/B2m/Tnip2/Trim5/Ltf/Il6/Cxcl3/Zfp36/Tlr2/Litaf/Gbp5/Trim12c/Gbp10/Gch1/Tspo/Cd14/Camp/Mmp8/Adam9/Myd88/Cxcl9/Irak3/Trim30a/Sgms1/Cebpb/Plscr1/Fcgr4/Sbno2/Cmpk2/Gbp6/Acod1/Slc7a5/Irgm2/Cxcl10/Trim30d/Lcn2/Cd80/Tnf/Zc3h12a/Nfkbib/Nos2/Nfkbia/Star/Tnfaip3/Gbp3/Irgm1/Igtp/Cxcl2/Gbp2/Ankrd1/Tnip1/Nfkbiz/Stat1",73
