"sample","group","sample_id","time","MAMs_score"
"fpkm_WT_LPS_1","LPS","fpkm_WT_LPS_1","Group_B",5.37823873291591
"fpkm_WT_LPS_2","LPS","fpkm_WT_LPS_2","Group_B",5.31989560755425
"fpkm_WT_LPS_3","LPS","fpkm_WT_LPS_3","Group_B",5.27493409143652
"fpkm_WT_LPS_4","LPS","fpkm_WT_LPS_4","Group_B",5.3276779562622
"fpkm_WT_LPS_5","LPS","fpkm_WT_LPS_5","Group_B",5.32632141358942
"fpkm_WT_PBS_1","PBS","fpkm_WT_PBS_1","Group_A",5.60630756693172
"fpkm_WT_PBS_2","PBS","fpkm_WT_PBS_2","Group_A",5.59443004922161
"fpkm_WT_PBS_3","PBS","fpkm_WT_PBS_3","Group_A",5.51251250864397
"fpkm_WT_PBS_4","PBS","fpkm_WT_PBS_4","Group_A",5.53811964317063
"fpkm_WT_PBS_5","PBS","fpkm_WT_PBS_5","Group_A",5.58418723020461
