"sample","group","celltype","score","proportion"
"fpkm_WT_LPS_1",NA,"Cardiomyocytes",3745.19666666667,0.87142316444563
"fpkm_WT_LPS_1",NA,"Endothelial",68.23,0.0158755888680858
"fpkm_WT_LPS_1",NA,"Fibroblasts",214.446666666667,0.049896923847742
"fpkm_WT_LPS_1",NA,"Fibroblasts_activated",15.8766666666667,0.00369414381643913
"fpkm_WT_LPS_1",NA,"Macrophages",5.85333333333333,0.00136193922772772
"fpkm_WT_LPS_1",NA,"Monocytes",4.365,0.00101563748218078
"fpkm_WT_LPS_1",NA,"Granulocytes",170.655,0.0397075863737825
"fpkm_WT_LPS_1",NA,"T_cells",0,0
"fpkm_WT_LPS_1",NA,"NK_cells",0.28,6.51497124881141e-05
"fpkm_WT_LPS_1",NA,"B_cells",0.12,2.79213053520489e-05
"fpkm_WT_LPS_1",NA,"Smooth_muscle",5.805,0.00135069314640536
"fpkm_WT_LPS_1",NA,"Pericytes",66.965,0.0155812517741663
"fpkm_WT_LPS_2",NA,"Cardiomyocytes",3836.43333333333,0.826751008539543
"fpkm_WT_LPS_2",NA,"Endothelial",53.35,0.011496919788063
"fpkm_WT_LPS_2",NA,"Fibroblasts",406.986666666667,0.0877055869068006
"fpkm_WT_LPS_2",NA,"Fibroblasts_activated",18.61,0.00401045318192789
"fpkm_WT_LPS_2",NA,"Macrophages",5.81333333333333,0.00125277276540968
"fpkm_WT_LPS_2",NA,"Monocytes",10.48,0.00225843897617433
"fpkm_WT_LPS_2",NA,"Granulocytes",226.16,0.0487374579056858
"fpkm_WT_LPS_2",NA,"T_cells",0.46,9.91299550610871e-05
"fpkm_WT_LPS_2",NA,"NK_cells",0.64,0.000137919937476295
"fpkm_WT_LPS_2",NA,"B_cells",0.295,6.35724711804797e-05
"fpkm_WT_LPS_2",NA,"Smooth_muscle",3.515,0.000757482156608089
"fpkm_WT_LPS_2",NA,"Pericytes",77.63,0.01672925741607
"fpkm_WT_LPS_3",NA,"Cardiomyocytes",3624.44333333333,0.854668009716808
"fpkm_WT_LPS_3",NA,"Endothelial",74.8133333333333,0.0176414850005325
"fpkm_WT_LPS_3",NA,"Fibroblasts",275.64,0.0649977578713258
"fpkm_WT_LPS_3",NA,"Fibroblasts_activated",20.18,0.00475857913888897
"fpkm_WT_LPS_3",NA,"Macrophages",6.01,0.00141719824701302
"fpkm_WT_LPS_3",NA,"Monocytes",5.005,0.00118021251685527
"fpkm_WT_LPS_3",NA,"Granulocytes",142.675,0.033643720448017
"fpkm_WT_LPS_3",NA,"T_cells",0.07,1.65064687672065e-05
"fpkm_WT_LPS_3",NA,"NK_cells",1.07,0.000252313165441585
"fpkm_WT_LPS_3",NA,"B_cells",0.415,9.78597791198672e-05
