gene,log2FC,AveExpr,t,pvalue,padj,B
MIR29C,-2.77566318768327,4.61002090530697,-15.1210839637502,2.71952108110161e-16,3.1829033759257997e-12,26.034181918717
HBA2,6.08821649780059,8.30753521852237,14.8566348020959,4.50389610290901e-16,3.1829033759257997e-12,25.5951930996487
MIR23B,-1.085823436217,3.23334737252862,-13.6062123717318,5.3770513961963705e-15,2.53330814779465e-11,23.409591844916
BMP5,-1.1643992404692,3.49798260145682,-13.3449555526614,9.215156470180111e-15,3.25617553873814e-11,22.9290337083238
MIR103A2,-1.20818541348973,3.1971536628512,-11.4695251848858,5.527753073461619e-13,1.5235413531976502e-09,19.2176190639713
HBB,5.36798657478007,9.60030289281998,11.4012157594862,6.46755916172767e-13,1.5235413531976502e-09,19.0733749708751
SCARNA15,-1.80733361143694,3.58486591050989,-10.7923597261784,2.68988627746382e-12,5.431264663667661e-09,17.7583141646584
JUNB,1.65844956158358,7.15571323621228,10.241462207505,1.01733252131628e-11,1.79737223203553e-08,16.5221982250439
CEBPD,1.24372294574781,4.46697539021852,9.16909870869592,1.51795835669246e-10,2.14548234134912e-07,13.9879710870831
FSD2,-2.23673880791788,4.82195510926119,-8.85505650694461,3.44646265527858e-10,4.42839119724613e-07,13.213835549314
P2RY14,-1.78227555571847,4.59903585848075,-8.80398411373523,3.94287988333062e-10,4.64405535591625e-07,13.0865861597918
SIK2,1.06435185190617,6.52128922996878,8.48963642380094,9.093128798316e-10,9.18016303109988e-07,12.2951470504001
PDP1,-1.07138290322579,7.27635844953174,-8.41613364761803,1.10753499080083e-09,1.0435933039986e-06,12.1080674572046
MIR133A1,-1.7459907617302,3.7868564880333,-8.39201737433433,1.18173964283286e-09,1.04391925698748e-06,12.046521664787
SNORA33,1.52161630058652,4.55719303850156,8.27091357509722,1.6384478656533202e-09,1.36222483136141e-06,11.73623585658
RPPH1,1.76675625513198,10.120570780437,8.07993336484563,2.7531615839408804e-09,2.16184365707891e-06,11.2428195133729
