gene,GSM2109150,GSM2109151,GSM2109152,GSM2109153,GSM2109154,GSM2109155,GSM2109156,GSM2109157,GSM2109158,GSM2109159,GSM2109160,GSM2109161,GSM2109162,GSM2109163,GSM2109164,GSM2109165,GSM2109166,GSM2109167,GSM2109168,GSM2109169,GSM2109170,GSM2109171,GSM2109172,GSM2109173,GSM2109174,GSM2109175,GSM2109176,GSM2109177,GSM2109178,GSM2109179,GSM2109180
A1BG,1.9646832614415777,2.0463932707236556,2.0092217462249296,2.0769592182081005,1.9748413120232535,2.0011609023074026,2.0243125862820044,2.0462221231992515,2.0740600913868295,2.139466220647788,2.0055005955947727,2.0922717218566707,1.9198968381205832,2.0328202476051342,2.0586351349351,2.130120361420222,2.075395714109184,2.041512848919454,2.0574849311078993,1.9724463640203442,2.041400702659955,2.0251067758996593,1.9995346558085285,2.105674725904024,1.9862725755285608,2.021074578816333,2.0652620953635443,2.096332703974985,1.986603888498783,2.048822074326812,1.9302188202090027
A1CF,1.7860651850734426,1.7672903710874386,1.7616044183780493,1.748830446986156,1.7067692322410164,1.7278986778699272,1.7604253581453233,1.706751553617117,1.7114508542205547,1.7498860492927337,1.7353012070804121,1.7861948604505506,1.8021022053517535,1.8071323176499425,1.8571410026270592,1.8162023731338592,1.7604423911446254,1.8324039718655638,1.7805872714634676,1.7521062993251935,1.7322344615051228,1.7623488156441294,1.8006038259316246,1.778170720929521,1.7831506909439887,1.6733528946598701,1.7310746008069928,1.7517850460210145,1.720173378914564,1.7094979806604602,1.7639808910937893
A2M,3.4790753130715064,3.474578813024906,3.53766880835138,3.475214615878225,3.5027252137003093,3.503412344657644,3.5266072171516183,3.4776773275653072,3.513250697546993,3.500304925838676,3.5044424278542143,3.3779663479610242,3.4589226509814828,3.5209376291974848,3.4497277536461644,3.492891462991958,3.510417642176926,3.4390565856945696,3.477612573192851,3.4892217872225446,3.572986653062538,3.514210650156917,3.5040228531078297,3.5310944526318533,3.5029033901907036,3.4625497140921335,3.5352940420962726,3.5669612423144885,3.533600723249575,3.4555297588264486,3.5032724000770927
A2ML1,1.713189903192986,1.719157149672016,1.7217401225568518,1.7103887836227845,1.6923914873744523,1.7266568626856873,1.6745646014052824,1.7530824703163745,1.7242879155247797,1.7277985008469094,1.801605677403632,1.7695094072111055,1.7777416228503948,1.727192935092075,1.8137668283149122,1.7435839021076647,1.7484698204489593,1.7067957497706874,1.669734329160339,1.699760381788583,1.7191308583831255,1.7008258648239412,1.7029101591143905,1.751056606916314,1.709330342379899,1.7531766273221232,1.6954192923712526,1.7451727805719457,1.6530921276066308,1.723235256715862,1.7965894483534657
A3GALT2,1.7519863731261882,1.8647150771421703,1.823174613067775,1.8263064501293578,1.8273272053026528,1.787816909071033,1.8214367504544977,1.7986395036401002,2.0416319947690855,1.8348285033167515,1.8178033273563814,1.8158868862152828,1.8378544579258993,1.7478385070165032,1.8381006182205712,1.7325557560602016,1.6922307782161483,1.770752945825475,1.738179832268101,1.7957503267760397,1.77145883253919,1.7199237682253468,1.785010617038066,1.7055887084599324,1.7862994288780918,1.726831217032493,1.7526158744830642,1.8643426654793713,1.8339789643980553,1.7813093494732364,1.80456163527082
A4GALT,2.2109498726992696,2.190428388120872,2.288600713811704,2.4492206338554903,2.310116136455373,2.267388974280059,2.1941185791984137,2.300120795236008,2.3573605709172636,2.3567776678042676,2.2355034400921636,2.3996961119225144,2.3483117482859095,2.402618499876165,2.502419717082987,2.4355005858557783,2.4638081435019448,2.348881089500827,2.4743114326311937,2.458069596407109,2.196701458220102,2.375681722190987,2.4197276430029513,2.527783497326449,2.6209218273778387,2.431898369177751,2.3802418193926123,2.5057105815778518,2.4633190300496555,2.5321523555216543,2.61596238392643
A4GNT,1.7825763104122303,1.76958980435666,1.7282601284241157,1.7332458632243337,1.7615576148600354,1.7184251964850554,1.7080106137279665,1.6910159522787183,1.8353056438494395,1.7622467495990644,1.8369017042824474,1.723628455678023,1.8180406578171944,1.734794147487178,1.7590535416038107,1.7819765305084934,1.7629568095198505,1.7364793239963001,1.7668198696868331,1.7979924324176895,1.721845094819655,1.681323319174922,1.6748131467558618,1.7326208746137106,1.688019179617966,1.708818483946988,1.734451673096182,1.6849309178760419,1.690846152481227,1.7052790479496098,1.7393685644796142
AAAS,2.786753168047245,2.835443095739872,2.8891678379156174,2.820903957903463,2.807406445960429,2.8183822632943283,2.7916307278681454,2.8817253012819513,2.6731221933693274,2.69263028597405,2.7722889697755995,2.800123352826528,2.787745878119076,2.826115232400815,2.762019201381173,2.6786443611177644,2.8087763067447735,2.7128818700886828,2.7654838268158897,2.750653664972503,2.8123544620813794,2.8075568852262367,2.5425502742719157,2.7669491668925414,2.710331471276332,2.845947626330095,2.8242953618779945,2.7903800385595576,2.76661212204152,2.7052370174719096,2.7088074505158835
AACS,2.1707615219985104,2.1043031083771386,2.2192304872404796,2.1739716908192266,2.16198439612111,2.307513044244109,2.219270764219149,2.3006362662693434,2.010905129408023,2.0853498680491507,2.131681666369692,2.3165396775126035,2.055726673781954,2.2713748760774046,2.0383659416287863,2.050996151500013,2.1577875090914893,1.9655700573977901,2.1292038726461744,2.1493861974054136,2.18886613298415,2.1321260328577343,2.1628416411741243,2.1941438003680616,2.144160605651383,2.149938924235495,2.0925728023925316,2.235273657673368,2.191954222304804,2.167149152219757,2.217798374833843
AADAC,1.8654200189388066,1.8801408613990638,1.86630269055168,1.8365099238613976,1.7471639418651415,1.8062456815491306,1.7486286789607668,1.768573932182806,1.882850391308247,1.8753121923609197,1.7856007679515695,1.8962214650248956,1.9799155854175174,1.9378528243000122,2.1115221459461275,1.7533435269130915,1.8847034087139294,1.864338703136341,1.8369986232280555,1.8540714714791657,1.835742210476053,1.8349053416893506,1.9661166433132613,1.8242098081209928,1.7497702282298873,1.7745994311689757,1.8081749641338332,1.8684497203769093,1.7890197257891622,1.7741228717575321,1.8800938304147192
AADACL2,1.844743168875141,1.803041003590604,1.7770303852008065,1.7744181041058127,1.7049958715927633,1.7211188803344926,1.7817289961889626,1.7201383484405701,1.8279165556331574,1.7676802199524138,1.7716194052436471,1.7680572561316878,1.817680554900065,1.7928470250943533,1.819770353748323,1.7205236368803016,1.7431659388293264,1.7323343309901806,1.6937300346195197,1.7918932349271053,1.7728737923711388,1.7580472818332336,1.7596927488714704,1.7146631517757496,1.7464159659563134,1.694162566002807,1.7596799675011834,1.7001422703485292,1.7260159293913437,1.7162314968818304,1.6880549987228195
