gene,log2FC,AveExpr,t,pvalue,padj,B,category
VDAC3,-0.664378838709666,9.21661720083247,-5.34401904915648,6.9165294374178e-06,0.0003394382884321,3.74830605908703,anchor_contact
CALM1,-0.353254346041041,9.05705760665973,-5.04931778737639,1.64298424046447e-05,0.0005985035890393,2.91952390579776,calcium
MICU1,-0.411401152492661,4.96181127991675,-4.89250395148918,2.60086364092372e-05,0.0007939655874906,2.48006374908683,calcium
DGAT2,-0.35077366422287,2.87725792924037,-4.61662149064056,5.81578740497082e-05,0.0013792003218432,1.71139354663998,lipid_metabolism
CPT1B,-0.401453585043979,6.80516328824142,-3.86103345225898,0.000505292821211,0.0062743779314107,-0.341194535698042,lipid_metabolism
SLC25A4,-0.374610359237517,10.4294550468262,-3.71744682153842,0.0007539226801017,0.0084103734495326,-0.718147838853127,mito_dynamics
TOMM70,-0.249081260997056,6.6902320603538,-3.61631086076667,0.0009966605846604,0.0101573239020087,-0.980342996700396,mito_dynamics
CALM2,-0.278814422287382,7.97639260145682,-3.56116522629848,0.0011593069503658,0.0113631376119771,-1.12206330532005,calcium
LPIN1,-0.519693478005859,5.18728845993757,-3.51177108200743,0.0013265430679392,0.0124580463270786,-1.24821850677459,lipid_metabolism
PLD6,-0.393562923753663,3.38003032778356,-3.42028934899924,0.0016997106378102,0.0149105327553625,-1.47981730291979,lipid_metabolism
OPA1,-0.285322082111424,7.94307654526535,-3.21421650057658,0.0029450155796013,0.0217022159552059,-1.99095987593576,mito_dynamics
PACS2,-0.215315812316713,4.12721538501561,-3.15527920463756,0.0034380885289274,0.0240564075583467,-2.13424220996107,anchor_contact
PINK1,-0.292124228738993,7.53092950052029,-3.06816413258289,0.0043129607309374,0.0281177984183899,-2.34348255286874,mito_dynamics
FUNDC1,-0.360291607038112,7.00857127991675,-2.96466437676448,0.0056268438980533,0.0339740588307226,-2.58793075560606,mito_dynamics
CALM3,-0.230845577712598,8.21818449531738,-2.92830071733289,0.006172210448832,0.03628355046537,-2.67269888585171,calcium
