gene,log2FC,AveExpr,t,pvalue,padj,B
mt-Rnr2,17.39372779524,2.90883258194742,24.2654320719362,1.25587195950681e-10,2.279030844917e-06,1.37267279334657
Ccng1,-2.26329528462518,9.7798358272293,-18.6912186665859,1.8802508070802403e-09,1.70604556980425e-05,12.340821364611
Igsf1,-4.73030735871152,2.97760721004938,-16.1807437597958,8.261072823874431e-09,4.54166357010185e-05,9.79840913648851
Aox1,2.30373152678316,6.47474192438812,15.5429257418453,1.24500070050223e-08,4.54166357010185e-05,10.4864203342365
Ftl1,1.63215306965077,9.08207157805351,15.5235530648998,1.26091320808834e-08,4.54166357010185e-05,10.4986153436733
Nes,-2.04095512565759,5.81386270567515,-15.0843391505527,1.6883661480324e-08,4.54166357010185e-05,10.1862965935811
mt-Co1,4.92442408987594,6.3835463317751,15.02958789688,1.7518953540923e-08,4.54166357010185e-05,10.0904299861138
Myh7,4.3019546665929,12.2553360714038,14.0539097228639,3.45712040633325e-08,7.84204550171618e-05,9.49416108781367
Trim54,1.66516429627072,7.57322893527485,13.6268545181531,4.71875973864796e-08,8.47417368570816e-05,9.19051197969241
Mycn,-2.36971399255934,2.01964326613887,-13.5422803256673,5.02386913467621e-08,8.47417368570816e-05,8.37802012627857
C4b,2.95044229431914,5.56322212906604,13.464731986634,5.32259017609433e-08,8.47417368570816e-05,9.0473171035564
C3,1.94631156905972,8.27203150493742,13.0254885897861,7.42506970776244e-08,9.90213094333406e-05,8.73365910826085
Smco1,-2.15931108568023,3.39366719294587,-12.9842376884326,7.66480882523721e-08,9.90213094333406e-05,8.52832446466079
Nt5dc2,-1.17784995620578,4.56806950357802,-12.8993779904402,8.18493217336259e-08,9.90213094333406e-05,8.62589705962534
Xdh,1.98725416852425,7.77627247544676,12.5089823197672,1.11270078426951e-07,0.0001209073730825,8.32806043043125
Tfrc,-3.09137113408777,6.58868006188316,-12.4867118481131,1.13265296875689e-07,0.0001209073730825,8.32216685849406
Cdkl1,1.23128574275071,4.41810267350826,12.2789257568452,1.33875890609542e-07,0.0001313425124931,8.13853029188085
Cryba4,-2.62876558080582,1.45574484896267,-12.1977979671566,1.43002718105621e-07,0.0001313425124931,7.2323421132497
Cmss1,-1.774096581402,4.84155634551432,-12.1828765207342,1.44753967590453e-07,0.0001313425124931,8.0804776273561
Higd1a,-1.2469337531132,6.34379793391475,-12.0104546373327,1.66774388025967e-07,0.0001341786312278,7.9295141805376
