file,geo_accession,sample,title,group
GSM5226885_H_CON_1_Count.txt.gz,GSM5226885,H_CON_1,H-CON-1,Sham
GSM5226886_H_CON_2_Count.txt.gz,GSM5226886,H_CON_2,H-CON-2,Sham
GSM5226887_H_CON_3_Count.txt.gz,GSM5226887,H_CON_3,H-CON-3,Sham
GSM5226888_H_CON_4_Count.txt.gz,GSM5226888,H_CON_4,H-CON-4,Sham
GSM5226889_H_CON_5_Count.txt.gz,GSM5226889,H_CON_5,H-CON-5,Sham
GSM5226900_H_CLP72H_2_Count.txt.gz,GSM5226900,H_CLP72H_2,H-CLP72H-2,CLP72h
GSM5226901_H_CLP72H_3_Count.txt.gz,GSM5226901,H_CLP72H_3,H-CLP72H-3,CLP72h
GSM5226902_H_CLP72H_4_Count.txt.gz,GSM5226902,H_CLP72H_4,H-CLP72H-4,CLP72h
GSM5226903_H_CLP72H_5_Count.txt.gz,GSM5226903,H_CLP72H_5,H-CLP72H-5,CLP72h
GSM5226904_H_CLP72H_6_Count.txt.gz,GSM5226904,H_CLP72H_6,H-CLP72H-6,CLP72h
