"gene","human_dir","n_mouse_sig","n_concordant","GSE79962","GSE267388","GSE207363","GSE207177","GSE190856"
"S100A8","Up",3,3,1.913130271261,3.27663052631314,1.71345169127938,2.83161825243376,4.97938838198899
"CCL2","Up",3,3,1.83595335923754,4.19417189609699,-0.218743615408593,2.91157375070946,1.20862176299879
"CYP1B1","Up",3,3,1.70877727565983,3.4884800645408,2.54182989220868,1.82313762832064,NA
"DEPP1","Up",4,3,1.54976680131966,1.6503391937876,2.3602213116311,2.19185387102028,-1.00970972950817
"SERPINA3","Up",3,3,1.41293494721408,6.63964051029042,5.39381541102837,5.67984319857382,NA
"TIMP1","Up",3,3,1.36051299853374,3.64605085334349,2.84253248857606,3.59197988746034,NA
"SOCS3","Up",3,3,1.34772090762464,4.25746880835025,0.324442452837038,1.22692792502324,1.06699356833124
"NREP","Down",3,3,-1.29926274340175,0.243986874832006,-2.11342767502642,-3.02174437734403,-2.80012661733834
"OSMR","Up",4,3,1.29121315982405,2.75503095801243,1.20503672344842,1.4689830612867,-1.41969902801085
"POR","Up",3,3,1.25147494428153,1.09056886500198,1.14807842174126,2.11133559119012,0.215112094700531
"TGM2","Up",3,3,1.04148392008799,1.85135591531912,2.16320957444416,2.22033877174906,-0.280438950296077
"UCHL1","Up",3,3,1.02024265395895,1.27922651666437,1.99468337040398,2.53529220352594,NA
"THBS1","Up",2,2,2.44477071554253,1.11285214264,-0.120485697835266,1.62977759048189,NA
"RRAD","Up",2,2,2.37281236656892,2.63198235396269,0.00507088020225832,1.27648983947419,0.848107388575486
"ADAMTS9","Up",3,2,2.29367976392963,1.88046022757992,0.521301415986693,2.85980699199149,-2.40090409205675
"SERPINE1","Up",2,2,2.07371051466276,4.65259933484177,0.931192944268985,1.2775721510659,NA
"CCL11","Up",2,2,2.02151189002933,2.09364676261522,NA,2.14682075775778,NA
"PLIN2","Up",2,2,2.00767443548388,2.38018180224429,1.09536921216891,0.0127968278944133,0.464874858653896
"STC1","Up",2,2,2.00298886290323,1.12346369643803,NA,4.73761525419303,NA
"PI15","Up",2,2,1.6417207228739,1.49824185665824,0.283062026089662,2.2757399431067,NA
"HILPDA","Up",2,2,1.6281168739003,2.07805230069547,0.798315402538291,2.7984622286377,0.205981023606232
"PTX3","Up",2,2,1.6068132170088,7.41069855202229,0.361575507084089,6.14716557801377,NA
"S100A9","Up",2,2,1.59591128739004,3.2582561711702,0.85623781406678,2.51548636242725,4.68001187827684
"CP","Up",2,2,1.58074534017596,2.32956316817748,1.01724040909274,0.655426793154864,0.172455841566456
"RNF122","Up",2,2,1.51996329912024,1.40409996057837,NA,1.3869793227483,NA
