"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa00190","Oxidative phosphorylation",110,-0.660597404191078,-2.92031537416,1e-10,5.02857142857143e-09,2.04670492016836e-09,1932,"tags=56%, list=14%, signal=49%","10476/27089/4723/29796/55967/4707/4697/7385/51382/509/1353/4698/374291/4714/4694/100532726/4695/1349/7386/10975/4726/4724/1351/1345/539/4719/6390/6389/1352/1329/10632/1347/4729/1327/10063/4717/1350/4720/498/506/9551/4708/4728/7388/9377/7381/522/4712/4722/54205/4702/4715/440567/6392/1340/1537/4704/516/518/4706/4711/4709",NA
"hsa05415","Diabetic cardiomyopathy",176,-0.563510649056289,-2.6293059742758,1e-10,5.02857142857143e-09,2.04670492016836e-09,2532,"tags=51%, list=18%, signal=42%","4700/4725/4713/513/5164/4710/2932/2997/7416/488/10476/27089/4723/29796/7417/9882/55967/4707/6262/1536/4697/7385/5160/51660/6667/25874/509/1376/5728/4698/374291/815/4714/6517/10105/4694/100532726/4695/1349/7386/10975/4726/5350/4724/1351/1345/539/4719/5500/6390/142/291/6389/1329/1375/5465/1347/4729/1327/4717/1350/4720/498/506/4708/4728/7388/9377/7381/522/4712/4722/5295/4702/948/4715/440567/6392/1340/7419/1537/4704/185/516/518/4706/4711/5162/4709",NA
"hsa04714","Thermogenesis",191,-0.558132366196749,-2.61755422504409,1e-10,5.02857142857143e-09,2.04670492016836e-09,2587,"tags=51%, list=18%, signal=42%","2885/10818/4700/4725/4713/1386/513/4710/63976/521/51103/90993/5592/5571/10476/27089/4723/29796/285521/28958/55967/4707/79133/5563/116228/4697/115/7385/107/509/1376/1353/4698/65260/374291/4714/1385/11343/4694/84987/100532726/4695/1349/7386/10975/5468/4726/4724/1351/1345/539/4719/6390/6389/1352/2260/1329/388753/55744/1375/111/10632/1347/4729/1327/10063/4717/1350/4720/498/506/9551/4708/4728/7388/9377/6655/7381/522/4712/4722/29078/4702/788/4715/440567/2180/7248/6392/1340/1537/4704/516/518/4706/4711/4709",NA
"hsa00280","Valine, leucine and isoleucine degradation",44,-0.66233154719055,-2.48313878984612,2.6086497540126e-08,7.06342087240333e-07,2.87491953890269e-07,2729,"tags=59%, list=19%, signal=48%","27034/316/3033/11112/3028/1892/3158/1962/5096/26275/3157/36/223/3030/64087/5019/594/34/5095/1629/1738/4594/35/38/56922/10449",0.73376198835648
"hsa05020","Prion disease",227,-0.512682688385797,-2.46882153861399,1e-10,5.02857142857143e-09,2.04670492016836e-09,2681,"tags=45%, list=19%, signal=37%","5690/9167/347733/5689/4700/714/4725/5715/4713/1386/513/4710/5702/2932/10383/842/7416/10213/4685/713/90993/5705/10476/27089/4723/29796/859/283106/7417/55967/4707/5685/6262/1536/4697/7385/10382/857/509/5706/4698/374291/4714/5701/1385/10105/4694/51807/100532726/4695/1349/7386/10975/4726/4724/1351/1345/539/5693/5694/4719/6390/5695/291/6389/1329/5687/1347/4729/7278/1327/5683/4717/1350/4720/498/506/4708/4728/113457/7388/9377/7381/522/4712/4722/5295/54205/4702/4715/440567/6392/1340/7419/1537/5532/4704/516/112714/518/4706/4711/4709",NA
"hsa00020","Citrate cycle (TCA cycle)",27,-0.750602041075073,-2.45604150129509,3.73922770290423e-08,8.83300400482778e-07,3.59516674135895e-07,1794,"tags=59%, list=13%, signal=52%","4190/4191/5160/8801/1743/6390/6389/8802/1738/8803/3420/1431/2271/6392/1737/5162",0.719512826338911
"hsa05012","Parkinson disease",230,-0.490489939729486,-2.35903906714563,1e-10,5.02857142857143e-09,2.04670492016836e-09,2702,"tags=45%, list=19%, signal=37%","817/5690/25828/9167/347733/5689/4700/4725/5715/4713/513/118424/4710/5702/10383/842/55669/7416/10213/5705/10476/27089/4723/29796/4129/7417/55967/4707/5685/4137/4697/7385/6233/2770/10382/509/808/5706/7326/4698/65018/374291/815/4714/5701/10105/4694/51807/100532726/4695/1349/7386/10975/4726/4724/1351/1345/539/805/5693/5694/4719/6390/5695/291/6389/1329/5687/111/1347/4729/7278/1327/5683/4717/1350/4720/498/506/4708/4728/113457/7388/9377/7381/522/4712/4722/54205/801/4702/4715/440567/6392/1340/7419/1537/4704/516/112714/518/4706/4711/4709",NA
"hsa05016","Huntington disease",254,-0.482474512081866,-2.35857526708805,1e-10,5.02857142857143e-09,2.04670492016836e-09,2681,"tags=40%, list=19%, signal=33%","5690/9167/347733/5689/4700/4725/5715/4713/513/4710/5702/10383/842/55102/7416/10213/90993/5705/10476/5438/27089/4723/29796/7417/23130/55967/4707/5685/4697/7385/10382/6667/3092/509/5706/4698/374291/4714/5701/1385/10105/4694/51807/100532726/4695/1349/7386/10975/5468/4726/4724/1351/1345/539/5693/5694/4719/6390/5435/5695/11258/291/6389/1329/5687/5431/51164/1347/4729/7278/1327/5683/4717/1350/4720/498/506/4708/7019/4728/113457/7388/9377/7381/522/4712/4722/54205/4702/4715/440567/6392/1340/7419/1537/4704/516/112714/518/4706/4711/4709",NA
"hsa04260","Cardiac muscle contraction",61,-0.598474102635259,-2.35087918541848,3.76406420660275e-08,8.83300400482778e-07,3.59516674135895e-07,2184,"tags=52%, list=15%, signal=45%","781/488/27089/29796/6546/478/6262/7385/10479/7134/4634/783/55799/1349/7386/10975/1351/1345/477/482/1329/70/1347/1327/444/1350/7388/9377/7381/440567/1340/1537",0.719512826338911
"hsa01210","2-Oxocarboxylic acid metabolism",28,-0.698520520601516,-2.34171907154069,1.11924653803931e-06,1.87607038757066e-05,7.6358913209549e-06,1460,"tags=43%, list=10%, signal=39%","2805/5160/2875/594/1629/1743/2806/1738/3420/1431/1737/5162",0.643551836150722
