"celltype","group","mean_OXPHOS"
"B_cells","Control",0.174119776184443
"B_cells","CLP",0.173394850208063
"Cardiomyocytes","Control",0.374458142670063
"Cardiomyocytes","CLP",0.199303975914015
"Endothelial","Control",0.184349384128285
"Endothelial","CLP",0.180477040462519
"Fibroblasts","Control",0.16730150646311
"Fibroblasts","CLP",0.167678328050621
"Fibroblasts_activated","Control",0.186022540989428
"Fibroblasts_activated","CLP",0.179092053264239
"Granulocytes","Control",0.17217625164645
"Granulocytes","CLP",0.184397861501957
"Macrophages","Control",0.18067736610783
"Macrophages","CLP",0.205605995840508
"Pericytes","Control",0.202108076320156
"Pericytes","CLP",0.18183681455856
"T_cells","Control",0.197977447646322
"T_cells","CLP",0.176367546205332
