"gene","kME"
"TNFRSF11B",0.955952324800963
"THBS1",0.932746900305413
"DDX21",0.929034226141237
"NOLC1",0.918302955841724
"IL1RAP",0.915699717863747
"POR",0.915452550816883
"GNL3",0.913608880082466
"PNP",0.911829518601847
"TNFAIP1",0.906570281757213
"ADAMTS9",0.904675913233723
"EIF4A1",0.904437266587733
"DGKD",0.902666525530484
"NAMPT",0.902153389314543
"HIVEP2",0.902105735537489
"PUM3",0.901790326335494
"RIPK2",0.892421528955806
"SDAD1",0.890128194870251
"MYC",0.886418513376028
"SNORA33",0.885508089256973
"SHC1",0.884554443385146
"PLIN2",0.881712601606243
"WDR43",0.880848033208797
"RAB15",0.879314983912913
"SERPINB1",0.879005956205103
"NPC1",0.878131694825531
"RAB31",0.877927547073835
"ZDHHC9",0.877831844631
"GRAMD1B",0.875384574337334
"HIF1A",0.871258484941052
"PUS7",0.871105626768651
"ANGPT2",0.870590770843249
"UTP4",0.870511621817656
"ADAM19",0.868882950169402
"MIDN",0.867379011814527
"SAT1",0.866299410045157
"B4GALT5",0.865332303540155
"NOP58",0.864875999805175
"MSN",0.86474673023138
"ATP13A3",0.863707096971604
"GRAMD1A",0.863318241115699
"PARD3",0.863223123111949
"PTPRE",0.863019364043737
"CEMIP2",0.86170002532054
"SNORD38B",0.860578943754158
"BZW1",0.859374349942378
"ATP2B4",0.857603347867186
"SEC24D",0.856612573226359
"PNO1",0.855930505855727
"SNORD6",0.855707439582135
"IPO4",0.855618552389404
"PPRC1",0.855373820188853
"TMEM165",0.855335350626965
"NRIP1",0.851563112573854
"RASSF8",0.85120904025318
"UGCG",0.846187661215924
"SLC7A5",0.845475856802719
"TAF1D",0.845454288725676
"YWHAH",0.845403713036829
"HM13",0.84489401418844
"ATP1A1",0.84456218533361
"XPO5",0.843301368102956
"SLC50A1",0.842852642292188
"ENO1",0.842737501792087
"NUP188",0.841457892805656
"MAPKAPK2",0.841225269412409
"TEAD4",0.839598956025379
"TIMP1",0.839018849851016
"PLSCR1",0.838333687671923
"YARS1",0.838238777346959
"ETS2",0.838230645351684
"SLC39A14",0.837828452969262
"HRH2",0.837791410597122
"UPP1",0.832571723983321
"TCEAL9",0.832371979007658
"KCTD10",0.832044286878419
"TOMM34",0.831920660324754
"ZPR1",0.831588646690978
"RCL1",0.830517006974287
"CD55",0.829750234217745
"SNORD5",0.829132648493937
"DYNLT3",0.829127208708184
"CDK17",0.828440735284927
"NOP2",0.827555825002184
"MT2A",0.826415694472016
"HEATR1",0.826329992656338
"CNN3",0.826085422435737
"RNF10",0.825309619366713
"ETV6",0.825272434450706
"STOM",0.82490546288787
"GARS1",0.824438573902791
"GADD45B",0.82260320043814
"FNBP1L",0.822114187819906
"MID1",0.821729286594142
"POLR3D",0.820408183036844
"AKAP6",0.820399847501809
"ARHGDIA",0.820016713947519
"RPGR",0.819247466875739
"LDLRAD3",0.818497223388806
"PTPN1",0.818469417567954
"SRXN1",0.81529217921594
"CDK2",0.813812999595277
"ELL2",0.81341902196575
"MARCHF3",0.813364457598075
"LINC00260",0.812966358114267
"CFAP97",0.812587655870501
"LDLR",0.811966858674065
"PTX3",0.811954281764044
"DIAPH1",0.811689056924175
"RRAD",0.811629578205031
"TGIF1",0.811386234938265
"SLC3A2",0.810834632528261
"RARRES1",0.810715546360956
"IL1RL1",0.81021886206872
"SH3RF1",0.810115884921593
"NME1",0.810011128446226
"SEC61A1",0.80989877506222
"SNORD28",0.809854114899889
"ARF3",0.809745877299279
"NOD1",0.809202242656958
"NUDCD1",0.808501158272552
"IL4R",0.807711431914988
"SLC71A1",0.807551483607972
"ARL4A",0.806872740044935
"XIRP1",0.805328181740949
"TGM2",0.80294749349953
"WDR3",0.802926751137572
"ELOVL5",0.802633698804482
"HNRNPF",0.802467351278388
"ITGA5",0.802372078971069
"WDR46",0.802228182121474
"UGDH",0.801991367865009
"CYRIB",0.801723061620878
"SEMA4B",0.801498112421046
"UBE2J1",0.799949799405751
"GNL2",0.799533370885055
"ZFC3H1",0.798522178626873
"SSBP3",0.797091318780634
"PELI1",0.796638999655936
"AGPAT5",0.796465217012189
"SINHCAF",0.796421788330183
"TP53",0.79402139733286
"FAM177A1",0.79351835186967
"RNF122",0.793181157758359
"ZFP36",0.79245668976478
"C11orf96",0.791074866602876
"USP12",0.790387800014753
"LDHA",0.78995033476918
"PPP3CA",0.789068746206998
"SLC9B2",0.786048670718874
"RCN1",0.785905972143065
"FERMT2",0.784091361833887
"AGO2",0.782856986345161
"RTN4",0.78261602182681
"SNHG12",0.782163004317343
"TNFRSF1A",0.781902484211308
"BCL3",0.781467873105178
"SIK2",0.780810629778932
"SEH1L",0.780661334217788
"PDCD11",0.779930361751817
"CCNL1",0.779111836312106
"NRBF2",0.778709267698297
"IL1R1",0.7785141220287
"CCL11",0.777840877944394
"NIFK",0.777227330437439
"STAT3",0.777160887110811
"FNDC3A",0.777127822034033
"STX11",0.77688779416699
"LRRC8D",0.776607363442171
"ASRGL1",0.776525067126586
"TRIB1",0.776512235453239
"SLC30A7",0.775902989138545
"MT1HL1",0.775115881544517
"GLRX",0.774199233327676
"GABPB1",0.774130075824095
"CDH11",0.773848150472333
"PDPN",0.773584130947914
"MAP1B",0.773509914933678
"THBS2",0.773307013299522
"OSMR",0.772654337299352
"FNDC3B",0.772251990747068
"JUNB",0.771778350729814
"FLJ42393",0.771387090298467
"SNRK",0.771253267616011
"GRAMD4",0.77053183960423
"FADS3",0.770350324839488
"TMEM43",0.769517537204419
"SERPINA3",0.769501394761184
"RHOC",0.769499671464827
"SELENOS",0.768654055049961
"GABARAPL1",0.767367539660534
"PMM2",0.767112742885866
"LONRF1",0.767075825939636
"ACTN1",0.765951158211405
"CISH",0.765940531006345
"CHI3L1",0.765632943053516
"RGS4",0.765550130342048
"BTG2",0.765007581999055
"SOD2",0.76453450580696
"RNF217",0.76426008137622
"TFE3",0.764110544406686
"AAGAB",0.764012253145566
"CTNNB1",0.76318409316773
"MLLT11",0.761523897874852
"STRIP2",0.760494324914485
"TNIP2",0.760070520077458
"CEBPD",0.759791147284704
"SOCS3",0.759711144941204
"KLHL8",0.759023749851489
"VAMP7",0.757980507643847
"MT1M",0.757526977718839
"FKBP11",0.757469851305943
"ARF4",0.757074608374943
"RRBP1",0.757025152889282
"TRMT6",0.756330713375081
"GLI3",0.752786392715157
"PPARD",0.751972198370576
"PRR13",0.75188062741938
"WTAP",0.751746040777194
"RFFL",0.75122712639336
"PHC2",0.750841769028777
"NOL6",0.750794799616452
"TINF2",0.750711316233142
"FKBP1A",0.749952192292305
"TEAD3",0.748955230713401
"A4GALT",0.748872609273755
"CTPS1",0.748716256299852
"SNORD96A",0.747703389591656
"ZNF460",0.747473510322081
"MT1A",0.745195729474052
"SPRY1",0.744841653894783
"PGM3",0.744680842332435
"PVR",0.743489732339694
"SNORD58A",0.74342389128235
"MTHFD2",0.742340687110685
"MEIS1",0.742102756656895
"CLIC1",0.741821278698646
"SHISA5",0.741479809285576
"MARS1",0.740355795489323
"SPRING1",0.740335667766326
"MT1H",0.739380455601807
"CD93",0.739223558299454
"SELENOM",0.738547924015875
"IL32",0.738486016371194
"CARS1",0.73813533451089
"FSTL3",0.737447620303444
"SRPRA",0.737152813756374
"C1QTNF1",0.736819758607692
"NOP14",0.736375794237845
"TLCD3A",0.734265646655052
"MSTO1",0.734247528079196
"ARFGAP3",0.734168358716358
"DNAJC12",0.734108697565333
"ASNS",0.734001382281648
"ANGPTL2",0.733548323615134
"RRAGC",0.73285588045537
"SERPINE2",0.731249321553225
"CMIP",0.731230792675217
"RASGRP3",0.730392380185084
"TWF1",0.730287632019297
"SLC6A6",0.730015966707949
"BCL6",0.728841837717569
"SLC2A13",0.728795418041753
"COL4A1",0.72646960436272
"RDH10",0.724139772722414
"SNORA40",0.723973104500051
"CASP4",0.723446912292344
"EFNA1",0.722336553908728
"AGFG1",0.722109411189553
"VCAN",0.7206779098801
"CYP1B1",0.720570060829177
"TTF2",0.720233637298652
"HAMP",0.719936542049555
"LSG1",0.719801290561635
"ITGA3",0.719777258499855
"C15orf39",0.719663809440835
"CDKN1A",0.719649155456468
"PPP2R1B",0.719024364306906
"BCOR",0.718737541511015
"MAK16",0.717948446588137
"RAB35",0.717842611142235
"SERPINB8",0.717442879423153
"SHMT2",0.717261661937632
"MED8",0.716883474565293
"RALGAPA2",0.716606689256271
"KDSR",0.715845963465757
"PACS1",0.715776345702176
"IFRD1",0.715078399673735
"SNAI1",0.714958645628181
"JPH1",0.7138012195369
"H3-5",0.713320516083204
"SNORA70",0.712876386692238
"AGTRAP",0.711544999546823
"RPA1",0.710924897002763
"MID1IP1",0.710279786723218
"SMYD4",0.710268067377078
"SNORD80",0.709512086194064
"NPLOC4",0.709062966333314
"PCDH17",0.708665314920492
"NAV2",0.708659311256467
"PLOD2",0.708377986523181
"SNORD76",0.707766236608028
"PNRC1",0.707757308326626
"SUCO",0.70617564916886
"ST6GALNAC3",0.704823482563747
"PANX1",0.704634438502232
"GADD45G",0.703189679896413
"MBD4",0.702785666133664
"HSD11B1",0.702108577539982
"CFL1",0.701800977473948
"SLC20A1",0.701712633050428
"ST3GAL6",0.700604511779605
"DENND4A",0.700084710078811
"SNORA61",0.70002296342263
"IFI16",0.69970920605386
"ARFIP2",0.69928153685304
"TNFAIP6",0.69908756392472
"IRF9",0.698416298302409
"ZNF385D",0.697627996909636
"HIPK1",0.697377823260783
"PI15",0.696971916121831
"ACLY",0.696490208206104
"FAM27C",0.6955850724022
"ARHGAP42",0.695475413133811
"EVA1C",0.694331970791948
"PHLDA1",0.692978166810553
"STC1",0.692874647314773
"CP",0.692850561834707
"GART",0.692844675008264
"TNFRSF10B",0.692455042706584
"IRAK3",0.691888802899407
"SMAD3",0.690604651798674
"SNORA6",0.689845902818472
"BTG3",0.68949914903032
"GPR4",0.688566232732877
"SLC1A5",0.688292209379542
"ASAP1",0.688151255965434
"SNORD21",0.687811226499029
"PM20D2",0.68762800048426
"USP32",0.687528796159824
"NAA25",0.687394272916774
"H3-3B",0.687392293962595
"GK",0.687180407350853
"PKNOX1",0.687126916099726
"CLMP",0.686299960681869
"GTF2E2",0.68594525450152
"SSRP1",0.68473514193812
"ODC1",0.683791897925021
"NAT10",0.683761547691841
"SMC5",0.683618251817689
"NFKB1",0.682961887828468
"MBNL2",0.682226331070686
"HDAC7",0.680905483193777
"ADAMTS4",0.680367954430658
"SNORD34",0.679811403289085
"MRTO4",0.679597096733378
"GTF2IRD1",0.679495048202499
"NOB1",0.678895921743096
"INO80",0.677693086869398
"TXLNA",0.677680867931438
"SLCO2A1",0.677498665879314
"IKBIP",0.677361491255266
"COL4A2",0.67660406073455
"IL15RA",0.675872361518606
"MT1G",0.675043863978401
"ABCE1",0.674974377972664
"INTS10",0.674594661838764
"TMX1",0.67453312878154
"TMEM87B",0.674509740669521
"STX12",0.674463346354449
"LRRC59",0.673126493762287
"SNRPB",0.67307367984942
"FOSL2",0.67211130880074
"RIC3",0.672071061638746
"KCNK1",0.672051944045925
"RCC2",0.671946818484882
"TXNRD1",0.671767066174583
"DNTTIP2",0.671678552188221
"TMEM39A",0.669825047412678
"ALDH18A1",0.669181502026021
"VMP1",0.668411683755457
"SEC24A",0.666917845335387
"IFT57",0.666601656721435
"SNORA67",0.666428653749509
"SCYL2",0.664934225500931
"SLC26A2",0.664431184297256
"NR2C2AP",0.663984139557801
"C3orf52",0.663448884644351
"ZDHHC13",0.662776304942166
"SAMD8",0.662643262987383
"FJX1",0.662631481809537
"SLC39A10",0.662491125035217
"DOCK4",0.662311358851075
"TANK",0.66207082127784
"ERLIN1",0.661438548244117
"MT1DP",0.660693174991398
"RASSF5",0.66033981256779
"MIF",0.660117338109366
"LUZP1",0.659979552273363
"SUSD6",0.659852712411791
"PTGIR",0.659661636906061
"LINC01140",0.659603248969676
"ARHGAP21",0.659309885233098
"SLC43A3",0.659308351521959
"WDR89",0.659222325787596
"CCL19",0.658871687382409
"PIKFYVE",0.658726046556871
"RANBP1",0.657179994928847
"COLQ",0.655657525992533
"GPN2",0.65485972381604
"HES1",0.653760775459521
"FCHSD2",0.653678769949548
"DTX3L",0.653225542438244
"FCN3",0.652864162782904
"NOP16",0.652392030738523
"CA2",0.651696938239094
"IGFBP4",0.651580586293499
"PDE8A",0.651506408286165
"CMTM7",0.650894258588318
"GPR3",0.649920434515056
"ANKRD1",0.649471820938145
"DDX39A",0.649395719387289
"GLIS3",0.649339239416999
"CD164",0.648634216730176
"PTRH2",0.648572538112796
"RIOK1",0.648319023235461
"SLC39A7",0.647803483950924
"ZNF326",0.647679195909426
"VASP",0.647580335514297
"FNIP2",0.646637321816156
"CAP1",0.646613536222838
"ERBIN",0.6448138333711
"IL33",0.644737478563804
"SNORA8",0.644632938817551
"NSF",0.64443439434132
"RUNX1",0.644183414139293
"DKC1",0.643844837881845
"ACTB",0.642879746376904
"ALG3",0.642339015831561
"TJP2",0.642005115811808
"IL18R1",0.641444635317523
"UAP1",0.640555487106692
"NETO2",0.640222306292634
"KPNA2",0.63937758880708
"HAUS2",0.638979599114945
"CDC42EP1",0.638971080616255
"URB1",0.638953193355173
"TMEM70",0.638803506119419
"ATP11C",0.638792021149269
"C11orf24",0.637968182277013
"PDK4",0.637871484101309
"ATP1B3",0.637870416367056
"TPT1-AS1",0.637578031721074
"MT1IP",0.637060316947549
"CHRDL2",0.636710814268271
"IARS1",0.635678174268211
"NPPB",0.633851162136364
"E2F3",0.633769683490999
"SNORD79",0.633483618801422
"PDIA5",0.63315426599327
"STX2",0.632901141547685
"IL3RA",0.632848815225487
"RHBDD2",0.63242063443892
"PRAF2",0.63051367635576
"NPPA",0.630429307179812
"TXNDC9",0.630412032811687
"SMG1",0.630153297174462
"MT1P3",0.629805253868259
"FKBP10",0.629278882264257
"UTP20",0.627782932494435
"EIF2AK3",0.627767437140559
"TPM3P9",0.627250709566743
"SLC35F5",0.62716447583632
"MT1JP",0.627038249680012
"S1PR1",0.626297791537911
"OSBPL8",0.626066636344571
"NTN1",0.625068878743413
"TBL1X",0.625030977737766
"TMA16",0.624114530087424
"CBFB",0.623747560535995
"CDC42EP2",0.623532153786303
"MT1B",0.622950108025308
"TM9SF1",0.622802118329893
"BYSL",0.621870458436864
"STING1",0.620954185484902
"HVCN1",0.620930172874891
"NOC3L",0.620655433555748
"KCTD20",0.62065256658968
"TAGLN2",0.620489080469257
"PITPNC1",0.620325188917439
"TWSG1",0.619736967225918
"RBBP8",0.617447010498131
"TSPAN13",0.616522431277987
"JMJD6",0.615450540145238
"HIRA",0.615095588121827
"PNPLA8",0.614465520114157
"RHBDL2",0.612887080991655
"CDR2",0.61143824013285
"POLR1B",0.610555586227678
"NR4A3",0.610531273685032
"PLVAP",0.610215239873614
"STEAP1",0.608893148304676
"FAM91A1",0.60850077747928
"DLL4",0.607935587423606
"PLEKHO2",0.606938204700958
"PGM2",0.606807183402814
"ADSS2",0.606111006379364
"BUD31",0.605730996530785
"NSUN4",0.605227894404638
"NOPCHAP1",0.604685647466047
"RPF1",0.604466496642618
"POTEF",0.60429547371053
"SERINC2",0.603137245848489
"PLAU",0.602834489451132
"GPC4",0.602472096290587
"MEDAG",0.602232375573723
"SNORA71B",0.601501005354422
"EDEM2",0.601271723596335
"STK38",0.601043003481054
"ZNF593",0.600570934525265
"SIRAL1",0.599924275305664
"GFPT2",0.599775776810645
"SCFD2",0.599294401005908
"TNFAIP3",0.599158111968834
"LRRC42",0.59890347961149
"PDLIM1",0.598755480128248
"PDE4D",0.598608967212154
"MT1X",0.597841919905337
"DDB1",0.597611088600996
"PDE10A",0.59747132460142
"SCHIP1",0.59720870019625
"METTL22",0.595869144066056
"CLEC1A",0.595693725613699
"ZNF841",0.59544713287303
"POLD4",0.594289376979015
"HILPDA",0.593799152295232
"SLC7A2",0.593204676057057
"SNORA21",0.592706455910004
"OVOS1P",0.592578113076351
"SEC61B",0.592128945397266
"DLG1",0.592000571692923
"SFPQ",0.591658624563389
"GLUL",0.591301849000944
"ADAM32",0.590342829126221
"STK17A",0.589631843731329
"BHLHE40",0.588802023632644
"MCTP1",0.588356684461338
"BICD1",0.587002893455573
"MAD2L2",0.586953581418944
"PLSCR4",0.586826276031311
"TTC4",0.58667081008653
"IRX3",0.585856390779555
