"module","cor_SCM","p"
"MEturquoise",0.757774171198816,7.95710666393647e-07
"MEbrown",0.724888470522517,3.98794966349544e-06
"MEblue",-0.721319304382627,4.68584330967117e-06
"MElightcyan",-0.707272763911527,8.6386370194242e-06
"MEcyan",-0.668047637259333,4.01620430752616e-05
"MEred",-0.665466350711327,4.408752930016e-05
"MEmidnightblue",0.483381631258984,0.0058734735143918
"MEsalmon",-0.46395037562671,0.00856372567360027
"MEtan",0.46317643329536,0.00868951993896308
"MEblack",0.403423777800469,0.0244187023833947
"MEgreen",0.38980360139216,0.0301802790800042
"MEyellow",0.384125074369133,0.0328881850775504
"MEgrey",0.366729057538484,0.0424306134891481
"MEmagenta",-0.357075595696003,0.0486132128400088
"MEgreenyellow",0.29001350097846,0.113512812917058
"MEpurple",0.161721272725001,0.384756671101476
"MEpink",-0.0461514927347156,0.80527025396925
