"statistic","source","condition","score","p_value"
"ulm","STAT3","SCM_vs_Ctrl",5.68991342830356,1.29625284188997e-08
"ulm","STAT1","SCM_vs_Ctrl",5.34903126819145,8.98039815471148e-08
"ulm","TEAD4","SCM_vs_Ctrl",5.12566590506188,3.00400701436201e-07
"ulm","NFKB1","SCM_vs_Ctrl",4.92051405141577,8.72894597620397e-07
"ulm","RELA","SCM_vs_Ctrl",4.84363081673674,1.28838849598307e-06
"ulm","MXI1","SCM_vs_Ctrl",-4.5577774766657,5.2131157713943e-06
"ulm","E2F6","SCM_vs_Ctrl",-4.4924505539197,7.09666762870427e-06
"ulm","ZNF217","SCM_vs_Ctrl",4.45272906028127,8.54356230718183e-06
"ulm","AHR","SCM_vs_Ctrl",4.42446159859545,9.74063314330137e-06
"ulm","FOXK2","SCM_vs_Ctrl",4.32693551895465,1.52236725720625e-05
"ulm","SMAD4","SCM_vs_Ctrl",4.27573797314369,1.91755504411661e-05
"ulm","SP1","SCM_vs_Ctrl",4.23049108558761,2.34651193684076e-05
"ulm","HIF1A","SCM_vs_Ctrl",4.19531341898033,2.74157956601855e-05
"ulm","BHLHE40","SCM_vs_Ctrl",-3.9669527363939,7.31566537225926e-05
"ulm","IRF2","SCM_vs_Ctrl",3.88649492395309,0.000102166465626876
"ulm","RBPJ","SCM_vs_Ctrl",3.84136445534288,0.000122886882843546
"ulm","BCL6","SCM_vs_Ctrl",-3.80990497175506,0.000139609070939536
"ulm","SMAD3","SCM_vs_Ctrl",3.72723187670049,0.000194349301173897
"ulm","ARID3A","SCM_vs_Ctrl",3.68094117574665,0.000233239217802117
"ulm","ATF3","SCM_vs_Ctrl",-3.56745979766664,0.000361651235629847
"ulm","MNT","SCM_vs_Ctrl",-3.52531505340593,0.000424318006015157
"ulm","ARNT","SCM_vs_Ctrl",3.50432663495465,0.000459180226670758
"ulm","ZBED1","SCM_vs_Ctrl",3.50354666966146,0.000460525887898021
"ulm","MAX","SCM_vs_Ctrl",3.50343908816475,0.000460711785012426
"ulm","JUNB","SCM_vs_Ctrl",3.33947041944458,0.000841554123823789
"ulm","ESR1","SCM_vs_Ctrl",2.9962743346314,0.00273774695153774
"ulm","ETS1","SCM_vs_Ctrl",2.94237476540639,0.00326234497406968
"ulm","KLF1","SCM_vs_Ctrl",2.92754997283239,0.00342188936887847
"ulm","ZNF274","SCM_vs_Ctrl",-2.8973990243488,0.0037684868888715
"ulm","FOSL2","SCM_vs_Ctrl",2.88275527936672,0.00394807939423685
"ulm","ATF4","SCM_vs_Ctrl",2.86504319117732,0.00417567130092885
"ulm","CREB3L1","SCM_vs_Ctrl",2.80231816436047,0.00508058601656342
"ulm","CREB3","SCM_vs_Ctrl",2.78909712750598,0.00529259280897745
"ulm","ZBTB7A","SCM_vs_Ctrl",-2.7805188147786,0.00543439253734515
"ulm","FOXL2","SCM_vs_Ctrl",2.75541904430437,0.00586920756231692
"ulm","GLI2","SCM_vs_Ctrl",-2.75473582327384,0.00588146991801202
"ulm","JUN","SCM_vs_Ctrl",2.72468434980898,0.0064442155202483
"ulm","MEF2A","SCM_vs_Ctrl",2.72057533628919,0.00652481454983686
"ulm","CREM","SCM_vs_Ctrl",2.71689366642048,0.00659780016247911
"ulm","ARID2","SCM_vs_Ctrl",2.71042399968302,0.0067278357668538
"ulm","REL","SCM_vs_Ctrl",2.68290218787518,0.00730712673777323
"ulm","NFATC1","SCM_vs_Ctrl",2.65929853218902,0.00783918309581492
"ulm","IKZF1","SCM_vs_Ctrl",2.65655098982457,0.00790331908506484
"ulm","KLF6","SCM_vs_Ctrl",2.63732204580196,0.00836549202352659
"ulm","E2F5","SCM_vs_Ctrl",2.60689912626165,0.00914622228536269
"ulm","TBP","SCM_vs_Ctrl",2.59159845041141,0.00956294475036735
"ulm","CEBPA","SCM_vs_Ctrl",2.58040962072069,0.00987831196413098
"ulm","MYC","SCM_vs_Ctrl",2.56353885973818,0.0103713611385841
"ulm","ZNF384","SCM_vs_Ctrl",2.5414995108432,0.011048401156679
"ulm","ELF1","SCM_vs_Ctrl",2.53330444279613,0.0113099954794358
"ulm","EGR1","SCM_vs_Ctrl",2.49904740752278,0.0124640226039166
"ulm","FOS","SCM_vs_Ctrl",2.48582031359266,0.0129367888093986
