"statistic","source","condition","score","p_value"
"mlm","p53","SCM_vs_Ctrl",4.15448953132224,3.2777647573105e-05
"mlm","MAPK","SCM_vs_Ctrl",1.79694410954128,0.0723641104986303
"mlm","PI3K","SCM_vs_Ctrl",1.18317734973617,0.236757160822019
"mlm","Estrogen","SCM_vs_Ctrl",0.399039886859444,0.689869356177008
"mlm","NFkB","SCM_vs_Ctrl",0.083770317262582,0.933240138963889
"mlm","Trail","SCM_vs_Ctrl",0.0637472582157938,0.949172303282382
"mlm","JAK-STAT","SCM_vs_Ctrl",-0.0978501644747485,0.922052548406597
"mlm","Androgen","SCM_vs_Ctrl",-0.236291961672316,0.813209271426125
"mlm","Hypoxia","SCM_vs_Ctrl",-0.368465812857054,0.712531004823703
"mlm","VEGF","SCM_vs_Ctrl",-0.737181942404376,0.461022961525065
"mlm","TNFa","SCM_vs_Ctrl",-1.51061613887424,0.130906828978888
"mlm","TGFb","SCM_vs_Ctrl",-1.75752974580202,0.0788474538181557
"mlm","WNT","SCM_vs_Ctrl",-2.69950633000878,0.00695183654849925
"mlm","EGFR","SCM_vs_Ctrl",-2.82883781063836,0.00467778259638484
