"pair","axis","delta","label"
"Ccl3→Ccr1","Granulocytes→Granulocytes",76.584542630324,"Ccl3→Ccr1 | Granulocytes→Granulocytes"
"Cxcl1→Cxcr2","Fibroblasts→Granulocytes",63.3234952637847,"Cxcl1→Cxcr2 | Fibroblasts→Granulocytes"
"Il1b→Il1r1","Granulocytes→Fibroblasts",62.701766729057,"Il1b→Il1r1 | Granulocytes→Fibroblasts"
"Il1b→Il1r1","Macrophages→Fibroblasts",61.5422460439081,"Il1b→Il1r1 | Macrophages→Fibroblasts"
"Ccl5→Ccr5","T_cells→T_cells",56.2544871952828,"Ccl5→Ccr5 | T_cells→T_cells"
"Cxcl2→Cxcr2","Fibroblasts→Granulocytes",55.0481543774785,"Cxcl2→Cxcr2 | Fibroblasts→Granulocytes"
"Il6→Il6st","Fibroblasts→Fibroblasts_activated",52.0891156141791,"Il6→Il6st | Fibroblasts→Fibroblasts_activated"
"Cxcl1→Cxcr2","Pericytes→Granulocytes",36.9695168676859,"Cxcl1→Cxcr2 | Pericytes→Granulocytes"
"Cxcl2→Cxcr2","Endothelial→Granulocytes",35.3264857128734,"Cxcl2→Cxcr2 | Endothelial→Granulocytes"
"Ccl4→Ccr5","Macrophages→T_cells",35.2182379123441,"Ccl4→Ccr5 | Macrophages→T_cells"
"Cxcl1→Cxcr2","Endothelial→Granulocytes",34.2949208629565,"Cxcl1→Cxcr2 | Endothelial→Granulocytes"
"Ccl3→Ccr1","Macrophages→Granulocytes",32.887276455933,"Ccl3→Ccr1 | Macrophages→Granulocytes"
"Apoe→Ldlr","Macrophages→Granulocytes",31.4468296067518,"Apoe→Ldlr | Macrophages→Granulocytes"
"Il6→Il6st","Fibroblasts→Fibroblasts",30.5179725557246,"Il6→Il6st | Fibroblasts→Fibroblasts"
"Ccl3→Ccr1","Granulocytes→Macrophages",25.7259105918457,"Ccl3→Ccr1 | Granulocytes→Macrophages"
"Cxcl2→Cxcr2","Granulocytes→Granulocytes",25.4908532408511,"Cxcl2→Cxcr2 | Granulocytes→Granulocytes"
"Vegfa→Flt1","Fibroblasts→Endothelial",23.9735167539198,"Vegfa→Flt1 | Fibroblasts→Endothelial"
"Ccl4→Ccr5","Granulocytes→T_cells",23.0624359622769,"Ccl4→Ccr5 | Granulocytes→T_cells"
"Il6→Il6ra","Fibroblasts→Macrophages",21.9877032632013,"Il6→Il6ra | Fibroblasts→Macrophages"
"Cxcl2→Cxcr2","Fibroblasts_activated→Granulocytes",21.9734914102386,"Cxcl2→Cxcr2 | Fibroblasts_activated→Granulocytes"
"Il1b→Il1r1","Macrophages→Pericytes",20.9988055100568,"Il1b→Il1r1 | Macrophages→Pericytes"
"Il6→Il6st","Pericytes→Fibroblasts_activated",20.2865277439129,"Il6→Il6st | Pericytes→Fibroblasts_activated"
"Cxcl2→Cxcr2","Pericytes→Granulocytes",17.2709290381461,"Cxcl2→Cxcr2 | Pericytes→Granulocytes"
"Il6→Il6ra","Fibroblasts→Granulocytes",15.7049656329582,"Il6→Il6ra | Fibroblasts→Granulocytes"
"Apoe→Ldlr","Fibroblasts_activated→Granulocytes",15.160655476926,"Apoe→Ldlr | Fibroblasts_activated→Granulocytes"
