"gene","GSM1","GSM2","GSM3","GSM4","GSM5","GSM6"
"g1",39,37,41,23,19,17
"g2",47,50,45,25,17,21
"g3",43,43,40,25,26,24
"g4",42,50,48,16,19,28
"g5",42,35,42,22,22,17
"g6",23,15,19,24,25,26
"g7",25,17,23,14,17,23
"g8",25,17,18,21,11,18
"g9",20,20,16,19,23,22
"g10",21,12,22,12,10,18
"g11",17,22,21,23,28,26
"g12",26,21,28,23,17,21
"g13",27,24,18,18,11,20
"g14",27,29,17,16,18,12
"g15",11,18,24,23,20,18
"g16",22,18,22,21,31,28
"g17",30,19,16,23,28,26
"g18",18,15,20,24,15,21
"g19",15,21,26,14,23,21
"g20",24,18,24,21,18,21
"g21",22,18,22,14,17,19
"g22",27,22,15,15,24,20
"g23",18,15,15,27,23,16
"g24",17,17,12,22,24,17
"g25",23,25,19,22,16,16
"g26",17,14,16,17,24,19
"g27",21,13,15,19,21,22
"g28",22,16,20,25,21,15
"g29",22,15,24,22,21,19
"g30",19,17,23,15,12,20
