cpg,S1,S2,S3,S4
cg1,0.740,0.720,0.230,0.250
cg2,0.780,0.760,0.260,0.280
cg3,0.820,0.800,0.290,0.310
cg4,0.860,0.840,0.200,0.220
cg5,0.700,0.680,0.230,0.250
cg6,0.740,0.720,0.260,0.280
cg7,0.780,0.760,0.290,0.310
cg8,0.820,0.800,0.200,0.220
cg9,0.860,0.840,0.230,0.250
cg10,0.700,0.680,0.260,0.280
cg11,0.740,0.720,0.290,0.310
cg12,0.780,0.760,0.200,0.220
cg13,0.820,0.800,0.230,0.250
cg14,0.860,0.840,0.260,0.280
cg15,0.700,0.680,0.290,0.310
cg16,0.740,0.720,0.200,0.220
cg17,0.780,0.760,0.230,0.250
cg18,0.820,0.800,0.260,0.280
cg19,0.860,0.840,0.290,0.310
cg20,0.700,0.680,0.200,0.220
cg21,0.740,0.720,0.230,0.250
cg22,0.780,0.760,0.260,0.280
cg23,0.820,0.800,0.290,0.310
cg24,0.860,0.840,0.200,0.220
