gene,S1,S2,S3,S4,S5,S6
G1,24,25,26,21,22,21
G2,25,26,27,22,23,22
G3,26,27,28,23,24,23
G4,27,28,29,24,25,24
G5,28,29,30,25,26,25
G6,29,30,31,26,27,26
G7,23,24,25,20,21,20
G8,24,25,26,21,22,21
G9,25,26,27,22,23,22
G10,26,27,28,23,24,23
G11,24,25,24,24,25,24
G12,25,26,25,25,26,25
G13,26,27,26,26,27,26
G14,20,21,20,20,21,20
G15,21,22,21,21,22,21
G16,22,23,22,22,23,22
G17,23,24,23,23,24,23
G18,24,25,24,24,25,24
G19,25,26,25,25,26,25
G20,26,27,26,26,27,26
G21,20,21,20,20,21,20
G22,21,22,21,21,22,21
G23,22,23,22,22,23,22
G24,23,24,23,23,24,23
G25,24,25,24,24,25,24
G26,25,26,25,25,26,25
G27,26,27,26,26,27,26
G28,20,21,20,20,21,20
G29,21,22,21,21,22,21
G30,22,23,22,22,23,22
G31,23,24,23,23,24,23
G32,24,25,24,24,25,24
G33,25,26,25,25,26,25
G34,26,27,26,26,27,26
G35,20,21,20,20,21,20
G36,21,22,21,21,22,21
G37,22,23,22,22,23,22
G38,23,24,23,23,24,23
G39,24,25,24,24,25,24
G40,25,26,25,25,26,25
