"site","edit_rate","tissue"
"edit1",0.212431763578206,"Brain"
"edit2",0.153027132619172,"Brain"
"edit3",0.179054508451372,"Brain"
"edit4",0.173409541044384,"Brain"
"edit5",0.237119423830882,"Brain"
"edit6",0.224737575603649,"Brain"
"edit7",0.249524111207575,"Brain"
"edit8",0.138103422150016,"Brain"
"edit9",0.242391630308703,"Brain"
"edit10",0.207936792448163,"Brain"
"edit11",0.22166935657151,"Brain"
"edit12",0.207769042951986,"Brain"
"edit13",0.223403492197394,"Brain"
"edit14",0.133095058752224,"Brain"
"edit15",0.0840909932740033,"Brain"
"edit16",0.0601571554783732,"Liver"
"edit17",0.185562387807295,"Liver"
"edit18",0.0713557526469231,"Liver"
"edit19",0.240867968415841,"Liver"
"edit20",0.187959100911394,"Liver"
"edit21",0.711577011668123,"Liver"
"edit22",0.825625598768238,"Liver"
"edit23",0.648370224400423,"Liver"
"edit24",0.401457438722719,"Liver"
"edit25",0.577765588357579,"Liver"
"edit26",0.798587611957919,"Liver"
"edit27",0.783719874883536,"Liver"
"edit28",0.539924803783651,"Liver"
"edit29",0.586872409435455,"Liver"
"edit30",0.702327312564012,"Liver"
