"metabolite","delta"
"M1",15.8931775484476
"M3",15.1465862450846
"M2",15.1125076628359
"M4",13.7133880550607
"M5",10.4421294381127
"M6",8.647935390573
"M33",5.18252086037287
"M26",4.71810074298348
"M18",4.14207783362015
"M27",3.72535061872329
"M23",2.90075137895891
"M38",2.7673528106987
"M9",2.40000049051983
"M16",2.32345159797902
"M17",2.26565214568889
"M29",2.26055850273544
"M39",1.97740492019218
"M34",1.67773718035291
"M25",1.65743616824554
"M19",1.54996693057272
"M30",1.34005859143828
"M15",1.27835508495645
"M13",1.07904669774568
"M24",1.05189871371028
"M7",1.03717255240717
"M14",1.01564495324112
"M10",1.00497558097161
"M11",0.938486349238344
"M31",0.863549323686833
"M35",0.823546210044029
"M8",0.819536555367815
"M20",0.807373999655743
"M12",0.62964246887671
"M32",0.535822794053447
"M21",0.530229602923432
"M22",0.494246873985249
"M28",0.453802851169485
"M40",0.191060145485993
"M36",0.126280817904693
"M37",0.0450019556323369
