"probe","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"205114_s_at",9.134519508,9.085080244,7.699975148,6.651758981,7.881337346,8.86695848,8.103121551,9.230111713,8.099759467,8.394231822,7.934808995,8.710714062,10.39360576,8.857053116,7.48303115,7.462103854,6.941405551,9.006851453,7.846212769,8.810569645,10.09545054,8.221281064,8.058639374,8.601407228
"212128_s_at",7.598045677,7.43470993,7.654482406,7.443687827,7.471472186,7.029538743,6.916005536,7.358490855,6.939658881,7.079325547,7.4233317,7.687772624,7.33909781,7.147286147,6.754910364,6.98799623,7.52456535,7.315702388,7.103147836,7.485207257,6.73788942,6.908135584,6.988339015,7.552102279
"208977_x_at",11.37507902,11.10983528,11.63049151,11.79120076,11.63435072,10.32433343,11.67785781,11.23131434,10.94671873,11.30081032,11.29240229,10.86053167,10.83208534,10.81837003,11.32944995,11.61844799,11.28475964,10.89837482,10.98885552,11.31633302,10.44833887,10.94563273,11.2955031,11.27436615
"205264_at",7.59426569,7.765151181,7.393128829,8.017859719,8.432534605,7.647710284,8.427915197,7.80820655,8.166079036,7.587799333,7.69391374,8.367254634,7.779376302,7.532894311,7.800517334,7.789365036,7.617676015,7.793441943,7.61371226,7.562512269,7.769142754,7.542184559,7.98643447,7.550132849
"214789_x_at",9.832807114,9.760985309,10.13435194,10.0284016,9.581348635,9.932381366,9.660392956,9.300067344,10.08372607,9.480248282,10.11232253,9.443241202,9.770000944,9.658236525,9.922479388,10.07443199,9.384231345,10.02245165,9.923865917,9.563761702,9.460058399,9.992066413,10.18437203,9.96818338
"209806_at",10.15469189,11.09608157,11.42772094,10.72355424,11.3965555,9.47926512,10.87677642,9.662189563,9.937089795,10.73293838,10.12790361,10.19206166,9.522770371,9.422748033,9.453406432,9.743727869,9.186857895,9.847236157,9.460274558,9.080170732,9.72447125,9.474737007,9.655745953,9.196595076
"216364_s_at",7.082922195,6.952436311,7.283033471,7.122481321,7.562140206,7.324979181,7.413180897,7.07679802,7.203188523,7.27862242,7.200366543,7.384534561,7.282477825,7.136528724,7.085706093,6.890010042,7.223685704,7.059071401,6.720833208,7.034698012,7.408584855,6.835763074,6.726140886,7.085913964
"216926_s_at",4.930573916,4.742108196,4.947716904,4.989967247,5.334592806,4.719554956,5.037083399,5.011193547,4.997920797,4.822198832,4.972557267,4.856360725,4.805658182,4.826541015,4.894597906,4.735705742,4.858444004,4.777181382,4.847583179,4.863367282,4.861204097,4.900412126,4.893360722,5.060446432
"212785_s_at",7.452186682,7.776756986,8.270594494,7.919226789,7.098506773,7.619552847,8.014276002,7.501669976,7.314199643,7.052742145,7.476600861,7.400983498,7.742463189,7.871533143,7.908418686,8.31904788,7.823288983,7.871696516,8.486455429,7.983158668,7.782482528,8.515283501,8.137974672,8.404264855
"221756_at",9.424893199,9.405045952,10.28306468,9.246510814,9.172397889,9.900152991,9.825224331,9.880551333,9.156850069,9.034017261,9.965825747,9.450212994,10.05188422,10.02456463,10.24802822,9.983894981,9.926857902,10.78983027,10.34538969,10.56019345,10.16108081,9.800336759,9.591289827,10.4888991
"202421_at",8.155180206,8.787719086,8.811211824,8.494714789,9.285599386,9.008037332,7.575258621,8.044413265,8.594785883,8.79040703,9.248631075,9.074488277,8.483915847,8.598145158,8.393438381,8.851153017,9.202772132,8.528131805,8.436786596,8.713666204,8.744084127,8.32635249,8.346991406,8.690585814
"219363_s_at",7.611542299,8.20830974,6.422969891,8.110465981,7.517109095,7.153634655,8.359540063,7.735357096,8.01357039,7.906566073,7.315464802,7.843328616,7.128218446,6.945943999,7.202150924,7.341190857,7.210025076,7.462671836,7.438166072,6.73790104,7.35062634,7.697987035,7.516896911,7.471149583
"201910_at",8.454750356,9.536038873,8.861429951,9.262663783,8.810947269,8.987585,8.857971675,8.938294463,8.64048867,9.285140727,9.199512955,8.367758144,9.618866094,9.454148962,9.462735882,9.858443759,9.75096028,9.976812674,9.877091512,9.653776443,9.631640065,9.685526445,9.275433514,9.926333962
"212049_at",9.859355752,9.913755546,9.8632109,9.760900175,9.861413158,9.959289842,9.419724009,9.711258902,9.361216,9.859177678,9.746116528,9.919111185,9.617482679,9.696726415,9.631683247,9.763675355,9.722069643,9.709427387,9.894082518,9.973042805,9.617658733,9.246363429,9.453395373,9.893034486
"205241_at",9.881387726,9.871398337,9.032548157,8.955436898,8.38168905,8.688709624,9.98713986,9.633863252,9.10746836,9.080150577,8.823413376,8.838679637,8.854529215,9.559278765,9.545894959,8.577332264,9.45488432,8.731844805,8.863108688,9.307091998,8.483055335,8.40450165,9.156894725,8.258424881
"206271_at",6.187560627,6.452928951,6.390576403,6.0955542,6.276308008,7.196487103,5.609583408,5.60247829,6.235325725,5.933761627,6.442963085,7.159484973,6.529417927,6.635347899,6.871104653,6.787107029,5.73492987,6.623535495,6.82469803,6.636584888,6.782288702,6.931229462,6.795846959,6.429869571
"220835_s_at",5.757316852,5.221836012,5.193910209,5.07760059,5.238819309,5.015889049,4.922421458,5.012177754,5.240523709,5.325946603,5.073299177,5.6806089,5.178149186,5.437879622,5.009609968,4.965273715,5.382195282,4.883675176,5.124237456,5.238546568,5.118673272,4.957726133,4.885619115,5.150667739
"208522_s_at",4.91327811,4.618324231,4.644489924,4.593875895,4.776281807,4.619123421,4.453395913,4.654158685,4.516563964,4.721550952,4.800139484,4.570992222,4.604465437,4.805766577,4.560792443,4.532687397,4.752234133,4.523690406,4.618394364,4.634350581,4.547350556,4.618324231,4.705692208,4.739927257
"220510_at",6.968804583,6.555161792,6.686100744,6.156845356,6.575599197,6.611010408,6.510843425,6.57461191,6.701028093,6.445935587,6.720028003,6.793797394,6.812835224,6.713302687,6.632587248,6.420074588,6.782589689,6.528342296,6.297923969,6.334913495,6.630601463,6.188411177,6.330267945,6.406393777
