"umap_1","umap_2","celltype","group","tissue","patient","score"
-8.98034856304446,9.6293845153713,"Bcell","G0_normal","primary normal","patient12",0
1.08652796760282,-13.0268988632298,"CD4 T","G0_normal","primary normal","patient09",0
3.15368678584775,3.61886548766134,"DC","G0_normal","primary normal","patient17",0
3.550631547124,9.66008329161642,"CD4 T","G0_normal","metastasis normal","patient16",0
-0.645632267221007,0.953209636297208,"CD8 T","G0_normal","metastasis normal","patient16",0
-5.66836354717532,8.6850075698757,"DC","G0_normal","metastasis normal","patient11",0
-2.22365698799411,-4.56621074906351,"Bcell","G0_normal","primary normal","patient12",0
-1.31884435400287,15.644577500906,"Bcell","G0_normal","primary normal","patient17",0
8.91518690601071,-4.3966517471409,"CD4 T","G0_normal","metastasis normal","patient09",0
-11.5412378071241,2.09351634749411,"Bcell","G0_normal","primary normal","patient12",0
5.22809984698972,6.3605823493862,"CD8 T","G0_normal","metastasis normal","patient13",2.57212162017822
8.55754854694089,-2.48536372414591,"CD4 T","G0_normal","primary normal","patient12",0
-1.58463004812518,-1.95840513936045,"CD8 T","G0_normal","primary normal","patient10",0
5.01265480533322,-12.442562582407,"CD4 T","G0_normal","primary normal","patient10",0
12.9245205165454,5.31677865752218,"CD8 T","G0_normal","metastasis normal","patient10",0
5.45387461200437,11.2507138229275,"NK cell","G0_normal","metastasis normal","patient12",0
1.7704310657092,10.3845162368679,"CD4 T","G0_normal","metastasis normal","patient10",0
0.896168255955782,-2.72128868332865,"CD8 T","G0_normal","metastasis normal","patient13",2.38800048828125
1.52015306964597,-11.9917006515598,"CD4 T","G0_normal","primary normal","patient12",0
1.02388372436246,-3.42523646584513,"CD8 T","G0_normal","primary normal","patient17",0
11.8115005733081,6.85269403227804,"NK cell","G0_normal","metastasis normal","patient12",2.55108118057251
4.23160650745114,9.05547475584982,"NK cell","G0_normal","metastasis normal","patient08",2.11426091194153
6.07118847385129,7.07739591368673,"CD8 T","G0_normal","metastasis normal","patient14",0
3.79605486407956,2.69823312529562,"Bcell","G0_normal","primary normal","patient16",0
-2.40578148350039,-8.79492140046121,"CD8 T","G0_normal","metastasis normal","patient11",0
5.00332167163571,-7.85783815613748,"CD8 T","G0_normal","metastasis normal","patient08",0
-3.91089746937076,-6.29630947342874,"CD4 T","G0_normal","primary normal","patient12",0
-2.02871952041903,-4.96282673111917,"Bcell","G0_normal","metastasis normal","patient13",0
1.55944015994748,-5.99576044312479,"NK cell","G0_normal","metastasis normal","patient12",0
-9.48836419567386,-6.27818870774271,"Bcell","G0_normal","primary normal","patient12",0
-10.0894145725659,-0.311061518702525,"Bcell","G0_normal","primary normal","patient14",0
-0.346026843636427,-2.23802352181436,"CD8 T","G0_normal","metastasis normal","patient12",0
-2.45183095917026,8.42723703154562,"Bcell","G0_normal","primary normal","patient09",0
0.832110786587801,0.104388115491849,"CD8 T","G0_normal","metastasis normal","patient12",0
-13.3177699802808,-5.91231823197367,"Bcell","G0_normal","primary normal","patient12",0
4.68745090976438,10.051146981802,"NK cell","G0_normal","metastasis normal","patient17",0
-5.51999042019168,5.61728906401632,"DC","G0_normal","metastasis normal","patient15",0
1.04947068706235,-2.82441592446329,"CD8 T","G0_normal","primary normal","patient12",0
0.946949625165072,-14.126099111948,"CD4 T","G0_normal","primary normal","patient16",0
5.27093031421384,7.51248740920065,"NK cell","G0_normal","metastasis normal","patient16",0
3.55112221255979,11.3659882522487,"CD8 T","G0_normal","metastasis normal","patient09",0
-10.0046262501172,-0.115147861156482,"Bcell","G0_normal","primary normal","patient09",0
5.06382753864011,-12.20792532197,"CD8 T","G0_normal","metastasis normal","patient09",0
5.51185705676755,5.6399316764736,"Bcell","G0_normal","primary normal","patient11",0
-0.422485193460378,-2.79665494194986,"CD8 T","G0_normal","metastasis normal","patient17",0
-4.31503555759707,4.79055785902975,"CD8 T","G0_normal","metastasis normal","patient08",0
-2.3677947281293,7.49586295851706,"Monocyte","G0_normal","metastasis normal","patient16",1.89615917205811
3.47513248935422,11.2719483352566,"CD8 T","G0_normal","metastasis normal","patient14",0
6.7582068683215,-16.2186331771946,"Macrophage","G0_normal","metastasis normal","patient11",1.35596013069153
2.67707088008603,10.9978508926296,"CD8 T","G0_normal","metastasis normal","patient09",0
9.72586443439206,-3.95268917313578,"CD4 T","G0_normal","metastasis normal","patient15",0
13.553205514104,4.95557594069479,"CD8 T","G0_normal","metastasis normal","patient17",0
-13.0425624607495,-5.97310018769266,"Bcell","G0_normal","primary normal","patient17",0
2.9352317096301,12.1658759094143,"CD8 T","G0_normal","primary normal","patient14",0
2.94375660434445,-0.22797687581541,"CD8 T","G0_normal","metastasis normal","patient09",0
5.69028141513547,4.97697973021505,"CD8 T","G0_normal","metastasis normal","patient12",0
12.9808922053882,6.78285264739035,"NK cell","G0_normal","metastasis normal","patient12",0
4.24086048618039,-2.04210627308847,"CD4 T","G0_normal","primary normal","patient15",0
-11.4788827656201,2.1623504138851,"Bcell","G0_normal","primary normal","patient11",0
4.92104103580197,4.51316976317404,"CD8 T","G0_normal","metastasis normal","patient10",0
6.45427277103147,-15.623735906992,"DC","G0_normal","primary normal","patient12",0
-2.27503297313968,8.42516183623312,"Monocyte","G0_normal","metastasis normal","patient11",0
1.85459234729489,10.3204150176906,"CD8 T","G0_normal","metastasis normal","patient09",0
-9.2606067417554,9.33098363646505,"Bcell","G0_normal","primary normal","patient14",0
-9.90864560589114,-0.182836117658633,"Bcell","G0_normal","primary normal","patient08",0
-11.1290797947339,-6.1786513351536,"Bcell","G0_normal","primary normal","patient11",0
0.342027807385531,-4.49643469086649,"CD8 T","G0_normal","metastasis normal","patient14",0
0.475759530217257,-8.25738334885599,"CD8 T","G0_normal","metastasis normal","patient10",0
1.53963496700009,11.4382615066433,"CD4 T","G0_normal","primary normal","patient17",0
-1.41259715542117,15.5941777206325,"Bcell","G0_normal","primary normal","patient12",0
