"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.7948581632054e-241,1.94196502867506,0.92,0.474,1.56974066547018e-236,"0","LDHB"
1.4398503255218e-225,-4.37179432675938,0.129,0.716,4.71378199569327e-221,"0","HLA-DRB1"
3.04740716617954e-225,-3.16153669005883,0.736,0.925,9.97660158063859e-221,"0","CD74"
1.12625760198846e-212,-4.63674178840595,0.291,0.765,3.68714213738983e-208,"0","HLA-DRA"
3.72675454205981e-212,-1.806835007352,0.731,0.932,1.22006490197954e-207,"0","CYBA"
7.60727227730753e-202,-3.91475013836017,0.199,0.72,2.49046879814494e-197,"0","HLA-DPA1"
8.79656190114319e-201,1.84001710628335,0.873,0.243,2.87981843519626e-196,"0","CD3D"
4.11862442842693e-191,-3.7797727629292,0.242,0.728,1.34835526537841e-186,"0","HLA-DPB1"
8.10538882222337e-181,-4.69929846671534,0.053,0.579,2.65354219261949e-176,"0","HLA-DRB5"
1.6540703188565e-171,-5.26183781978743,0.127,0.609,5.41509540987242e-167,"0","TYROBP"
1.18183389048918e-158,-4.80375738242377,0.095,0.563,3.86908779068346e-154,"0","FCER1G"
3.15316612780912e-151,-1.51334418906438,0.86,0.944,1.03228352692215e-146,"0","OAZ1"
8.50891401582847e-143,1.73162145230533,0.759,0.263,2.78564827050193e-138,"0","CD3E"
8.47767680654149e-139,1.40868939528728,0.928,0.523,2.77542183292555e-134,"0","LTB"
5.04197886397933e-136,-2.69581534189059,0.977,0.995,1.65064304048955e-131,"0","FTL"
3.88760275775675e-130,2.00817090162457,0.657,0.202,1.2727233908344e-125,"0","IL7R"
5.34868557371824e-120,-4.82759747223227,0.193,0.56,1.75105268312388e-115,"0","CST3"
9.13526382852345e-116,1.14413798789116,0.838,0.331,2.99070267218201e-111,"0","IL32"
1.54507907479335e-115,-4.29767482714901,0.046,0.432,5.05827987505848e-111,"0","HLA-DMA"
1.34094597007745e-114,-2.96565843302602,0.284,0.626,4.38998891683957e-110,"0","LGALS1"
1.30841773996917e-108,-2.68524685833911,0.351,0.647,4.28349799711107e-104,"0","CTSS"
