"group","celltype","n","sample","proportion","facet"
"CLP","B_cells",395,"CLP",0.00896871168430135,"CLP"
"CLP","Cardiomyocytes",11113,"CLP",0.252327323918078,"CLP"
"CLP","Endothelial",22652,"CLP",0.514327233095681,"CLP"
"CLP","Fibroblasts",4485,"CLP",0.101834612415422,"CLP"
"CLP","Fibroblasts_activated",270,"CLP",0.00613051178420598,"CLP"
"CLP","Granulocytes",466,"CLP",0.0105808092275555,"CLP"
"CLP","Macrophages",2321,"CLP",0.0526996957449707,"CLP"
"CLP","Pericytes",1601,"CLP",0.0363516643204214,"CLP"
"CLP","T_cells",739,"CLP",0.0167794378093638,"CLP"
"Control","B_cells",92,"Control",0.00524754734200319,"Control"
"Control","Cardiomyocytes",305,"Control",0.0173967602099019,"Control"
"Control","Endothelial",12920,"Control",0.736938170203057,"Control"
"Control","Fibroblasts",2055,"Control",0.117214236824093,"Control"
"Control","Fibroblasts_activated",129,"Control",0.00735797399041752,"Control"
"Control","Granulocytes",59,"Control",0.00336527492584987,"Control"
"Control","Macrophages",925,"Control",0.0527606662103582,"Control"
"Control","Pericytes",996,"Control",0.0568104038329911,"Control"
"Control","T_cells",51,"Control",0.00290896646132786,"Control"
