"group","celltype","n"
"CLP","B_cells",395
"CLP","Cardiomyocytes",11113
"CLP","Endothelial",22652
"CLP","Fibroblasts",4485
"CLP","Fibroblasts_activated",270
"CLP","Granulocytes",466
"CLP","Macrophages",2321
"CLP","Pericytes",1601
"CLP","T_cells",739
"Control","B_cells",92
"Control","Cardiomyocytes",305
"Control","Endothelial",12920
"Control","Fibroblasts",2055
"Control","Fibroblasts_activated",129
"Control","Granulocytes",59
"Control","Macrophages",925
"Control","Pericytes",996
"Control","T_cells",51
