"patient","celltype","group","n","proportion"
"patient08","Bcell","G0_normal",13,0.08125
"patient09","Bcell","G0_normal",16,0.0663900414937759
"patient10","Bcell","G0_normal",7,0.0238095238095238
"patient11","Bcell","G0_normal",28,0.0725388601036269
"patient12","Bcell","G0_normal",43,0.0737564322469983
"patient13","Bcell","G0_normal",6,0.0159151193633952
"patient14","Bcell","G0_normal",36,0.0986301369863014
"patient15","Bcell","G0_normal",10,0.0578034682080925
"patient16","Bcell","G0_normal",19,0.07421875
"patient17","Bcell","G0_normal",27,0.163636363636364
"patient08","CD4 T","G0_normal",5,0.03125
"patient09","CD4 T","G0_normal",12,0.0497925311203319
"patient10","CD4 T","G0_normal",6,0.0204081632653061
"patient11","CD4 T","G0_normal",2,0.00518134715025907
"patient12","CD4 T","G0_normal",37,0.0634648370497427
"patient13","CD4 T","G0_normal",3,0.00795755968169761
"patient14","CD4 T","G0_normal",7,0.0191780821917808
"patient15","CD4 T","G0_normal",10,0.0578034682080925
"patient16","CD4 T","G0_normal",19,0.07421875
"patient17","CD4 T","G0_normal",13,0.0787878787878788
"patient08","CD45-","G0_normal",1,0.00625
"patient09","CD45-","G0_normal",8,0.033195020746888
"patient10","CD45-","G0_normal",15,0.0510204081632653
"patient11","CD45-","G0_normal",4,0.0103626943005181
"patient12","CD45-","G0_normal",0,0
"patient13","CD45-","G0_normal",0,0
"patient14","CD45-","G0_normal",1,0.00273972602739726
"patient15","CD45-","G0_normal",0,0
"patient16","CD45-","G0_normal",0,0
"patient17","CD45-","G0_normal",1,0.00606060606060606
"patient08","CD8 T","G0_normal",19,0.11875
"patient09","CD8 T","G0_normal",65,0.269709543568465
"patient10","CD8 T","G0_normal",39,0.13265306122449
"patient11","CD8 T","G0_normal",16,0.0414507772020725
"patient12","CD8 T","G0_normal",81,0.13893653516295
"patient13","CD8 T","G0_normal",21,0.0557029177718833
"patient14","CD8 T","G0_normal",31,0.0849315068493151
"patient15","CD8 T","G0_normal",15,0.0867052023121387
"patient16","CD8 T","G0_normal",51,0.19921875
"patient17","CD8 T","G0_normal",21,0.127272727272727
"patient08","DC","G0_normal",3,0.01875
"patient09","DC","G0_normal",9,0.037344398340249
"patient10","DC","G0_normal",2,0.00680272108843537
"patient11","DC","G0_normal",26,0.0673575129533679
"patient12","DC","G0_normal",18,0.0308747855917667
"patient13","DC","G0_normal",1,0.0026525198938992
"patient14","DC","G0_normal",3,0.00821917808219178
"patient15","DC","G0_normal",3,0.0173410404624277
"patient16","DC","G0_normal",4,0.015625
"patient17","DC","G0_normal",2,0.0121212121212121
"patient08","gdT","G0_normal",2,0.0125
"patient09","gdT","G0_normal",2,0.00829875518672199
"patient10","gdT","G0_normal",1,0.00340136054421769
"patient11","gdT","G0_normal",1,0.00259067357512953
"patient12","gdT","G0_normal",1,0.00171526586620926
"patient13","gdT","G0_normal",0,0
"patient14","gdT","G0_normal",0,0
"patient15","gdT","G0_normal",0,0
"patient16","gdT","G0_normal",1,0.00390625
"patient17","gdT","G0_normal",3,0.0181818181818182
"patient08","ILC3","G0_normal",0,0
"patient09","ILC3","G0_normal",0,0
"patient10","ILC3","G0_normal",0,0
"patient11","ILC3","G0_normal",0,0
"patient12","ILC3","G0_normal",1,0.00171526586620926
"patient13","ILC3","G0_normal",0,0
"patient14","ILC3","G0_normal",0,0
"patient15","ILC3","G0_normal",0,0
"patient16","ILC3","G0_normal",0,0
"patient17","ILC3","G0_normal",1,0.00606060606060606
"patient08","Macrophage","G0_normal",1,0.00625
"patient09","Macrophage","G0_normal",8,0.033195020746888
"patient10","Macrophage","G0_normal",0,0
"patient11","Macrophage","G0_normal",11,0.0284974093264249
"patient12","Macrophage","G0_normal",4,0.00686106346483705
"patient13","Macrophage","G0_normal",5,0.013262599469496
"patient14","Macrophage","G0_normal",1,0.00273972602739726
"patient15","Macrophage","G0_normal",1,0.00578034682080925
"patient16","Macrophage","G0_normal",5,0.01953125
"patient17","Macrophage","G0_normal",14,0.0848484848484849
"patient08","MAST","G0_normal",0,0
"patient09","MAST","G0_normal",0,0
"patient10","MAST","G0_normal",0,0
"patient11","MAST","G0_normal",0,0
"patient12","MAST","G0_normal",0,0
"patient13","MAST","G0_normal",0,0
"patient14","MAST","G0_normal",0,0
"patient15","MAST","G0_normal",0,0
"patient16","MAST","G0_normal",0,0
"patient17","MAST","G0_normal",0,0
"patient08","Monocyte","G0_normal",0,0
"patient09","Monocyte","G0_normal",1,0.004149377593361
"patient10","Monocyte","G0_normal",0,0
"patient11","Monocyte","G0_normal",12,0.0310880829015544
"patient12","Monocyte","G0_normal",4,0.00686106346483705
"patient13","Monocyte","G0_normal",1,0.0026525198938992
"patient14","Monocyte","G0_normal",0,0
"patient15","Monocyte","G0_normal",1,0.00578034682080925
"patient16","Monocyte","G0_normal",1,0.00390625
"patient17","Monocyte","G0_normal",1,0.00606060606060606
"patient08","NK cell","G0_normal",18,0.1125
"patient09","NK cell","G0_normal",9,0.037344398340249
"patient10","NK cell","G0_normal",4,0.0136054421768707
"patient11","NK cell","G0_normal",8,0.0207253886010363
"patient12","NK cell","G0_normal",31,0.0531732418524871
"patient13","NK cell","G0_normal",19,0.0503978779840849
"patient14","NK cell","G0_normal",9,0.0246575342465753
"patient15","NK cell","G0_normal",13,0.0751445086705202
"patient16","NK cell","G0_normal",26,0.1015625
"patient17","NK cell","G0_normal",12,0.0727272727272727
"patient08","NKT","G0_normal",0,0
"patient09","NKT","G0_normal",1,0.004149377593361
"patient10","NKT","G0_normal",0,0
"patient11","NKT","G0_normal",0,0
"patient12","NKT","G0_normal",3,0.00514579759862779
"patient13","NKT","G0_normal",1,0.0026525198938992
"patient14","NKT","G0_normal",3,0.00821917808219178
"patient15","NKT","G0_normal",2,0.0115606936416185
"patient16","NKT","G0_normal",3,0.01171875
"patient17","NKT","G0_normal",0,0
"patient08","Bcell","G1_primary_CRC",10,0.0625
"patient09","Bcell","G1_primary_CRC",32,0.132780082987552
"patient10","Bcell","G1_primary_CRC",29,0.0986394557823129
"patient11","Bcell","G1_primary_CRC",93,0.240932642487047
"patient12","Bcell","G1_primary_CRC",28,0.0480274442538593
"patient13","Bcell","G1_primary_CRC",28,0.0742705570291777
"patient14","Bcell","G1_primary_CRC",27,0.073972602739726
"patient15","Bcell","G1_primary_CRC",6,0.0346820809248555
"patient16","Bcell","G1_primary_CRC",11,0.04296875
"patient17","Bcell","G1_primary_CRC",0,0
"patient08","CD4 T","G1_primary_CRC",13,0.08125
"patient09","CD4 T","G1_primary_CRC",11,0.045643153526971
"patient10","CD4 T","G1_primary_CRC",53,0.180272108843537
"patient11","CD4 T","G1_primary_CRC",7,0.0181347150259067
"patient12","CD4 T","G1_primary_CRC",52,0.0891938250428816
"patient13","CD4 T","G1_primary_CRC",90,0.238726790450928
