"marker","cluster","intensity"
"M1","cluster1",3.83205100317802
"M2","cluster1",3.2040980746673
"M3","cluster1",2.73818906758783
"M4","cluster1",0.690822151792144
"M5","cluster1",1.26180060719682
"M6","cluster1",2.39746793600814
"M7","cluster1",1.16369317757121
"M8","cluster1",0.849043555150261
"M1","cluster2",2.40354378214552
"M2","cluster2",4.48656947249982
"M3","cluster2",1.87816639494097
"M4","cluster2",1.98601349852899
"M5","cluster2",0.642013614678125
"M6","cluster2",2.19993498198647
"M7","cluster2",1.83577596995593
"M8","cluster2",1.47065493528033
"M1","cluster3",1.57456432048291
"M2","cluster3",1.84090361429381
"M3","cluster3",1.90985580457639
"M4","cluster3",0.534979526011993
"M5","cluster3",1.05226631466228
"M6","cluster3",1.48388086419688
"M7","cluster3",1.92660705788366
"M8","cluster3",1.45919426961072
"M1","cluster4",2.10625420371518
"M2","cluster4",0.910689932665448
"M3","cluster4",2.20803697350899
"M4","cluster4",2.36555985119589
"M5","cluster4",1.09812399096974
"M6","cluster4",0.856596027520216
"M7","cluster4",0.934168119377933
"M8","cluster4",0.911142122862789
"M1","cluster5",0.569435564225843
"M2","cluster5",0.69783255714172
"M3","cluster5",2.49378789398587
"M4","cluster5",1.6641243886339
"M5","cluster5",1.65527550119017
"M6","cluster5",2.17659158127714
"M7","cluster5",1.35020246953871
"M8","cluster5",0.573253492735784
"M1","cluster6",1.55203461092706
"M2","cluster6",0.858049700469403
"M3","cluster6",0.975673023756827
"M4","cluster6",1.49825708896212
"M5","cluster6",1.42406117486989
"M6","cluster6",1.06136526482734
"M7","cluster6",1.50719528663167
"M8","cluster6",2.81738278534198
