"probe","A","M","pvalue","padj"
"214135_at",10.09206129585,-4.0416950463,3.85602632791856e-14,1.15680789837557e-10
"209555_s_at",8.4295831065,-2.8801359784,1.62257047976262e-12,1.89504511381057e-09
"219719_at",8.7074204879,-1.5918386298,1.89504511381057e-12,1.89504511381057e-09
"221132_at",7.82240788345,-2.5505394977,1.11546346418734e-11,7.21298751615327e-09
"213974_at",6.8375924538,-2.4952307178,1.20291896321109e-11,7.21298751615327e-09
"206481_s_at",9.1357985658,-2.54770844179999,1.44259750323065e-11,7.21298751615327e-09
"203571_s_at",8.52490255295,-3.33036524949999,1.74431819858209e-11,7.47564942249466e-09
"219597_s_at",7.58476097685,-2.2250213873,3.90411681222463e-11,1.46404380458424e-08
"211726_s_at",10.19663574715,-2.8246324637,8.20815468651229e-11,2.73605156217076e-08
"204468_s_at",8.40130005625,-2.3811165991,2.01207049168095e-10,6.03621147504286e-08
"208967_s_at",9.5796686027,0.885805807400009,3.42032902241064e-10,8.83436697107039e-08
"217437_s_at",7.20123168445,-1.7468139425,3.53374678842816e-10,8.83436697107039e-08
"202877_s_at",9.25672524805,-1.3972865041,6.91434740706067e-10,1.59561863239862e-07
"212353_at",8.72970605915,2.52189174010001,9.04730200181736e-10,1.93870757181801e-07
"209821_at",6.5525836959,-2.2395819012,1.08098150636471e-09,2.16196301272942e-07
"202908_at",9.3679574169,-1.56292053019999,1.52500049776413e-09,2.85937593330775e-07
"222043_at",7.23031377725,-2.2845714535,1.75090716432895e-09,2.96779703770162e-07
"212730_at",8.48421572885,-1.4818802601,1.78067822262097e-09,2.96779703770162e-07
"205303_at",8.445967044,-1.158650465,2.48628945942342e-09,3.85410548788587e-07
"211237_s_at",7.3530128736,-1.1071705696,2.56940365859058e-09,3.85410548788587e-07
"214387_x_at",12.21015499975,-4.29127005449999,3.81829544436001e-09,5.45470777765716e-07
"220677_s_at",6.5166012358,-1.8194548814,4.49074011968665e-09,6.12373652684543e-07
"217525_at",8.2460935563,-1.4142949468,4.90948162450786e-09,6.40367168414069e-07
"202177_at",8.48472094945,-2.0917439565,6.06378161251506e-09,6.74354877173646e-07
"219091_s_at",7.95222883505,-1.3266575419,6.12576373938707e-09,6.74354877173646e-07
"210619_s_at",8.26027126885,-1.5642092929,6.1788985524219e-09,6.74354877173646e-07
"209292_at",6.19164830515,-2.0357491395,6.28048223239553e-09,6.74354877173646e-07
"204642_at",8.1455229131,-1.1638833674,6.29397885362069e-09,6.74354877173646e-07
"209470_s_at",7.4498992294,-2.9928940022,7.18905905250329e-09,7.43695764052064e-07
"209883_at",6.95322183305,-1.0249284605,8.04521993555575e-09,8.04521993555575e-07
"49111_at",8.3904638643,-1.0750620702,9.93816698296174e-09,9.6175809512533e-07
"211762_s_at",9.3603315943,1.65818060480001,1.12494239129752e-08,1.02984158401722e-06
"220765_s_at",8.32150072535,-1.8770229841,1.13282574241894e-08,1.02984158401722e-06
"206701_x_at",7.83214299455,-2.4124563609,1.28392197667569e-08,1.1328723323609e-06
"41644_at",10.3438784035,-1.032798355,1.46089127832374e-08,1.18581641788016e-06
"219436_s_at",7.9861731536,-2.1896329966,1.47592806691773e-08,1.18581641788016e-06
"206311_s_at",7.569462852,-2.364562023,1.48614682494711e-08,1.18581641788016e-06
"208308_s_at",10.50672961775,1.32420697250001,1.50203412931487e-08,1.18581641788016e-06
"205507_at",7.83574077365,-1.0274783719,1.6949846041773e-08,1.30383431090562e-06
"221748_s_at",11.24205552195,-1.7834797061,2.23647150735768e-08,1.67735363051826e-06
"200672_x_at",9.7280440878,-1.2508884174,2.37571387710532e-08,1.73832722715024e-06
"221861_at",9.6759043052,-1.0619493984,2.58854262555968e-08,1.84895901825692e-06
"219682_s_at",7.96432862295,-1.8796264811,3.91238796284069e-08,2.72957299733071e-06
"219059_s_at",8.6276846755,-1.1505164662,4.87387888835345e-08,3.32309924205917e-06
"220003_at",8.2129671361,-1.121468504,5.6368524057894e-08,3.7579016038596e-06
"203088_at",9.38782257105,-1.84312650529999,6.61204724353711e-08,4.31220472404594e-06
"214199_at",11.4623870546,-2.5955376068,7.56438789779423e-08,4.82833270071972e-06
"202551_s_at",8.68773734255,-1.62827526509999,8.53408974679178e-08,5.33380609174486e-06
